Year,UNIT_MEASURE,Starosna dob,Spol,Value
2013,Broj,Ukupno,Oba spola,1171179
2013,Broj,0,Oba spola,10035
2013,Broj,1,Oba spola,10460
2013,Broj,2,Oba spola,10707
2013,Broj,3,Oba spola,11154
2013,Broj,4,Oba spola,11207
2013,Broj,5,Oba spola,10904
2013,Broj,6,Oba spola,10712
2013,Broj,7,Oba spola,10729
2013,Broj,8,Oba spola,10825
2013,Broj,9,Oba spola,10872
2013,Broj,10,Oba spola,10950
2013,Broj,11,Oba spola,11305
2013,Broj,12,Oba spola,11677
2013,Broj,13,Oba spola,11767
2013,Broj,14,Oba spola,12325
2013,Broj,15,Oba spola,13695
2013,Broj,16,Oba spola,14433
2013,Broj,17,Oba spola,14549
2013,Broj,18,Oba spola,14443
2013,Broj,19,Oba spola,12849
2013,Broj,20,Oba spola,11748
2013,Broj,21,Oba spola,12894
2013,Broj,22,Oba spola,13784
2013,Broj,23,Oba spola,13816
2013,Broj,24,Oba spola,14399
2013,Broj,25,Oba spola,14874
2013,Broj,26,Oba spola,15022
2013,Broj,27,Oba spola,15316
2013,Broj,28,Oba spola,15736
2013,Broj,29,Oba spola,16122
2013,Broj,30,Oba spola,16245
2013,Broj,31,Oba spola,16150
2013,Broj,32,Oba spola,16154
2013,Broj,33,Oba spola,16059
2013,Broj,34,Oba spola,15952
2013,Broj,35,Oba spola,16067
2013,Broj,36,Oba spola,16490
2013,Broj,37,Oba spola,16505
2013,Broj,38,Oba spola,15883
2013,Broj,39,Oba spola,15576
2013,Broj,40,Oba spola,15687
2013,Broj,41,Oba spola,15580
2013,Broj,42,Oba spola,14799
2013,Broj,43,Oba spola,14656
2013,Broj,44,Oba spola,15244
2013,Broj,45,Oba spola,15787
2013,Broj,46,Oba spola,16438
2013,Broj,47,Oba spola,17122
2013,Broj,48,Oba spola,17121
2013,Broj,49,Oba spola,17051
2013,Broj,50,Oba spola,17800
2013,Broj,51,Oba spola,18263
2013,Broj,52,Oba spola,18454
2013,Broj,53,Oba spola,18646
2013,Broj,54,Oba spola,18845
2013,Broj,55,Oba spola,18214
2013,Broj,56,Oba spola,18247
2013,Broj,57,Oba spola,18979
2013,Broj,58,Oba spola,19517
2013,Broj,59,Oba spola,19455
2013,Broj,60,Oba spola,19218
2013,Broj,61,Oba spola,17671
2013,Broj,62,Oba spola,16334
2013,Broj,63,Oba spola,16819
2013,Broj,64,Oba spola,15731
2013,Broj,65,Oba spola,14644
2013,Broj,66,Oba spola,13862
2013,Broj,67,Oba spola,11451
2013,Broj,68,Oba spola,9678
2013,Broj,69,Oba spola,9674
2013,Broj,70,Oba spola,9865
2013,Broj,71,Oba spola,10664
2013,Broj,72,Oba spola,11907
2013,Broj,73,Oba spola,12099
2013,Broj,74,Oba spola,11550
2013,Broj,75,Oba spola,11114
2013,Broj,76,Oba spola,10488
2013,Broj,77,Oba spola,9532
2013,Broj,78,Oba spola,8577
2013,Broj,79,Oba spola,7666
2013,Broj,80,Oba spola,6723
2013,Broj,81,Oba spola,5590
2013,Broj,82,Oba spola,4991
2013,Broj,83,Oba spola,4376
2013,Broj,84,Oba spola,3690
2013,Broj,85,Oba spola,2964
2013,Broj,86,Oba spola,2133
2013,Broj,87,Oba spola,1651
2013,Broj,88,Oba spola,1215
2013,Broj,89,Oba spola,906
2013,Broj,90 +,Oba spola,2101
2013,Broj,Ukupno,M,572298
2013,Broj,0,M,5127
2013,Broj,1,M,5347
2013,Broj,2,M,5471
2013,Broj,3,M,5746
2013,Broj,4,M,5808
2013,Broj,5,M,5578
2013,Broj,6,M,5440
2013,Broj,7,M,5475
2013,Broj,8,M,5591
2013,Broj,9,M,5597
2013,Broj,10,M,5627
2013,Broj,11,M,5859
2013,Broj,12,M,6005
2013,Broj,13,M,6009
2013,Broj,14,M,6326
2013,Broj,15,M,7059
2013,Broj,16,M,7432
2013,Broj,17,M,7426
2013,Broj,18,M,7432
2013,Broj,19,M,6732
2013,Broj,20,M,6197
2013,Broj,21,M,6738
2013,Broj,22,M,7149
2013,Broj,23,M,7113
2013,Broj,24,M,7396
2013,Broj,25,M,7599
