Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,Republika Srpska,Oba spola,Ukupno,408825.0
2013,Broj,Grad Banja Luka,M,Ukupno,65010.0
2013,Broj,Berkovići,Ž,Ukupno,636.0
2013,Broj,Grad Bijeljina,Oba spola,Ukupno,34309.0
2013,Broj,Bileća,M,Ukupno,3307.0
2013,Broj,Bratunac,Ž,Ukupno,5945.0
2013,Broj,Brod,Oba spola,Ukupno,5599.0
2013,Broj,Višegrad,M,Ukupno,3966.0
2013,Broj,Vlasenica,Ž,Ukupno,3712.0
2013,Broj,Vukosavlje,Oba spola,Ukupno,1537.0
2013,Broj,Gacko,M,Ukupno,2766.0
2013,Broj,Grad Gradiška,Ž,Ukupno,16939.0
2013,Broj,Grad Derventa,Oba spola,Ukupno,9345.0
2013,Broj,Grad Doboj,M,Ukupno,25447.0
2013,Broj,Donji Žabar,Ž,Ukupno,1191.0
2013,Broj,Grad Zvornik,Oba spola,Ukupno,17690.0
2013,Broj,Istočna Ilidža,M,Ukupno,4981.0
2013,Broj,Istočni Drvar,Ž,Ukupno,38.0
2013,Broj,Istočni Mostar,Oba spola,Ukupno,83.0
2013,Broj,Istočni Stari Grad,M,Ukupno,438.0
2013,Broj,Istočno Novo Sarajevo,Ž,Ukupno,3819.0
2013,Broj,Jezero,Oba spola,Ukupno,365.0
2013,Broj,Kalinovik,M,Ukupno,783.0
2013,Broj,Kneževo,Ž,Ukupno,3168.0
2013,Broj,Kozarska Dubica,Oba spola,Ukupno,7492.0
2013,Broj,Kostajnica,M,Ukupno,1896.0
2013,Broj,Kotor Varoš,Ž,Ukupno,5863.0
2013,Broj,Krupa Na Uni,Oba spola,Ukupno,543.0
2013,Broj,Kupres,M,Ukupno,128.0
2013,Broj,Laktaši,Ž,Ukupno,11293.0
2013,Broj,Lopare,Oba spola,Ukupno,5081.0
2013,Broj,Ljubinje,M,Ukupno,1077.0
2013,Broj,Milići,Ž,Ukupno,3579.0
2013,Broj,Modriča,Oba spola,Ukupno,8553.0
2013,Broj,Mrkonjić Grad,M,Ukupno,6104.0
2013,Broj,Nevesinje,Ž,Ukupno,3985.0
2013,Broj,Novi Grad,Oba spola,Ukupno,8792.0
2013,Broj,Novo Goražde,M,Ukupno,1078.0
2013,Broj,Osmaci,Ž,Ukupno,1675.0
2013,Broj,Oštra Luka,Oba spola,Ukupno,971.0
2013,Broj,Pale,M,Ukupno,7158.0
2013,Broj,Pelagićevo,Ž,Ukupno,1787.0
2013,Broj,Petrovac,Oba spola,Ukupno,130.0
2013,Broj,Petrovo,M,Ukupno,2532.0
2013,Broj,Grad Prijedor,Ž,Ukupno,27961.0
2013,Broj,Prnjavor,Oba spola,Ukupno,12166.0
2013,Broj,Ribnik,M,Ukupno,2252.0
2013,Broj,Rogatica,Ž,Ukupno,3871.0
2013,Broj,Rudo,Oba spola,Ukupno,2847.0
2013,Broj,Sokolac,M,Ukupno,4276.0
2013,Broj,Srbac,Ž,Ukupno,6157.0
2013,Broj,Srebrenica,Oba spola,Ukupno,3792.0
2013,Broj,Teslić,M,Ukupno,13255.0
2013,Broj,Grad Trebinje,Ž,Ukupno,9394.0
2013,Broj,Trnovo,Oba spola,Ukupno,800.0
2013,Broj,Ugljevik,M,Ukupno,4867.0
2013,Broj,Foča,Ž,Ukupno,6544.0
2013,Broj,Han Pijesak,Oba spola,Ukupno,1390.0
2013,Broj,Čajniče,M,Ukupno,1662.0
2013,Broj,Čelinac,Ž,Ukupno,5009.0
2013,Broj,Šamac,Oba spola,Ukupno,5609.0
2013,Broj,Šekovići,M,Ukupno,2517.0
2013,Broj,Šipovo,Ž,Ukupno,3665.0
2013,Broj,Republika Srpska,Oba spola,one_member,91300.0
2013,Broj,Grad Banja Luka,M,one_member,13984.0
2013,Broj,Berkovići,Ž,one_member,129.0
2013,Broj,Grad Bijeljina,Oba spola,one_member,6984.0
2013,Broj,Bileća,M,one_member,629.0
2013,Broj,Bratunac,Ž,one_member,1155.0
2013,Broj,Brod,Oba spola,one_member,1360.0
2013,Broj,Višegrad,M,one_member,1132.0
