Year,UNIT_MEASURE,Teritory,Agricultural households,Value
2013,Broj,REPUBLIKA SRPSKA,Ukupno,408825
2013,Broj,BANJA LUKA,Ukupno,65010
2013,Broj,BERKOVICI,Ukupno,636
2013,Broj,BIJELJINA,Ukupno,34309
2013,Broj,BILECA,Ukupno,3307
2013,Broj,BRATUNAC,Ukupno,5945
2013,Broj,BROD,Ukupno,5599
2013,Broj,VISEGRAD,Ukupno,3966
2013,Broj,VLASENICA,Ukupno,3712
2013,Broj,VUKOSAVLJE,Ukupno,1537
2013,Broj,GACKO,Ukupno,2766
2013,Broj,GRADISKA,Ukupno,16939
2013,Broj,DERVENTA,Ukupno,9345
2013,Broj,DOBOJ,Ukupno,25447
2013,Broj,DONJI ZABAR,Ukupno,1191
2013,Broj,ZVORNIK,Ukupno,17690
2013,Broj,ISTOCNA ILIDZA,Ukupno,4981
2013,Broj,ISTOCNI DRVAR,Ukupno,38
2013,Broj,ISTOCNI MOSTAR,Ukupno,83
2013,Broj,ISTOCNI STARI GRAD,Ukupno,438
2013,Broj,ISTOCNO NOVO SARAJEVO,Ukupno,3819
2013,Broj,JEZERO,Ukupno,365
2013,Broj,KALINOVIK,Ukupno,783
2013,Broj,KNEZEVO,Ukupno,3168
2013,Broj,KOZARSKA DUBICA,Ukupno,7492
2013,Broj,KOSTAJNICA,Ukupno,1896
2013,Broj,KOTOR VAROS,Ukupno,5863
2013,Broj,KRUPA NA UNI,Ukupno,543
2013,Broj,KUPRES,Ukupno,128
2013,Broj,LAKTASI,Ukupno,11293
2013,Broj,LOPARE,Ukupno,5081
2013,Broj,LJUBINJE,Ukupno,1077
2013,Broj,MILICI,Ukupno,3579
2013,Broj,MODRICA,Ukupno,8553
2013,Broj,MRKONJIC GRAD,Ukupno,6104
2013,Broj,NEVESINJE,Ukupno,3985
2013,Broj,NOVI GRAD,Ukupno,8792
2013,Broj,NOVO GORAZDE,Ukupno,1078
2013,Broj,OSMACI,Ukupno,1675
2013,Broj,OSTRA LUKA,Ukupno,971
2013,Broj,PALE,Ukupno,7158
2013,Broj,PELAGICEVO,Ukupno,1787
2013,Broj,PETROVAC,Ukupno,130
2013,Broj,PETROVO,Ukupno,2532
2013,Broj,PRIJEDOR,Ukupno,27961
2013,Broj,PRNJAVOR,Ukupno,12166
2013,Broj,RIBNIK,Ukupno,2252
2013,Broj,ROGATICA,Ukupno,3871
2013,Broj,RUDO,Ukupno,2847
