Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Ukupno,1062861.0
2013,Broj,REPUBLIKA SRPSKA,M,Ukupno,516703.0
2013,Broj,REPUBLIKA SRPSKA,Ž,Ukupno,546158.0
2013,Broj,BANJA LUKA,Oba spola,Ukupno,162106.0
2013,Broj,BANJA LUKA,M,Ukupno,77356.0
2013,Broj,BANJA LUKA,Ž,Ukupno,84750.0
2013,Broj,BERKOVICI,Oba spola,Ukupno,1824.0
2013,Broj,BERKOVICI,M,Ukupno,916.0
2013,Broj,BERKOVICI,Ž,Ukupno,908.0
2013,Broj,BIJELJINA,Oba spola,Ukupno,94007.0
2013,Broj,BIJELJINA,M,Ukupno,45652.0
2013,Broj,BIJELJINA,Ž,Ukupno,48355.0
2013,Broj,BILECA,Oba spola,Ukupno,9644.0
2013,Broj,BILECA,M,Ukupno,4830.0
2013,Broj,BILECA,Ž,Ukupno,4814.0
2013,Broj,BRATUNAC,Oba spola,Ukupno,16773.0
2013,Broj,BRATUNAC,M,Ukupno,8235.0
2013,Broj,BRATUNAC,Ž,Ukupno,8538.0
2013,Broj,BROD,Oba spola,Ukupno,14277.0
2013,Broj,BROD,M,Ukupno,6911.0
2013,Broj,BROD,Ž,Ukupno,7366.0
2013,Broj,VISEGRAD,Oba spola,Ukupno,9381.0
2013,Broj,VISEGRAD,M,Ukupno,4478.0
2013,Broj,VISEGRAD,Ž,Ukupno,4903.0
2013,Broj,VLASENICA,Oba spola,Ukupno,9649.0
2013,Broj,VLASENICA,M,Ukupno,4669.0
2013,Broj,VLASENICA,Ž,Ukupno,4980.0
2013,Broj,VUKOSAVLJE,Oba spola,Ukupno,3950.0
2013,Broj,VUKOSAVLJE,M,Ukupno,1975.0
2013,Broj,VUKOSAVLJE,Ž,Ukupno,1975.0
2013,Broj,GACKO,Oba spola,Ukupno,7864.0
2013,Broj,GACKO,M,Ukupno,3987.0
2013,Broj,GACKO,Ž,Ukupno,3877.0
2013,Broj,GRADISKA,Oba spola,Ukupno,44972.0
2013,Broj,GRADISKA,M,Ukupno,21810.0
2013,Broj,GRADISKA,Ž,Ukupno,23162.0
2013,Broj,DERVENTA,Oba spola,Ukupno,23629.0
2013,Broj,DERVENTA,M,Ukupno,11467.0
2013,Broj,DERVENTA,Ž,Ukupno,12162.0
2013,Broj,DOBOJ,Oba spola,Ukupno,62056.0
2013,Broj,DOBOJ,M,Ukupno,29964.0
2013,Broj,DOBOJ,Ž,Ukupno,32092.0
2013,Broj,DONJI ZABAR,Oba spola,Ukupno,3352.0
2013,Broj,DONJI ZABAR,M,Ukupno,1685.0
2013,Broj,DONJI ZABAR,Ž,Ukupno,1667.0
2013,Broj,ZVORNIK,Oba spola,Ukupno,48535.0
2013,Broj,ZVORNIK,M,Ukupno,23809.0
2013,Broj,ZVORNIK,Ž,Ukupno,24726.0
2013,Broj,ISTOCNA ILIDZA,Oba spola,Ukupno,13131.0
2013,Broj,ISTOCNA ILIDZA,M,Ukupno,6250.0
2013,Broj,ISTOCNA ILIDZA,Ž,Ukupno,6881.0
2013,Broj,ISTOCNI DRVAR,Oba spola,Ukupno,65.0
2013,Broj,ISTOCNI DRVAR,M,Ukupno,43.0
2013,Broj,ISTOCNI DRVAR,Ž,Ukupno,22.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,Ukupno,226.0
2013,Broj,ISTOCNI MOSTAR,M,Ukupno,128.0
2013,Broj,ISTOCNI MOSTAR,Ž,Ukupno,98.0
2013,Broj,ISTOCNI STARI GRAD,Oba spola,Ukupno,1033.0
2013,Broj,ISTOCNI STARI GRAD,M,Ukupno,505.0
2013,Broj,ISTOCNI STARI GRAD,Ž,Ukupno,528.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,Ukupno,9302.0
2013,Broj,ISTOCNO NOVO SARAJEVO,M,Ukupno,4402.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Ukupno,4900.0
2013,Broj,JEZERO,Oba spola,Ukupno,951.0
2013,Broj,JEZERO,M,Ukupno,492.0
2013,Broj,JEZERO,Ž,Ukupno,459.0
2013,Broj,KALINOVIK,Oba spola,Ukupno,1845.0
2013,Broj,KALINOVIK,M,Ukupno,895.0
2013,Broj,KALINOVIK,Ž,Ukupno,950.0
2013,Broj,KNEZEVO,Oba spola,Ukupno,8558.0
2013,Broj,KNEZEVO,M,Ukupno,4209.0
2013,Broj,KNEZEVO,Ž,Ukupno,4349.0
2013,Broj,KOZARSKA DUBICA,Oba spola,Ukupno,19095.0
2013,Broj,KOZARSKA DUBICA,M,Ukupno,9296.0
2013,Broj,KOZARSKA DUBICA,Ž,Ukupno,9799.0
2013,Broj,KOSTAJNICA,Oba spola,Ukupno,5201.0
2013,Broj,KOSTAJNICA,M,Ukupno,2553.0
2013,Broj,KOSTAJNICA,Ž,Ukupno,2648.0
2013,Broj,KOTOR VAROS,Oba spola,Ukupno,16533.0
2013,Broj,KOTOR VAROS,M,Ukupno,8069.0
2013,Broj,KOTOR VAROS,Ž,Ukupno,8464.0
2013,Broj,KRUPA NA UNI,Oba spola,Ukupno,1456.0
2013,Broj,KRUPA NA UNI,M,Ukupno,786.0
2013,Broj,KRUPA NA UNI,Ž,Ukupno,670.0
2013,Broj,KUPRES,Oba spola,Ukupno,280.0
2013,Broj,KUPRES,M,Ukupno,147.0
2013,Broj,KUPRES,Ž,Ukupno,133.0
2013,Broj,LAKTASI,Oba spola,Ukupno,30705.0
2013,Broj,LAKTASI,M,Ukupno,15132.0
2013,Broj,LAKTASI,Ž,Ukupno,15573.0
2013,Broj,LOPARE,Oba spola,Ukupno,13599.0
2013,Broj,LOPARE,M,Ukupno,6831.0
2013,Broj,LOPARE,Ž,Ukupno,6768.0
2013,Broj,LJUBINJE,Oba spola,Ukupno,3046.0
2013,Broj,LJUBINJE,M,Ukupno,1502.0
2013,Broj,LJUBINJE,Ž,Ukupno,1544.0
2013,Broj,MILICI,Oba spola,Ukupno,9487.0
2013,Broj,MILICI,M,Ukupno,4761.0
2013,Broj,MILICI,Ž,Ukupno,4726.0
2013,Broj,MODRICA,Oba spola,Ukupno,22419.0
2013,Broj,MODRICA,M,Ukupno,10910.0
2013,Broj,MODRICA,Ž,Ukupno,11509.0
2013,Broj,MRKONJIC GRAD,Oba spola,Ukupno,14541.0
2013,Broj,MRKONJIC GRAD,M,Ukupno,6944.0
2013,Broj,MRKONJIC GRAD,Ž,Ukupno,7597.0
2013,Broj,NEVESINJE,Oba spola,Ukupno,11346.0
2013,Broj,NEVESINJE,M,Ukupno,5615.0
2013,Broj,NEVESINJE,Ž,Ukupno,5731.0
2013,Broj,NOVI GRAD,Oba spola,Ukupno,23292.0
2013,Broj,NOVI GRAD,M,Ukupno,11576.0
2013,Broj,NOVI GRAD,Ž,Ukupno,11716.0
2013,Broj,NOVO GORAZDE,Oba spola,Ukupno,2718.0
2013,Broj,NOVO GORAZDE,M,Ukupno,1408.0
2013,Broj,NOVO GORAZDE,Ž,Ukupno,1310.0
2013,Broj,OSMACI,Oba spola,Ukupno,5021.0
2013,Broj,OSMACI,M,Ukupno,2498.0
2013,Broj,OSMACI,Ž,Ukupno,2523.0
2013,Broj,OSTRA LUKA,Oba spola,Ukupno,2468.0
2013,Broj,OSTRA LUKA,M,Ukupno,1264.0
2013,Broj,OSTRA LUKA,Ž,Ukupno,1204.0
