Year,UNIT_MEASURE,Type_of_user,Value
2015,Broj,Ukupno,417858
2015,Broj,Maloljetni korisnici,80736
2015,Broj,Odrasli korisnici,337122
2016,Broj,Ukupno,426629
2016,Broj,Maloljetni korisnici,79126
2016,Broj,Odrasli korisnici,347503
2017,Broj,Ukupno,423030
2017,Broj,Maloljetni korisnici,74690
2017,Broj,Odrasli korisnici,348340
2018,Broj,Ukupno,440250
2018,Broj,Maloljetni korisnici,66576
2018,Broj,Odrasli korisnici,373674
2019,Broj,Ukupno,404084
2019,Broj,Maloljetni korisnici,55438
2019,Broj,Odrasli korisnici,348646
2020,Broj,Ukupno,375866
2020,Broj,Maloljetni korisnici,54792
2020,Broj,Odrasli korisnici,321074
