Year,UNIT_MEASURE,Vrsta ustanove,Value
2011,Broj,Ukupno,227
2012,Broj,Ukupno,246
2013,Broj,Ukupno,261
2014,Broj,Ukupno,292
2015,Broj,Ukupno,320
2016,Broj,Ukupno,335
2017,Broj,Ukupno,335
2018,Broj,Ukupno,362
2019,Broj,Ukupno,390
2020,Broj,Ukupno,399
2011,Broj,Javna,176
2012,Broj,Javna,180
2013,Broj,Javna,180
2014,Broj,Javna,181
2015,Broj,Javna,192
2016,Broj,Javna,198
2017,Broj,Javna,200
2018,Broj,Javna,205
2019,Broj,Javna,209
2020,Broj,Javna,215
2011,Broj,Privatna,51
2012,Broj,Privatna,66
2013,Broj,Privatna,81
2014,Broj,Privatna,111
2015,Broj,Privatna,128
2016,Broj,Privatna,137
2017,Broj,Privatna,135
2018,Broj,Privatna,157
2019,Broj,Privatna,181
2020,Broj,Privatna,184
