Year,Spol,UNIT_MEASURE,Religija,Value
2013,Oba spola,Broj,Islam,1790454
2013,Oba spola,Broj,Pravoslavna,1085760
2013,Oba spola,Broj,Katolička,536333
2013,Oba spola,Broj,Muslimanska,22068
2013,Oba spola,Broj,Rimokatolička,6799
2013,Oba spola,Broj,Srpski,3898
2013,Oba spola,Broj,Jehovini svjedoci,1171
2013,Oba spola,Broj,Grkokatolička,982
2013,Oba spola,Broj,Protestantska,655
2013,Oba spola,Broj,Romski,612
2013,Oba spola,Broj,Kršćanska,567
2013,Oba spola,Broj,Bošnjački,411
2013,Oba spola,Broj,Hrvat,275
2013,Oba spola,Broj,Adventist,193
2013,Oba spola,Broj,Bosanski,154
2013,Oba spola,Broj,Agnostik,10816
2013,Oba spola,Broj,Ateist,27853
2013,Oba spola,Broj,Drugo,2870
2013,Oba spola,Broj,Neopredijeljen,32700
2013,Oba spola,Broj,Unknown,6588
2013,M,Broj,Islam,878336
2013,M,Broj,Pravoslavna,532426
2013,M,Broj,Katolička,262423
2013,M,Broj,Muslimanska,11259
2013,M,Broj,Rimokatolička,3426
2013,M,Broj,Srpski,1812
2013,M,Broj,Jehovini svjedoci,437
2013,M,Broj,Grkokatolička,499
2013,M,Broj,Protestantska,312
2013,M,Broj,Romski,334
2013,M,Broj,Kršćanska,296
2013,M,Broj,Bošnjački,207
2013,M,Broj,Hrvat,125
2013,M,Broj,Adventist,80
2013,M,Broj,Bosanski,88
2013,M,Broj,Agnostik,5142
2013,M,Broj,Ateist,15119
2013,M,Broj,Drugo,1604
2013,M,Broj,Neopredijeljen,15086
2013,M,Broj,Unknown,3259
2013,Ž,Broj,Islam,912118
2013,Ž,Broj,Pravoslavna,553334
2013,Ž,Broj,Katolička,273910
2013,Ž,Broj,Muslimanska,10809
2013,Ž,Broj,Rimokatolička,3373
2013,Ž,Broj,Srpski,2086
2013,Ž,Broj,Jehovini svjedoci,734
2013,Ž,Broj,Grkokatolička,483
2013,Ž,Broj,Protestantska,343
2013,Ž,Broj,Romski,278
2013,Ž,Broj,Kršćanska,271
2013,Ž,Broj,Bošnjački,204
2013,Ž,Broj,Hrvat,150
2013,Ž,Broj,Adventist,113
2013,Ž,Broj,Bosanski,66
2013,Ž,Broj,Agnostik,5674
2013,Ž,Broj,Ateist,12734
2013,Ž,Broj,Drugo,1266
2013,Ž,Broj,Neopredijeljen,17614
2013,Ž,Broj,Unknown,3329
