Year,UNIT_MEASURE,Type_of_school,Spol,Value
2011,Broj,_T,Oba spola,163284
2012,Broj,_T,Oba spola,166662
2013,Broj,_T,Oba spola,156350
2014,Broj,_T,Oba spola,143881
2015,Broj,_T,Oba spola,133228
2016,Broj,_T,Oba spola,126824
2017,Broj,_T,Oba spola,124148
2018,Broj,_T,Oba spola,117475
2019,Broj,_T,Oba spola,112796
2020,Broj,_T,Oba spola,110404
2011,Broj,gymnasium,Oba spola,41081
2012,Broj,gymnasium,Oba spola,42225
2013,Broj,gymnasium,Oba spola,40065
2014,Broj,gymnasium,Oba spola,37132
2015,Broj,gymnasium,Oba spola,33321
2016,Broj,gymnasium,Oba spola,30615
2017,Broj,gymnasium,Oba spola,29591
2018,Broj,gymnasium,Oba spola,26731
2019,Broj,gymnasium,Oba spola,24817
2020,Broj,gymnasium,Oba spola,23867
2011,Broj,technical_schools,Oba spola,83704
2012,Broj,technical_schools,Oba spola,86539
2013,Broj,technical_schools,Oba spola,82743
2014,Broj,technical_schools,Oba spola,77388
2015,Broj,technical_schools,Oba spola,72109
2016,Broj,technical_schools,Oba spola,68743
2017,Broj,technical_schools,Oba spola,67895
2018,Broj,technical_schools,Oba spola,64706
2019,Broj,technical_schools,Oba spola,62846
2020,Broj,technical_schools,Oba spola,61811
2011,Broj,art_schools,Oba spola,1514
2012,Broj,art_schools,Oba spola,1520
2013,Broj,art_schools,Oba spola,1445
2014,Broj,art_schools,Oba spola,1291
2015,Broj,art_schools,Oba spola,1216
2016,Broj,art_schools,Oba spola,1203
2017,Broj,art_schools,Oba spola,1154
2018,Broj,art_schools,Oba spola,1166
2019,Broj,art_schools,Oba spola,1139
2020,Broj,art_schools,Oba spola,1151
2011,Broj,religion_schools,Oba spola,2095
2012,Broj,religion_schools,Oba spola,2266
2013,Broj,religion_schools,Oba spola,2258
2014,Broj,religion_schools,Oba spola,2222
2015,Broj,religion_schools,Oba spola,2189
2016,Broj,religion_schools,Oba spola,2227
2017,Broj,religion_schools,Oba spola,2309
2018,Broj,religion_schools,Oba spola,2245
2019,Broj,religion_schools,Oba spola,2197
2020,Broj,religion_schools,Oba spola,2196
2011,Broj,vocational_schools,Oba spola,34479
2012,Broj,vocational_schools,Oba spola,33672
2013,Broj,vocational_schools,Oba spola,29414
2014,Broj,vocational_schools,Oba spola,25463
2015,Broj,vocational_schools,Oba spola,23995
2016,Broj,vocational_schools,Oba spola,23642
2017,Broj,vocational_schools,Oba spola,22819
2018,Broj,vocational_schools,Oba spola,22280
2019,Broj,vocational_schools,Oba spola,21481
2020,Broj,vocational_schools,Oba spola,21054
2011,Broj,high_schools_for_children_with_special_needs,Oba spola,411
2012,Broj,high_schools_for_children_with_special_needs,Oba spola,440
2013,Broj,high_schools_for_children_with_special_needs,Oba spola,425
2014,Broj,high_schools_for_children_with_special_needs,Oba spola,385
2015,Broj,high_schools_for_children_with_special_needs,Oba spola,398
2016,Broj,high_schools_for_children_with_special_needs,Oba spola,394
2017,Broj,high_schools_for_children_with_special_needs,Oba spola,380
2018,Broj,high_schools_for_children_with_special_needs,Oba spola,347
2019,Broj,high_schools_for_children_with_special_needs,Oba spola,316
2020,Broj,high_schools_for_children_with_special_needs,Oba spola,325
2011,Broj,_T,M,82745
2012,Broj,_T,M,84420
2013,Broj,_T,M,78882
2014,Broj,_T,M,72095
2015,Broj,_T,M,66708
2016,Broj,_T,M,63232
2017,Broj,_T,M,61934
2018,Broj,_T,M,58821
2019,Broj,_T,M,56328
2020,Broj,_T,M,55068
2011,Broj,gymnasium,M,15329
2012,Broj,gymnasium,M,15779
2013,Broj,gymnasium,M,14829
2014,Broj,gymnasium,M,13802
2015,Broj,gymnasium,M,12424
2016,Broj,gymnasium,M,11379
2017,Broj,gymnasium,M,10929
2018,Broj,gymnasium,M,9694
2019,Broj,gymnasium,M,8899
2020,Broj,gymnasium,M,8451
2011,Broj,technical_schools,M,41624
2012,Broj,technical_schools,M,43010
2013,Broj,technical_schools,M,41216
2014,Broj,technical_schools,M,38340
2015,Broj,technical_schools,M,35563
2016,Broj,technical_schools,M,33308
2017,Broj,technical_schools,M,32926
2018,Broj,technical_schools,M,31248
2019,Broj,technical_schools,M,30030
2020,Broj,technical_schools,M,29382
2011,Broj,art_schools,M,657
2012,Broj,art_schools,M,645
2013,Broj,art_schools,M,581
2014,Broj,art_schools,M,512
2015,Broj,art_schools,M,471
2016,Broj,art_schools,M,454
2017,Broj,art_schools,M,432
2018,Broj,art_schools,M,447
2019,Broj,art_schools,M,403
2020,Broj,art_schools,M,411
2011,Broj,religion_schools,M,1089
2012,Broj,religion_schools,M,1138
2013,Broj,religion_schools,M,1149
2014,Broj,religion_schools,M,1106
2015,Broj,religion_schools,M,1070
2016,Broj,religion_schools,M,1099
2017,Broj,religion_schools,M,1121
2018,Broj,religion_schools,M,1075
2019,Broj,religion_schools,M,1053
2020,Broj,religion_schools,M,1027
2011,Broj,vocational_schools,M,23787
2012,Broj,vocational_schools,M,23567
2013,Broj,vocational_schools,M,20832
2014,Broj,vocational_schools,M,18088
2015,Broj,vocational_schools,M,16937
2016,Broj,vocational_schools,M,16746
2017,Broj,vocational_schools,M,16292
2018,Broj,vocational_schools,M,16137
2019,Broj,vocational_schools,M,15739
2020,Broj,vocational_schools,M,15588
2011,Broj,high_schools_for_children_with_special_needs,M,259
2012,Broj,high_schools_for_children_with_special_needs,M,281
2013,Broj,high_schools_for_children_with_special_needs,M,275
2014,Broj,high_schools_for_children_with_special_needs,M,247
2015,Broj,high_schools_for_children_with_special_needs,M,243
2016,Broj,high_schools_for_children_with_special_needs,M,246
2017,Broj,high_schools_for_children_with_special_needs,M,234
2018,Broj,high_schools_for_children_with_special_needs,M,220
2019,Broj,high_schools_for_children_with_special_needs,M,204
2020,Broj,high_schools_for_children_with_special_needs,M,209
2011,Broj,_T,Ž,80539
2012,Broj,_T,Ž,82242
2013,Broj,_T,Ž,77468
2014,Broj,_T,Ž,71786
2015,Broj,_T,Ž,66520
2016,Broj,_T,Ž,63592
2017,Broj,_T,Ž,62214
2018,Broj,_T,Ž,58654
2019,Broj,_T,Ž,56468
2020,Broj,_T,Ž,55336
2011,Broj,gymnasium,Ž,25752
2012,Broj,gymnasium,Ž,26446
2013,Broj,gymnasium,Ž,25236
2014,Broj,gymnasium,Ž,23330
2015,Broj,gymnasium,Ž,20897
2016,Broj,gymnasium,Ž,19236
2017,Broj,gymnasium,Ž,18662
2018,Broj,gymnasium,Ž,17037
2019,Broj,gymnasium,Ž,15918
2020,Broj,gymnasium,Ž,15416
2011,Broj,technical_schools,Ž,42080
2012,Broj,technical_schools,Ž,43529
2013,Broj,technical_schools,Ž,41527
2014,Broj,technical_schools,Ž,39048
2015,Broj,technical_schools,Ž,36546
2016,Broj,technical_schools,Ž,35435
2017,Broj,technical_schools,Ž,34969
2018,Broj,technical_schools,Ž,33458
2019,Broj,technical_schools,Ž,32816
2020,Broj,technical_schools,Ž,32429
2011,Broj,art_schools,Ž,857
2012,Broj,art_schools,Ž,875
2013,Broj,art_schools,Ž,864
2014,Broj,art_schools,Ž,779
2015,Broj,art_schools,Ž,745
2016,Broj,art_schools,Ž,749
2017,Broj,art_schools,Ž,722
2018,Broj,art_schools,Ž,719
2019,Broj,art_schools,Ž,736
2020,Broj,art_schools,Ž,740
2011,Broj,religion_schools,Ž,1006
2012,Broj,religion_schools,Ž,1128
2013,Broj,religion_schools,Ž,1109
2014,Broj,religion_schools,Ž,1116
2015,Broj,religion_schools,Ž,1119
2016,Broj,religion_schools,Ž,1128
2017,Broj,religion_schools,Ž,1188
2018,Broj,religion_schools,Ž,1170
2019,Broj,religion_schools,Ž,1144
2020,Broj,religion_schools,Ž,1169
2011,Broj,vocational_schools,Ž,10692
2012,Broj,vocational_schools,Ž,10105
2013,Broj,vocational_schools,Ž,8582
2014,Broj,vocational_schools,Ž,7375
2015,Broj,vocational_schools,Ž,7058
2016,Broj,vocational_schools,Ž,6896
2017,Broj,vocational_schools,Ž,6527
2018,Broj,vocational_schools,Ž,6143
2019,Broj,vocational_schools,Ž,5742
2020,Broj,vocational_schools,Ž,5466
2011,Broj,high_schools_for_children_with_special_needs,Ž,152
2012,Broj,high_schools_for_children_with_special_needs,Ž,159
2013,Broj,high_schools_for_children_with_special_needs,Ž,150
2014,Broj,high_schools_for_children_with_special_needs,Ž,138
2015,Broj,high_schools_for_children_with_special_needs,Ž,155
2016,Broj,high_schools_for_children_with_special_needs,Ž,148
2017,Broj,high_schools_for_children_with_special_needs,Ž,146
2018,Broj,high_schools_for_children_with_special_needs,Ž,127
2019,Broj,high_schools_for_children_with_special_needs,Ž,112
2020,Broj,high_schools_for_children_with_special_needs,Ž,116
