Year,UNIT_MEASURE,Kraj školske godine,Type_of_school,Spol,Value
2010,Broj,2010/2011,Ukupno,Oba spola,35349
2011,Broj,2011/2012,Ukupno,Oba spola,34791
2012,Broj,2012/2013,Ukupno,Oba spola,40630
2013,Broj,2013/2014,Ukupno,Oba spola,43991
2014,Broj,2014/2015,Ukupno,Oba spola,43318
2015,Broj,2015/2016,Ukupno,Oba spola,35897
2016,Broj,2016/2017,Ukupno,Oba spola,31761
2017,Broj,2017/2018,Ukupno,Oba spola,32963
2018,Broj,2018/2019,Ukupno,Oba spola,32540
2019,Broj,2019/2020,Ukupno,Oba spola,31140
2010,Broj,2010/2011,Gimnazija,Oba spola,8863
2011,Broj,2011/2012,Gimnazija,Oba spola,8101
2012,Broj,2012/2013,Gimnazija,Oba spola,9732
2013,Broj,2013/2014,Gimnazija,Oba spola,10855
2014,Broj,2014/2015,Gimnazija,Oba spola,11920
2015,Broj,2015/2016,Gimnazija,Oba spola,9210
2016,Broj,2016/2017,Gimnazija,Oba spola,7893
2017,Broj,2017/2018,Gimnazija,Oba spola,7799
2018,Broj,2018/2019,Gimnazija,Oba spola,7462
2019,Broj,2019/2020,Gimnazija,Oba spola,7010
2010,Broj,2010/2011,Tehničke škole,Oba spola,17510
2011,Broj,2011/2012,Tehničke škole,Oba spola,16553
2012,Broj,2012/2013,Tehničke škole,Oba spola,19679
2013,Broj,2013/2014,Tehničke škole,Oba spola,21299
2014,Broj,2014/2015,Tehničke škole,Oba spola,21426
2015,Broj,2015/2016,Tehničke škole,Oba spola,18617
2016,Broj,2016/2017,Tehničke škole,Oba spola,15815
2017,Broj,2017/2018,Tehničke škole,Oba spola,16988
2018,Broj,2018/2019,Tehničke škole,Oba spola,17092
2019,Broj,2019/2020,Tehničke škole,Oba spola,16116
2010,Broj,2010/2011,Škole umjetnosti,Oba spola,276
2011,Broj,2011/2012,Škole umjetnosti,Oba spola,293
2012,Broj,2012/2013,Škole umjetnosti,Oba spola,316
2013,Broj,2013/2014,Škole umjetnosti,Oba spola,318
2014,Broj,2014/2015,Škole umjetnosti,Oba spola,357
2015,Broj,2015/2016,Škole umjetnosti,Oba spola,288
2016,Broj,2016/2017,Škole umjetnosti,Oba spola,214
2017,Broj,2017/2018,Škole umjetnosti,Oba spola,302
2018,Broj,2018/2019,Škole umjetnosti,Oba spola,281
2019,Broj,2019/2020,Škole umjetnosti,Oba spola,241
2010,Broj,2010/2011,Vjerske škole,Oba spola,447
2011,Broj,2011/2012,Vjerske škole,Oba spola,356
2012,Broj,2012/2013,Vjerske škole,Oba spola,460
2013,Broj,2013/2014,Vjerske škole,Oba spola,517
2014,Broj,2014/2015,Vjerske škole,Oba spola,602
2015,Broj,2015/2016,Vjerske škole,Oba spola,503
2016,Broj,2016/2017,Vjerske škole,Oba spola,476
2017,Broj,2017/2018,Vjerske škole,Oba spola,530
2018,Broj,2018/2019,Vjerske škole,Oba spola,553
2019,Broj,2019/2020,Vjerske škole,Oba spola,518
2010,Broj,2010/2011,Škole za stručno obrazovanje,Oba spola,8154
2011,Broj,2011/2012,Škole za stručno obrazovanje,Oba spola,9386
2012,Broj,2012/2013,Škole za stručno obrazovanje,Oba spola,10331
2013,Broj,2013/2014,Škole za stručno obrazovanje,Oba spola,10806
2014,Broj,2014/2015,Škole za stručno obrazovanje,Oba spola,8890
2015,Broj,2015/2016,Škole za stručno obrazovanje,Oba spola,7161
2016,Broj,2016/2017,Škole za stručno obrazovanje,Oba spola,7260
2017,Broj,2017/2018,Škole za stručno obrazovanje,Oba spola,7224
2018,Broj,2018/2019,Škole za stručno obrazovanje,Oba spola,7018
2019,Broj,2019/2020,Škole za stručno obrazovanje,Oba spola,7149
2010,Broj,2010/2011,Srednje škole za djecu s posebnim potrebama,Oba spola,99
2011,Broj,2011/2012,Srednje škole za djecu s posebnim potrebama,Oba spola,102
2012,Broj,2012/2013,Srednje škole za djecu s posebnim potrebama,Oba spola,112
2013,Broj,2013/2014,Srednje škole za djecu s posebnim potrebama,Oba spola,196
2014,Broj,2014/2015,Srednje škole za djecu s posebnim potrebama,Oba spola,123
2015,Broj,2015/2016,Srednje škole za djecu s posebnim potrebama,Oba spola,118
2016,Broj,2016/2017,Srednje škole za djecu s posebnim potrebama,Oba spola,103
2017,Broj,2017/2018,Srednje škole za djecu s posebnim potrebama,Oba spola,120
2018,Broj,2018/2019,Srednje škole za djecu s posebnim potrebama,Oba spola,134
2019,Broj,2019/2020,Srednje škole za djecu s posebnim potrebama,Oba spola,106
2010,Broj,2010/2011,Ukupno,M,18022
2011,Broj,2011/2012,Ukupno,M,18153
2012,Broj,2012/2013,Ukupno,M,20895
2013,Broj,2013/2014,Ukupno,M,22589
2014,Broj,2014/2015,Ukupno,M,22230
2015,Broj,2015/2016,Ukupno,M,18464
2016,Broj,2016/2017,Ukupno,M,16307
2017,Broj,2017/2018,Ukupno,M,16580
2018,Broj,2018/2019,Ukupno,M,16519
2019,Broj,2019/2020,Ukupno,M,15982
2010,Broj,2010/2011,Gimnazija,M,3246
2011,Broj,2011/2012,Gimnazija,M,3021
2012,Broj,2012/2013,Gimnazija,M,3642
2013,Broj,2013/2014,Gimnazija,M,3946
2014,Broj,2014/2015,Gimnazija,M,4428
2015,Broj,2015/2016,Gimnazija,M,3412
2016,Broj,2016/2017,Gimnazija,M,2895
2017,Broj,2017/2018,Gimnazija,M,2869
2018,Broj,2018/2019,Gimnazija,M,2819
2019,Broj,2019/2020,Gimnazija,M,2538
2010,Broj,2010/2011,Tehničke škole,M,8794
2011,Broj,2011/2012,Tehničke škole,M,8333
2012,Broj,2012/2013,Tehničke škole,M,9735
2013,Broj,2013/2014,Tehničke škole,M,10569
2014,Broj,2014/2015,Tehničke škole,M,10911
2015,Broj,2015/2016,Tehničke škole,M,9580
2016,Broj,2016/2017,Tehničke škole,M,7882
2017,Broj,2017/2018,Tehničke škole,M,8200
2018,Broj,2018/2019,Tehničke škole,M,8309
2019,Broj,2019/2020,Tehničke škole,M,7844
2010,Broj,2010/2011,Škole umjetnosti,M,113
2011,Broj,2011/2012,Škole umjetnosti,M,120
2012,Broj,2012/2013,Škole umjetnosti,M,137
2013,Broj,2013/2014,Škole umjetnosti,M,133
2014,Broj,2014/2015,Škole umjetnosti,M,161
2015,Broj,2015/2016,Škole umjetnosti,M,111
2016,Broj,2016/2017,Škole umjetnosti,M,80
2017,Broj,2017/2018,Škole umjetnosti,M,108
2018,Broj,2018/2019,Škole umjetnosti,M,111
2019,Broj,2019/2020,Škole umjetnosti,M,80
2010,Broj,2010/2011,Vjerske škole,M,228
2011,Broj,2011/2012,Vjerske škole,M,176
2012,Broj,2012/2013,Vjerske škole,M,209
2013,Broj,2013/2014,Vjerske škole,M,260
2014,Broj,2014/2015,Vjerske škole,M,296
2015,Broj,2015/2016,Vjerske škole,M,242
2016,Broj,2016/2017,Vjerske škole,M,241
2017,Broj,2017/2018,Vjerske škole,M,253
2018,Broj,2018/2019,Vjerske škole,M,251
2019,Broj,2019/2020,Vjerske škole,M,259
2010,Broj,2010/2011,Škole za stručno obrazovanje,M,5576
2011,Broj,2011/2012,Škole za stručno obrazovanje,M,6443
2012,Broj,2012/2013,Škole za stručno obrazovanje,M,7094
2013,Broj,2013/2014,Škole za stručno obrazovanje,M,7549
2014,Broj,2014/2015,Škole za stručno obrazovanje,M,6355
2015,Broj,2015/2016,Škole za stručno obrazovanje,M,5047
2016,Broj,2016/2017,Škole za stručno obrazovanje,M,5142
2017,Broj,2017/2018,Škole za stručno obrazovanje,M,5068
2018,Broj,2018/2019,Škole za stručno obrazovanje,M,4947
2019,Broj,2019/2020,Škole za stručno obrazovanje,M,5195
2010,Broj,2010/2011,Srednje škole za djecu s posebnim potrebama,M,65
2011,Broj,2011/2012,Srednje škole za djecu s posebnim potrebama,M,60
2012,Broj,2012/2013,Srednje škole za djecu s posebnim potrebama,M,78
2013,Broj,2013/2014,Srednje škole za djecu s posebnim potrebama,M,132
2014,Broj,2014/2015,Srednje škole za djecu s posebnim potrebama,M,79
