Year,UNIT_MEASURE,scientific_field,Spol,Value
2017,Broj,TOTAL,Oba spola,130
2017,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,10
2017,Broj,"engineering,_production_and_construction",Oba spola,4
2017,Broj,information_and_communication_technologies,Oba spola,12
2017,Broj,health_and_social_protection,Oba spola,25
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,9
2017,Broj,"social_sciences,_journalism_and_information",Oba spola,50
2017,Broj,"business,_administration_and_law",Oba spola,10
2017,Broj,eduaction,Oba spola,0
2017,Broj,humanities_and_arts,Oba spola,10
2017,Broj,services,Oba spola,0
2017,Broj,TOTAL,M,70
2017,Broj,"natural_sciences,_mathematics_and_statistic",M,6
2017,Broj,"engineering,_production_and_construction",M,3
2017,Broj,information_and_communication_technologies,M,9
2017,Broj,health_and_social_protection,M,6
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,Broj,"social_sciences,_journalism_and_information",M,29
2017,Broj,"business,_administration_and_law",M,4
2017,Broj,eduaction,M,0
2017,Broj,humanities_and_arts,M,9
2017,Broj,services,M,0
2017,Broj,TOTAL,Ž,60
2017,Broj,"natural_sciences,_mathematics_and_statistic",Ž,4
2017,Broj,"engineering,_production_and_construction",Ž,1
2017,Broj,information_and_communication_technologies,Ž,3
2017,Broj,health_and_social_protection,Ž,19
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,5
2017,Broj,"social_sciences,_journalism_and_information",Ž,21
2017,Broj,"business,_administration_and_law",Ž,6
2017,Broj,eduaction,Ž,0
2017,Broj,humanities_and_arts,Ž,1
2017,Broj,services,Ž,0
2018,Broj,TOTAL,Oba spola,119
2018,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,8
2018,Broj,"engineering,_production_and_construction",Oba spola,3
2018,Broj,information_and_communication_technologies,Oba spola,11
2018,Broj,health_and_social_protection,Oba spola,37
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,9
2018,Broj,"social_sciences,_journalism_and_information",Oba spola,16
2018,Broj,"business,_administration_and_law",Oba spola,10
2018,Broj,eduaction,Oba spola,3
2018,Broj,humanities_and_arts,Oba spola,22
2018,Broj,services,Oba spola,0
2018,Broj,TOTAL,M,56
2018,Broj,"natural_sciences,_mathematics_and_statistic",M,3
2018,Broj,"engineering,_production_and_construction",M,2
2018,Broj,information_and_communication_technologies,M,11
2018,Broj,health_and_social_protection,M,9
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2018,Broj,"social_sciences,_journalism_and_information",M,8
2018,Broj,"business,_administration_and_law",M,4
2018,Broj,eduaction,M,3
2018,Broj,humanities_and_arts,M,10
2018,Broj,services,M,0
2018,Broj,TOTAL,Ž,63
2018,Broj,"natural_sciences,_mathematics_and_statistic",Ž,5
2018,Broj,"engineering,_production_and_construction",Ž,1
2018,Broj,information_and_communication_technologies,Ž,0
2018,Broj,health_and_social_protection,Ž,28
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,3
2018,Broj,"social_sciences,_journalism_and_information",Ž,8
2018,Broj,"business,_administration_and_law",Ž,6
2018,Broj,eduaction,Ž,0
2018,Broj,humanities_and_arts,Ž,12
2018,Broj,services,Ž,0
2019,Broj,TOTAL,Oba spola,165
