Year,Value,UNIT_MEASURE
2003,0.6,Broj na 1000 brakova
2004,0.5,Broj na 1000 brakova
2005,0.6,Broj na 1000 brakova
2006,0.4,Broj na 1000 brakova
2007,0.5,Broj na 1000 brakova
2008,0.3,Broj na 1000 brakova
2009,0.4,Broj na 1000 brakova
2010,0.4,Broj na 1000 brakova
2011,0.8,Broj na 1000 brakova
2012,0.7,Broj na 1000 brakova
2013,0.9,Broj na 1000 brakova
2014,0.9,Broj na 1000 brakova
2015,1.0,Broj na 1000 brakova
2016,0.9,Broj na 1000 brakova
2017,0.9,Broj na 1000 brakova
2018,0.8,Broj na 1000 brakova
2019,0.8,Broj na 1000 brakova
2020,0.8,Broj na 1000 brakova
