Year,UNIT_MEASURE,Пол,Витална статистика,Value
2003,Број,Оба пола,Живорођени,10537
2004,Број,Оба пола,Живорођени,10628
2005,Број,Оба пола,Живорођени,10322
2006,Број,Оба пола,Живорођени,10524
2007,Број,Оба пола,Живорођени,10110
2008,Број,Оба пола,Живорођени,10198
2009,Број,Оба пола,Живорођени,10603
2010,Број,Оба пола,Живорођени,10147
2011,Број,Оба пола,Живорођени,9561
2012,Број,Оба пола,Живорођени,9978
2013,Број,Оба пола,Живорођени,9510
2014,Број,Оба пола,Живорођени,9335
2015,Број,Оба пола,Живорођени,9357
2016,Број,Оба пола,Живорођени,9452
2017,Број,Оба пола,Живорођени,9339
2018,Број,Оба пола,Живорођени,9568
2019,Број,Оба пола,Живорођени,9274
2020,Број,Оба пола,Живорођени,9161
2003,Број,M,Живорођени,5450
2004,Број,M,Живорођени,5515
2005,Број,M,Живорођени,5302
2006,Број,M,Живорођени,5351
2007,Број,M,Живорођени,5203
2008,Број,M,Живорођени,5262
2009,Број,M,Живорођени,5577
2010,Број,M,Живорођени,5184
2011,Број,M,Живорођени,5008
2012,Број,M,Живорођени,5089
2013,Број,M,Живорођени,4907
2014,Број,M,Живорођени,4846
2015,Број,M,Живорођени,4842
2016,Број,M,Живорођени,4931
2017,Број,M,Живорођени,4886
2018,Број,M,Живорођени,5001
2019,Број,M,Живорођени,4907
2020,Број,M,Живорођени,4792
2003,Број,Ж,Живорођени,5087
2004,Број,Ж,Живорођени,5113
2005,Број,Ж,Живорођени,5020
2006,Број,Ж,Живорођени,5173
2007,Број,Ж,Живорођени,4907
2008,Број,Ж,Живорођени,4936
2009,Број,Ж,Живорођени,5026
2010,Број,Ж,Живорођени,4963
2011,Број,Ж,Живорођени,4553
2012,Број,Ж,Живорођени,4889
2013,Број,Ж,Живорођени,4603
2014,Број,Ж,Живорођени,4489
2015,Број,Ж,Живорођени,4515
2016,Број,Ж,Живорођени,4521
2017,Број,Ж,Живорођени,4453
2018,Број,Ж,Живорођени,4567
2019,Број,Ж,Живорођени,4367
2020,Број,Ж,Живорођени,4369
2003,Број,Оба пола,Умрли,12988
2004,Број,Оба пола,Умрли,13082
2005,Број,Оба пола,Умрли,13802
2006,Број,Оба пола,Умрли,13232
2007,Број,Оба пола,Умрли,14146
2008,Број,Оба пола,Умрли,13501
2009,Број,Оба пола,Умрли,13775
2010,Број,Оба пола,Умрли,13517
2011,Број,Оба пола,Умрли,13658
2012,Број,Оба пола,Умрли,13796
2013,Број,Оба пола,Умрли,13978
2014,Број,Оба пола,Умрли,14409
2015,Број,Оба пола,Умрли,15059
2016,Број,Оба пола,Умрли,13970
2017,Број,Оба пола,Умрли,14663
2018,Број,Оба пола,Умрли,14763
2019,Број,Оба пола,Умрли,15081
2020,Број,Оба пола,Умрли,16582
2003,Број,M,Умрли,6804
2004,Број,M,Умрли,6735
2005,Број,M,Умрли,7239
2006,Број,M,Умрли,6904
2007,Број,M,Умрли,7302
2008,Број,M,Умрли,7058
2009,Број,M,Умрли,7099
2010,Број,M,Умрли,6935
2011,Број,M,Умрли,7001
2012,Број,M,Умрли,7064
2013,Број,M,Умрли,7237
2014,Број,M,Умрли,7386
2015,Број,M,Умрли,7640
2016,Број,M,Умрли,7198
2017,Број,M,Умрли,7363
2018,Број,M,Умрли,7449
2019,Број,M,Умрли,7753
2020,Број,M,Умрли,8613
2003,Број,Ж,Умрли,6184
2004,Број,Ж,Умрли,6347
2005,Број,Ж,Умрли,6563
2006,Број,Ж,Умрли,6328
2007,Број,Ж,Умрли,6844
2008,Број,Ж,Умрли,6443
2009,Број,Ж,Умрли,6676
2010,Број,Ж,Умрли,6582
2011,Број,Ж,Умрли,6657
2012,Број,Ж,Умрли,6732
2013,Број,Ж,Умрли,6741
2014,Број,Ж,Умрли,7023
2015,Број,Ж,Умрли,7419
2016,Број,Ж,Умрли,6772
2017,Број,Ж,Умрли,7300
2018,Број,Ж,Умрли,7314
2019,Број,Ж,Умрли,7328
2020,Број,Ж,Умрли,7969
2003,Број,Оба пола,Природно кретање,-2451
2004,Број,Оба пола,Природно кретање,-2454
2005,Број,Оба пола,Природно кретање,-3480
2006,Број,Оба пола,Природно кретање,-2708
2007,Број,Оба пола,Природно кретање,-4036
2008,Број,Оба пола,Природно кретање,-3303
2009,Број,Оба пола,Природно кретање,-3172
2010,Број,Оба пола,Природно кретање,-3370
2011,Број,Оба пола,Природно кретање,-4097
2012,Број,Оба пола,Природно кретање,-3818
2013,Број,Оба пола,Природно кретање,-4468
2014,Број,Оба пола,Природно кретање,-5074
2015,Број,Оба пола,Природно кретање,-5702
2016,Број,Оба пола,Природно кретање,-4518
2017,Број,Оба пола,Природно кретање,-5324
2018,Број,Оба пола,Природно кретање,-5195
2019,Број,Оба пола,Природно кретање,-5807
2020,Број,Оба пола,Природно кретање,-7421
