Year,UNIT_MEASURE,Value
2003,Стопа наталитета на 1.000 становника,10.9
2004,Стопа наталитета на 1.000 становника,11.0
2005,Стопа наталитета на 1.000 становника,11.6
2006,Стопа наталитета на 1.000 становника,11.2
2007,Стопа наталитета на 1.000 становника,12.0
2008,Стопа наталитета на 1.000 становника,11.4
2009,Стопа наталитета на 1.000 становника,11.7
2010,Стопа наталитета на 1.000 становника,11.5
2011,Стопа наталитета на 1.000 становника,11.6
2012,Стопа наталитета на 1.000 становника,11.8
2013,Стопа наталитета на 1.000 становника,11.9
2014,Стопа наталитета на 1.000 становника,12.3
2015,Стопа наталитета на 1.000 становника,13.0
2016,Стопа наталитета на 1.000 становника,12.1
2017,Стопа наталитета на 1.000 становника,12.7
2018,Стопа наталитета на 1.000 становника,12.9
2019,Стопа наталитета на 1.000 становника,13.2
2020,Стопа наталитета на 1.000 становника,14.6
