Year,Пол,UNIT_MEASURE,Value
2003,M,Старосна доб,28.3
2004,M,Старосна доб,28.4
2005,M,Старосна доб,28.6
2006,M,Старосна доб,28.9
2007,M,Старосна доб,28.9
2008,M,Старосна доб,29.1
2009,M,Старосна доб,29.1
2010,M,Старосна доб,29.2
2011,M,Старосна доб,29.5
2012,M,Старосна доб,29.6
2013,M,Старосна доб,29.9
2014,M,Старосна доб,30.1
2015,M,Старосна доб,30.0
2016,M,Старосна доб,29.9
2017,M,Старосна доб,30.2
2018,M,Старосна доб,30.3
2019,M,Старосна доб,30.2
2020,M,Старосна доб,29.3
2003,Ж,Старосна доб,24.7
2004,Ж,Старосна доб,24.8
2005,Ж,Старосна доб,25.0
2006,Ж,Старосна доб,25.3
2007,Ж,Старосна доб,25.4
2008,Ж,Старосна доб,25.4
2009,Ж,Старосна доб,25.8
2010,Ж,Старосна доб,25.9
2011,Ж,Старосна доб,26.1
2012,Ж,Старосна доб,26.3
2013,Ж,Старосна доб,26.6
2014,Ж,Старосна доб,26.7
2015,Ж,Старосна доб,26.6
2016,Ж,Старосна доб,26.7
2017,Ж,Старосна доб,27.0
2018,Ж,Старосна доб,27.3
2019,Ж,Старосна доб,27.2
2020,Ж,Старосна доб,27.5
