Year,UNIT_MEASURE,Старосна група,Пол,Value
2013.0,Број,Укупно,Укупно,1171179.0
2013.0,Број,0-4,Укупно,53563.0
2013.0,Број,5-9,Укупно,54042.0
2013.0,Број,10-14,Укупно,58024.0
2013.0,Број,15-19,Укупно,69969.0
2013.0,Број,20-24,Укупно,66641.0
2013.0,Број,25-29,Укупно,77070.0
2013.0,Број,30-34,Укупно,80560.0
2013.0,Број,35-39,Укупно,80521.0
2013.0,Број,40-44,Укупно,75966.0
2013.0,Број,45-49,Укупно,83519.0
2013.0,Број,50-54,Укупно,92008.0
2013.0,Број,55-59,Укупно,94412.0
2013.0,Број,60-64,Укупно,85773.0
2013.0,Број,65-69,Укупно,59309.0
2013.0,Број,70-74,Укупно,56085.0
2013.0,Број,75-79,Укупно,47377.0
2013.0,Број,80-84,Укупно,25370.0
2013.0,Број,85-89,Укупно,8869.0
2013.0,Број,90 +,Укупно,2101.0
2013.0,Број,Укупно,M,572298.0
2013.0,Број,0-4,M,27499.0
2013.0,Број,5-9,M,27681.0
2013.0,Број,10-14,M,29826.0
2013.0,Број,15-19,M,36081.0
2013.0,Број,20-24,M,34593.0
2013.0,Број,25-29,M,39298.0
2013.0,Број,30-34,M,40877.0
2013.0,Број,35-39,M,41253.0
2013.0,Број,40-44,M,38815.0
2013.0,Број,45-49,M,41755.0
2013.0,Број,50-54,M,45161.0
2013.0,Број,55-59,M,45750.0
2013.0,Број,60-64,M,40723.0
2013.0,Број,65-69,M,26840.0
2013.0,Број,70-74,M,24039.0
2013.0,Број,75-79,M,18940.0
2013.0,Број,80-84,M,9573.0
2013.0,Број,85-89,M,2977.0
2013.0,Број,90 +,M,617.0
2013.0,Број,Укупно,Ж,598881.0
2013.0,Број,0-4,Ж,26064.0
2013.0,Број,5-9,Ж,26361.0
2013.0,Број,10-14,Ж,28198.0
2013.0,Број,15-19,Ж,33888.0
2013.0,Број,20-24,Ж,32048.0
2013.0,Број,25-29,Ж,37772.0
2013.0,Број,30-34,Ж,39683.0
2013.0,Број,35-39,Ж,39268.0
2013.0,Број,40-44,Ж,37151.0
2013.0,Број,45-49,Ж,41764.0
2013.0,Број,50-54,Ж,46847.0
2013.0,Број,55-59,Ж,48662.0
2013.0,Број,60-64,Ж,45050.0
2013.0,Број,65-69,Ж,32469.0
2013.0,Број,70-74,Ж,32046.0
2013.0,Број,75-79,Ж,28437.0
2013.0,Број,80-84,Ж,15797.0
2013.0,Број,85-89,Ж,5892.0
2013.0,Број,90 +,Ж,1484.0
2014.0,Број,Укупно,Укупно,1167082.0
2014.0,Број,0-4,Укупно,51846.0
2014.0,Број,5-9,Укупно,54417.0
2014.0,Број,10-14,Укупно,56601.0
2014.0,Број,15-19,Укупно,69432.0
2014.0,Број,20-24,Укупно,65038.0
2014.0,Број,25-29,Укупно,75296.0
2014.0,Број,30-34,Укупно,80722.0
2014.0,Број,35-39,Укупно,80852.0
2014.0,Број,40-44,Укупно,76216.0
2014.0,Број,45-49,Укупно,81515.0
2014.0,Број,50-54,Укупно,89781.0
2014.0,Број,55-59,Укупно,93123.0
2014.0,Број,60-64,Укупно,88482.0
2014.0,Број,65-69,Укупно,64182.0
2014.0,Број,70-74,Укупно,52482.0
2014.0,Број,75-79,Укупно,48465.0
2014.0,Број,80-84,Укупно,26497.0
2014.0,Број,85-89,Укупно,9835.0
2014.0,Број,90 +,Укупно,2300.0
2014.0,Број,Укупно,M,570176.0
2014.0,Број,0-4,M,26590.0
2014.0,Број,5-9,M,27911.0
2014.0,Број,10-14,M,29125.0
2014.0,Број,15-19,M,35664.0
2014.0,Број,20-24,M,33895.0
2014.0,Број,25-29,M,38395.0
2014.0,Број,30-34,M,40994.0
2014.0,Број,35-39,M,41341.0
2014.0,Број,40-44,M,39018.0
2014.0,Број,45-49,M,40931.0
2014.0,Број,50-54,M,44141.0
2014.0,Број,55-59,M,44986.0
2014.0,Број,60-64,M,42062.0
2014.0,Број,65-69,M,29180.0
2014.0,Број,70-74,M,22426.0
2014.0,Број,75-79,M,19519.0
2014.0,Број,80-84,M,9894.0
2014.0,Број,85-89,M,3430.0
2014.0,Број,90 +,M,674.0
2014.0,Број,Укупно,Ж,596906.0
2014.0,Број,0-4,Ж,25256.0
2014.0,Број,5-9,Ж,26506.0
2014.0,Број,10-14,Ж,27476.0
2014.0,Број,15-19,Ж,33768.0
2014.0,Број,20-24,Ж,31143.0
2014.0,Број,25-29,Ж,36901.0
2014.0,Број,30-34,Ж,39728.0
2014.0,Број,35-39,Ж,39511.0
2014.0,Број,40-44,Ж,37198.0
2014.0,Број,45-49,Ж,40584.0
2014.0,Број,50-54,Ж,45640.0
2014.0,Број,55-59,Ж,48137.0
2014.0,Број,60-64,Ж,46420.0
2014.0,Број,65-69,Ж,35002.0
2014.0,Број,70-74,Ж,30056.0
2014.0,Број,75-79,Ж,28946.0
2014.0,Број,80-84,Ж,16603.0
2014.0,Број,85-89,Ж,6405.0
2014.0,Број,90 +,Ж,1626.0
2015.0,Број,Укупно,Укупно,1162164.0
2015.0,Број,0-4,Укупно,50067.0
2015.0,Број,5-9,Укупно,54755.0
2015.0,Број,10-14,Укупно,55647.0
2015.0,Број,15-19,Укупно,66727.0
2015.0,Број,20-24,Укупно,65603.0
2015.0,Број,25-29,Укупно,73297.0
2015.0,Број,30-34,Укупно,80365.0
2015.0,Број,35-39,Укупно,81003.0
2015.0,Број,40-44,Укупно,77328.0
2015.0,Број,45-49,Укупно,78838.0
2015.0,Број,50-54,Укупно,87925.0
2015.0,Број,55-59,Укупно,91658.0
2015.0,Број,60-64,Укупно,90125.0
2015.0,Број,65-69,Укупно,70039.0
2015.0,Број,70-74,Укупно,48676.0
2015.0,Број,75-79,Укупно,49216.0
2015.0,Број,80-84,Укупно,27692.0
2015.0,Број,85-89,Укупно,10696.0
2015.0,Број,90 +,Укупно,2507.0
2015.0,Број,Укупно,M,567711.0
2015.0,Број,0-4,M,25709.0
2015.0,Број,5-9,M,28072.0
2015.0,Број,10-14,M,28692.0
2015.0,Број,15-19,M,34235.0
2015.0,Број,20-24,M,34166.0
2015.0,Број,25-29,M,37392.0
2015.0,Број,30-34,M,40942.0
2015.0,Број,35-39,M,41257.0
2015.0,Број,40-44,M,39602.0
2015.0,Број,45-49,M,39752.0
2015.0,Број,50-54,M,43301.0
2015.0,Број,55-59,M,44221.0
2015.0,Број,60-64,M,42870.0
2015.0,Број,65-69,M,31928.0
2015.0,Број,70-74,M,20798.0
2015.0,Број,75-79,M,19949.0
2015.0,Број,80-84,M,10285.0
2015.0,Број,85-89,M,3791.0
2015.0,Број,90 +,M,749.0
2015.0,Број,Укупно,Ж,594453.0
2015.0,Број,0-4,Ж,24358.0
2015.0,Број,5-9,Ж,26683.0
2015.0,Број,10-14,Ж,26955.0
2015.0,Број,15-19,Ж,32492.0
2015.0,Број,20-24,Ж,31437.0
2015.0,Број,25-29,Ж,35905.0
2015.0,Број,30-34,Ж,39423.0
2015.0,Број,35-39,Ж,39746.0
2015.0,Број,40-44,Ж,37726.0
2015.0,Број,45-49,Ж,39086.0
2015.0,Број,50-54,Ж,44624.0
2015.0,Број,55-59,Ж,47437.0
2015.0,Број,60-64,Ж,47255.0
2015.0,Број,65-69,Ж,38111.0
2015.0,Број,70-74,Ж,27878.0
2015.0,Број,75-79,Ж,29267.0
2015.0,Број,80-84,Ж,17407.0
2015.0,Број,85-89,Ж,6905.0
2015.0,Број,90 +,Ж,1758.0
2016.0,Број,Укупно,Укупно,1157516.0
2016.0,Број,0-4,Укупно,48734.0
2016.0,Број,5-9,Укупно,54692.0
2016.0,Број,10-14,Укупно,54647.0
2016.0,Број,15-19,Укупно,63924.0
2016.0,Број,20-24,Укупно,66283.0
2016.0,Број,25-29,Укупно,71750.0
2016.0,Број,30-34,Укупно,79504.0
2016.0,Број,35-39,Укупно,80647.0
2016.0,Број,40-44,Укупно,78874.0
2016.0,Број,45-49,Укупно,76424.0
2016.0,Број,50-54,Укупно,86398.0
2016.0,Број,55-59,Укупно,90613.0
2016.0,Број,60-64,Укупно,91762.0
2016.0,Број,65-69,Укупно,73686.0
2016.0,Број,70-74,Укупно,47137.0
2016.0,Број,75-79,Укупно,49174.0
2016.0,Број,80-84,Укупно,29104.0
2016.0,Број,85-89,Укупно,11443.0
2016.0,Број,90 +,Укупно,2720.0
2016.0,Број,Укупно,M,565368.0
2016.0,Број,0-4,M,25099.0
2016.0,Број,5-9,M,28032.0
2016.0,Број,10-14,M,28143.0
2016.0,Број,15-19,M,32819.0
2016.0,Број,20-24,M,34406.0
2016.0,Број,25-29,M,36741.0
2016.0,Број,30-34,M,40519.0
2016.0,Број,35-39,M,40983.0
2016.0,Број,40-44,M,40396.0
2016.0,Број,45-49,M,38631.0
2016.0,Број,50-54,M,42599.0
2016.0,Број,55-59,M,43773.0
2016.0,Број,60-64,M,43636.0
2016.0,Број,65-69,M,33670.0
2016.0,Број,70-74,M,20198.0
2016.0,Број,75-79,M,20005.0
2016.0,Број,80-84,M,10819.0
2016.0,Број,85-89,M,4077.0
2016.0,Број,90 +,M,822.0
2016.0,Број,Укупно,Ж,592148.0
2016.0,Број,0-4,Ж,23635.0
2016.0,Број,5-9,Ж,26660.0
2016.0,Број,10-14,Ж,26504.0
2016.0,Број,15-19,Ж,31105.0
2016.0,Број,20-24,Ж,31877.0
2016.0,Број,25-29,Ж,35009.0
2016.0,Број,30-34,Ж,38985.0
2016.0,Број,35-39,Ж,39664.0
2016.0,Број,40-44,Ж,38478.0
2016.0,Број,45-49,Ж,37793.0
2016.0,Број,50-54,Ж,43799.0
2016.0,Број,55-59,Ж,46840.0
2016.0,Број,60-64,Ж,48126.0
2016.0,Број,65-69,Ж,40016.0
2016.0,Број,70-74,Ж,26939.0
2016.0,Број,75-79,Ж,29169.0
2016.0,Број,80-84,Ж,18285.0
2016.0,Број,85-89,Ж,7366.0
2016.0,Број,90 +,Ж,1898.0
2017.0,Број,Укупно,Укупно,1153017.0
2017.0,Број,0-4,Укупно,47669.0
2017.0,Број,5-9,Укупно,54425.0
2017.0,Број,10-14,Укупно,54011.0
2017.0,Број,15-19,Укупно,60988.0
2017.0,Број,20-24,Укупно,67578.0
2017.0,Број,25-29,Укупно,69711.0
2017.0,Број,30-34,Укупно,78413.0
2017.0,Број,35-39,Укупно,80313.0
2017.0,Број,40-44,Укупно,79628.0
2017.0,Број,45-49,Укупно,75563.0
2017.0,Број,50-54,Укупно,84512.0
2017.0,Број,55-59,Укупно,90210.0
2017.0,Број,60-64,Укупно,91623.0
2017.0,Број,65-69,Укупно,76077.0
2017.0,Број,70-74,Укупно,49170.0
2017.0,Број,75-79,Укупно,47544.0
2017.0,Број,80-84,Укупно,30644.0
2017.0,Број,85-89,Укупно,12003.0
2017.0,Број,90 +,Укупно,2935.0
2017.0,Број,Укупно,M,563187.0
2017.0,Број,0-4,M,24658.0
2017.0,Број,5-9,M,27909.0
