Year,UNIT_MEASURE,Административна област,Витална статистика,Value
2013,Број,Република Српска,Укупно,518243
2013,Број,Град Бања Лука,Укупно,80633
2013,Број,Берковићи,Укупно,839
2013,Број,Град Бијељина,Укупно,45729
2013,Број,Билећа,Укупно,4500
2013,Број,Братунац,Укупно,8127
2013,Број,Брод,Укупно,6996
2013,Број,Вишеград,Укупно,4691
2013,Број,Власеница,Укупно,4738
2013,Број,Вукосавље,Укупно,1849
2013,Број,Гацко,Укупно,3646
2013,Број,Град Градишка,Укупно,22005
2013,Број,Град Дервента,Укупно,11515
2013,Број,Град Добој,Укупно,30598
2013,Број,Доњи Жабар,Укупно,1561
2013,Број,Град Зворник,Укупно,23313
2013,Број,Источна Илиџа,Укупно,6538
2013,Број,Источни Дрвар,Укупно,22
2013,Број,Источни Мостар,Укупно,93
2013,Број,Источни Стари Град,Укупно,516
2013,Број,Источно Ново Сарајево,Укупно,4659
2013,Број,Језеро,Укупно,437
2013,Број,Калиновик,Укупно,898
2013,Број,Кнежево,Укупно,4079
2013,Број,Козарска Дубица,Укупно,9386
2013,Број,Костајница,Укупно,2538
2013,Број,Котор Варош,Укупно,7914
2013,Број,Крупа на Уни,Укупно,628
2013,Број,Купрес,Укупно,127
2013,Број,Лакташи,Укупно,14682
2013,Број,Лопаре,Укупно,6471
2013,Број,Љубиње,Укупно,1475
2013,Број,Милићи,Укупно,4489
2013,Број,Модрича,Укупно,10856
2013,Број,Мркоњић Град,Укупно,7153
2013,Број,Невесиње,Укупно,5385
2013,Број,Нови Град,Укупно,11191
2013,Број,Ново Горажде,Укупно,1263
2013,Број,Осмаци,Укупно,2367
2013,Број,Оштра Лука,Укупно,1131
2013,Број,Пале,Укупно,9317
2013,Број,Пелагићево,Укупно,1978
2013,Број,Петровац,Укупно,160
2013,Број,Петрово,Укупно,2902
2013,Број,Град Приједор,Укупно,36570
2013,Број,Прњавор,Укупно,15254
2013,Број,Рибник,Укупно,2560
2013,Број,Рогатица,Укупно,4567
2013,Број,Рудо,Укупно,3315
2013,Број,Соколац,Укупно,5142
2013,Број,Србац,Укупно,7462
2013,Број,Сребреница,Укупно,5260
2013,Број,Теслић,Укупно,16491
2013,Број,Град Требиње,Укупно,12436
2013,Број,Трново,Укупно,936
2013,Број,Угљевик,Укупно,6451
2013,Број,Фоча,Укупно,7700
2013,Број,Хан Пијесак,Укупно,1631
2013,Број,Чајниче,Укупно,2025
2013,Број,Челинац,Укупно,6555
2013,Број,Шамац,Укупно,7431
2013,Број,Шековићи,Укупно,2815
2013,Број,Шипово,Укупно,4247
2013,Број,Република Српска,Нису рађале,131752
2013,Број,Град Бања Лука,Нису рађале,22958
2013,Број,Берковићи,Нису рађале,198
2013,Број,Град Бијељина,Нису рађале,11452
2013,Број,Билећа,Нису рађале,1303
2013,Број,Братунац,Нису рађале,2067
2013,Број,Брод,Нису рађале,1822
2013,Број,Вишеград,Нису рађале,1278
2013,Број,Власеница,Нису рађале,1293
2013,Број,Вукосавље,Нису рађале,419
2013,Број,Гацко,Нису рађале,1080
2013,Број,Град Градишка,Нису рађале,5312
2013,Број,Град Дервента,Нису рађале,2841
2013,Број,Град Добој,Нису рађале,7244
2013,Број,Доњи Жабар,Нису рађале,394
2013,Број,Град Зворник,Нису рађале,5530
2013,Број,Источна Илиџа,Нису рађале,1897
2013,Број,Источни Дрвар,Нису рађале,5
2013,Број,Источни Мостар,Нису рађале,25
2013,Број,Источни Стари Град,Нису рађале,122
2013,Број,Источно Ново Сарајево,Нису рађале,1372
2013,Број,Језеро,Нису рађале,111
2013,Број,Калиновик,Нису рађале,250
2013,Број,Кнежево,Нису рађале,868
2013,Број,Козарска Дубица,Нису рађале,2106
2013,Број,Костајница,Нису рађале,632
2013,Број,Котор Варош,Нису рађале,2052
2013,Број,Крупа на Уни,Нису рађале,110
2013,Број,Купрес,Нису рађале,24
2013,Број,Лакташи,Нису рађале,3589
2013,Број,Лопаре,Нису рађале,1679
2013,Број,Љубиње,Нису рађале,377
2013,Број,Милићи,Нису рађале,1235
2013,Број,Модрича,Нису рађале,2736
2013,Број,Мркоњић Град,Нису рађале,1571
2013,Број,Невесиње,Нису рађале,1490
2013,Број,Нови Град,Нису рађале,2605
2013,Број,Ново Горажде,Нису рађале,405
2013,Број,Осмаци,Нису рађале,570
2013,Број,Оштра Лука,Нису рађале,235
2013,Број,Пале,Нису рађале,2843
2013,Број,Пелагићево,Нису рађале,467
2013,Број,Петровац,Нису рађале,34
2013,Број,Петрово,Нису рађале,581
2013,Број,Град Приједор,Нису рађале,9358
2013,Број,Прњавор,Нису рађале,3458
2013,Број,Рибник,Нису рађале,493
2013,Број,Рогатица,Нису рађале,1126
2013,Број,Рудо,Нису рађале,769
2013,Број,Соколац,Нису рађале,1278
2013,Број,Србац,Нису рађале,1710
2013,Број,Сребреница,Нису рађале,1385
2013,Број,Теслић,Нису рађале,3716
2013,Број,Град Требиње,Нису рађале,3394
2013,Број,Трново,Нису рађале,243
2013,Број,Угљевик,Нису рађале,1598
2013,Број,Фоча,Нису рађале,2037
2013,Број,Хан Пијесак,Нису рађале,391
2013,Број,Чајниче,Нису рађале,525
2013,Број,Челинац,Нису рађале,1600
2013,Број,Шамац,Нису рађале,1848
2013,Број,Шековићи,Нису рађале,667
2013,Број,Шипово,Нису рађале,974
2013,Број,Република Српска,one_child,69805
2013,Број,Град Бања Лука,one_child,13545
2013,Број,Берковићи,one_child,72
2013,Број,Град Бијељина,one_child,6922
2013,Број,Билећа,one_child,374
