Year,UNIT_MEASURE,Административно подручје,Величина домаћинства,Value
2013,Број,Република Српска,Укупно,408825
2013,Број,Град Бања Лука,Укупно,65010
2013,Број,Берковићи,Укупно,636
2013,Број,Град Бијељина,Укупно,34309
2013,Број,Билећа,Укупно,3307
2013,Број,Братунац,Укупно,5945
2013,Број,Брод,Укупно,5599
2013,Број,Вишеград,Укупно,3966
2013,Број,Власеница,Укупно,3712
2013,Број,Вукосавље,Укупно,1537
2013,Број,Гацко,Укупно,2766
2013,Број,Град Градишка,Укупно,16939
2013,Број,Град Дервента,Укупно,9345
2013,Број,Град Добој,Укупно,25447
2013,Број,Доњи Жабар,Укупно,1191
2013,Број,Град Зворник,Укупно,17690
2013,Број,Источна Илиџа,Укупно,4981
2013,Број,Источни Дрвар,Укупно,38
2013,Број,Источни Мостар,Укупно,83
2013,Број,Источни Стари Град,Укупно,438
2013,Број,Источно Ново Сарајево,Укупно,3819
2013,Број,Језеро,Укупно,365
2013,Број,Калиновик,Укупно,783
2013,Број,Кнежево,Укупно,3168
2013,Број,Козарска Дубица,Укупно,7492
2013,Број,Костајница,Укупно,1896
2013,Број,Котор Варош,Укупно,5863
2013,Број,Крупа на Уни,Укупно,543
2013,Број,Купрес,Укупно,128
2013,Број,Лакташи,Укупно,11293
2013,Број,Лопаре,Укупно,5081
2013,Број,Љубиње,Укупно,1077
2013,Број,Милићи,Укупно,3579
2013,Број,Модрича,Укупно,8553
2013,Број,Мркоњић Град,Укупно,6104
2013,Број,Невесиње,Укупно,3985
2013,Број,Нови Град,Укупно,8792
2013,Број,Ново Горажде,Укупно,1078
2013,Број,Осмаци,Укупно,1675
2013,Број,Оштра Лука,Укупно,971
2013,Број,Пале,Укупно,7158
2013,Број,Пелагићево,Укупно,1787
2013,Број,Петровац,Укупно,130
2013,Број,Петрово,Укупно,2532
2013,Број,Град Приједор,Укупно,27961
2013,Број,Прњавор,Укупно,12166
2013,Број,Рибник,Укупно,2252
2013,Број,Рогатица,Укупно,3871
2013,Број,Рудо,Укупно,2847
2013,Број,Соколац,Укупно,4276
2013,Број,Србац,Укупно,6157
2013,Број,Сребреница,Укупно,3792
2013,Број,Теслић,Укупно,13255
2013,Број,Град Требиње,Укупно,9394
2013,Број,Трново,Укупно,800
2013,Број,Угљевик,Укупно,4867
2013,Број,Фоча,Укупно,6544
2013,Број,Хан Пијесак,Укупно,1390
2013,Број,Чајниче,Укупно,1662
2013,Број,Челинац,Укупно,5009
2013,Број,Шамац,Укупно,5609
2013,Број,Шековићи,Укупно,2517
2013,Број,Шипово,Укупно,3665
2013,Број,Република Српска,1 члан,91300
2013,Број,Град Бања Лука,1 члан,13984
2013,Број,Берковићи,1 члан,129
2013,Број,Град Бијељина,1 члан,6984
2013,Број,Билећа,1 члан,629
2013,Број,Братунац,1 члан,1155
2013,Број,Брод,1 члан,1360
2013,Број,Вишеград,1 члан,1132
2013,Број,Власеница,1 члан,768
2013,Број,Вукосавље,1 члан,348
2013,Број,Гацко,1 члан,522
2013,Број,Град Градишка,1 члан,3782
2013,Број,Град Дервента,1 члан,2270
2013,Број,Град Добој,1 члан,6230
2013,Број,Доњи Жабар,1 члан,271
2013,Број,Град Зворник,1 члан,3323
2013,Број,Источна Илиџа,1 члан,949
2013,Број,Источни Дрвар,1 члан,24
2013,Број,Источни Мостар,1 члан,29
2013,Број,Источни Стари Град,1 члан,123
2013,Број,Источно Ново Сарајево,1 члан,904
2013,Број,Језеро,1 члан,86
2013,Број,Калиновик,1 члан,245
2013,Број,Кнежево,1 члан,611
2013,Број,Козарска Дубица,1 члан,1898
2013,Број,Костајница,1 члан,384
2013,Број,Котор Варош,1 члан,1089
2013,Број,Крупа на Уни,1 члан,159
2013,Број,Купрес,1 члан,44
2013,Број,Лакташи,1 члан,2093
2013,Број,Лопаре,1 члан,1256
2013,Број,Љубиње,1 члан,196
2013,Број,Милићи,1 члан,789
2013,Број,Модрича,1 члан,1983
2013,Број,Мркоњић Град,1 члан,1538
2013,Број,Невесиње,1 члан,766
2013,Број,Нови Град,1 члан,1965
2013,Број,Ново Горажде,1 члан,270
2013,Број,Осмаци,1 члан,254
2013,Број,Оштра Лука,1 члан,277
2013,Број,Пале,1 члан,1515
2013,Број,Пелагићево,1 члан,640
2013,Број,Петровац,1 члан,34
2013,Број,Петрово,1 члан,726
2013,Број,Град Приједор,1 члан,6423
2013,Број,Прњавор,1 члан,2943
2013,Број,Рибник,1 члан,642
2013,Број,Рогатица,1 члан,986
2013,Број,Рудо,1 члан,696
2013,Број,Соколац,1 члан,1022
2013,Број,Србац,1 члан,1507
2013,Број,Сребреница,1 члан,874
2013,Број,Теслић,1 члан,3060
2013,Број,Град Требиње,1 члан,1848
2013,Број,Трново,1 члан,223
2013,Број,Угљевик,1 члан,1019
2013,Број,Фоча,1 члан,1635
2013,Број,Хан Пијесак,1 члан,389
2013,Број,Чајниче,1 члан,395
2013,Број,Челинац,1 члан,951
2013,Број,Шамац,1 члан,1406
2013,Број,Шековићи,1 члан,708
2013,Број,Шипово,1 члан,839
2013,Број,Република Српска,2 члана,107130
2013,Број,Град Бања Лука,2 члана,17243
2013,Број,Берковићи,2 члана,166
2013,Број,Град Бијељина,2 члана,8272
2013,Број,Билећа,2 члана,719
2013,Број,Братунац,2 члана,1345
2013,Број,Брод,2 члана,1439
2013,Број,Вишеград,2 члана,1172
2013,Број,Власеница,2 члана,1001
2013,Број,Вукосавље,2 члана,425
2013,Број,Гацко,2 члана,622
2013,Број,Град Градишка,2 члана,4438
2013,Број,Град Дервента,2 члана,2598
2013,Број,Град Добој,2 члана,7242
2013,Број,Доњи Жабар,2 члана,290
2013,Број,Град Зворник,2 члана,4288
2013,Број,Источна Илиџа,2 члана,1316
2013,Број,Источни Дрвар,2 члана,7
2013,Број,Источни Мостар,2 члана,15
2013,Број,Источни Стари Град,2 члана,146
2013,Број,Источно Ново Сарајево,2 члана,1011
2013,Број,Језеро,2 члана,89
2013,Број,Калиновик,2 члана,213
2013,Број,Кнежево,2 члана,937
2013,Број,Козарска Дубица,2 члана,2021
2013,Број,Костајница,2 члана,477
2013,Број,Котор Варош,2 члана,1358
2013,Број,Крупа на Уни,2 члана,128
2013,Број,Купрес,2 члана,48
2013,Број,Лакташи,2 члана,2768
2013,Број,Лопаре,2 члана,1261
2013,Број,Љубиње,2 члана,254
2013,Број,Милићи,2 члана,859
2013,Број,Модрича,2 члана,2332
2013,Број,Мркоњић Град,2 члана,1806
2013,Број,Невесиње,2 члана,939
2013,Број,Нови Град,2 члана,2390
2013,Број,Ново Горажде,2 члана,288
2013,Број,Осмаци,2 члана,372
2013,Број,Оштра Лука,2 члана,243
2013,Број,Пале,2 члана,1890
2013,Број,Пелагићево,2 члана,516
2013,Број,Петровац,2 члана,35
2013,Број,Петрово,2 члана,760
2013,Број,Град Приједор,2 члана,7125
2013,Број,Прњавор,2 члана,3253
2013,Број,Рибник,2 члана,673
2013,Број,Рогатица,2 члана,1120
2013,Број,Рудо,2 члана,851
2013,Број,Соколац,2 члана,1227
2013,Број,Србац,2 члана,1729
2013,Број,Сребреница,2 члана,858
2013,Број,Теслић,2 члана,3602
2013,Број,Град Требиње,2 члана,2317
2013,Број,Трново,2 члана,250
2013,Број,Угљевик,2 члана,1118
2013,Број,Фоча,2 члана,1877
2013,Број,Хан Пијесак,2 члана,439
2013,Број,Чајниче,2 члана,442
2013,Број,Челинац,2 члана,1260
2013,Број,Шамац,2 члана,1408
2013,Број,Шековићи,2 члана,783
2013,Број,Шипово,2 члана,1059
2013,Број,Република Српска,3 члана,79155
2013,Број,Град Бања Лука,3 члана,14267
2013,Број,Берковићи,3 члана,92
2013,Број,Град Бијељина,3 члана,6586
2013,Број,Билећа,3 члана,620
2013,Број,Братунац,3 члана,1137
2013,Број,Брод,3 члана,1107
2013,Број,Вишеград,3 члана,724
2013,Број,Власеница,3 члана,747
2013,Број,Вукосавље,3 члана,280
2013,Број,Гацко,3 члана,561
2013,Број,Град Градишка,3 члана,3140
2013,Број,Град Дервента,3 члана,1688
2013,Број,Град Добој,3 члана,4956
2013,Број,Доњи Жабар,3 члана,178
2013,Број,Град Зворник,3 члана,3400
2013,Број,Источна Илиџа,3 члана,1075
2013,Број,Источни Дрвар,3 члана,6
2013,Број,Источни Мостар,3 члана,12
2013,Број,Источни Стари Град,3 члана,75
2013,Број,Источно Ново Сарајево,3 члана,813
2013,Број,Језеро,3 члана,75
2013,Број,Калиновик,3 члана,136
2013,Број,Кнежево,3 члана,554
2013,Број,Козарска Дубица,3 члана,1351
2013,Број,Костајница,3 члана,384
2013,Број,Котор Варош,3 члана,1079
2013,Број,Крупа на Уни,3 члана,84
2013,Број,Купрес,3 члана,16
2013,Број,Лакташи,3 члана,2241
2013,Број,Лопаре,3 члана,908
2013,Број,Љубиње,3 члана,234
2013,Број,Милићи,3 члана,709
2013,Број,Модрича,3 члана,1567
2013,Број,Мркоњић Град,3 члана,1218
2013,Број,Невесиње,3 члана,701
2013,Број,Нови Град,3 члана,1669
2013,Број,Ново Горажде,3 члана,193
2013,Број,Осмаци,3 члана,317
2013,Број,Оштра Лука,3 члана,151
2013,Број,Пале,3 члана,1438
2013,Број,Пелагићево,3 члана,225
2013,Број,Петровац,3 члана,22
2013,Број,Петрово,3 члана,448
2013,Број,Град Приједор,3 члана,5351
2013,Број,Прњавор,3 члана,2183
2013,Број,Рибник,3 члана,356
2013,Број,Рогатица,3 члана,709
2013,Број,Рудо,3 члана,523
2013,Број,Соколац,3 члана,808
2013,Број,Србац,3 члана,1106
2013,Број,Сребреница,3 члана,656
2013,Број,Теслић,3 члана,2559
2013,Број,Град Требиње,3 члана,1871
2013,Број,Трново,3 члана,143
2013,Број,Угљевик,3 члана,821
2013,Број,Фоча,3 члана,1263
2013,Број,Хан Пијесак,3 члана,249
2013,Број,Чајниче,3 члана,303
2013,Број,Челинац,3 члана,985
2013,Број,Шамац,3 члана,971
2013,Број,Шековићи,3 члана,418
2013,Број,Шипово,3 члана,696
2013,Број,Република Српска,4 члана,72771
2013,Број,Град Бања Лука,4 члана,12952
2013,Број,Берковићи,4 члана,84
2013,Број,Град Бијељина,4 члана,6377
2013,Број,Билећа,4 члана,616
2013,Број,Братунац,4 члана,1161
2013,Број,Брод,4 члана,928
2013,Број,Вишеград,4 члана,582
2013,Број,Власеница,4 члана,687
2013,Број,Вукосавље,4 члана,249
2013,Број,Гацко,4 члана,480
2013,Број,Град Градишка,4 члана,2878
2013,Број,Град Дервента,4 члана,1520
2013,Број,Град Добој,4 члана,4148
2013,Број,Доњи Жабар,4 члана,184
2013,Број,Град Зворник,4 члана,3448
2013,Број,Источна Илиџа,4 члана,1028
2013,Број,Источни Дрвар,4 члана,0
2013,Број,Источни Мостар,4 члана,10
