Year,UNIT_MEASURE,Град/општина,Пољопривредна активност,Value
2013,Број,Република Српска,Обављање пољопривредне активности,140960
2013,Број,Град Бања Лука,Обављање пољопривредне активности,8832
2013,Број,Берковићи,Обављање пољопривредне активности,450
2013,Број,Град Бијељина,Обављање пољопривредне активности,10563
2013,Број,Билећа,Обављање пољопривредне активности,1659
2013,Број,Братунац,Обављање пољопривредне активности,3166
2013,Број,Брод,Обављање пољопривредне активности,1512
2013,Број,Вишеград,Обављање пољопривредне активности,963
2013,Број,Власеница,Обављање пољопривредне активности,1381
2013,Број,Вукосавље,Обављање пољопривредне активности,532
2013,Број,Гацко,Обављање пољопривредне активности,986
2013,Број,Град Градишка,Обављање пољопривредне активности,6402
2013,Број,Град Дервента,Обављање пољопривредне активности,3038
2013,Број,Град Добој,Обављање пољопривредне активности,9221
2013,Број,Доњи Жабар,Обављање пољопривредне активности,617
2013,Број,Град Зворник,Обављање пољопривредне активности,7120
2013,Број,Источна Илиџа,Обављање пољопривредне активности,1045
2013,Број,Источни Дрвар,Обављање пољопривредне активности,11
2013,Број,Источни Мостар,Обављање пољопривредне активности,60
2013,Број,Источни Стари Град,Обављање пољопривредне активности,262
2013,Број,Источно Ново Сарајево,Обављање пољопривредне активности,505
2013,Број,Језеро,Обављање пољопривредне активности,99
2013,Број,Калиновик,Обављање пољопривредне активности,365
2013,Број,Кнежево,Обављање пољопривредне активности,1920
2013,Број,Козарска Дубица,Обављање пољопривредне активности,2974
2013,Број,Костајница,Обављање пољопривредне активности,746
2013,Број,Котор Варош,Обављање пољопривредне активности,1826
2013,Број,Крупа на Уни,Обављање пољопривредне активности,453
2013,Број,Купрес,Обављање пољопривредне активности,85
2013,Број,Лакташи,Обављање пољопривредне активности,3882
2013,Број,Лопаре,Обављање пољопривредне активности,2416
2013,Број,Љубиње,Обављање пољопривредне активности,598
2013,Број,Милићи,Обављање пољопривредне активности,1395
2013,Број,Модрича,Обављање пољопривредне активности,2793
2013,Број,Мркоњић Град,Обављање пољопривредне активности,2540
2013,Број,Невесиње,Обављање пољопривредне активности,2062
2013,Број,Нови Град,Обављање пољопривредне активности,3770
2013,Број,Ново Горажде,Обављање пољопривредне активности,431
2013,Број,Осмаци,Обављање пољопривредне активности,1002
2013,Број,Оштра Лука,Обављање пољопривредне активности,572
2013,Број,Пале,Обављање пољопривредне активности,1527
2013,Број,Пелагићево,Обављање пољопривредне активности,869
2013,Број,Петровац,Обављање пољопривредне активности,54
2013,Број,Петрово,Обављање пољопривредне активности,1388
2013,Број,Град Приједор,Обављање пољопривредне активности,8920
2013,Број,Прњавор,Обављање пољопривредне активности,6121
2013,Број,Рибник,Обављање пољопривредне активности,1579
2013,Број,Рогатица,Обављање пољопривредне активности,1481
2013,Број,Рудо,Обављање пољопривредне активности,1466
2013,Број,Соколац,Обављање пољопривредне активности,1586
2013,Број,Србац,Обављање пољопривредне активности,2852
2013,Број,Сребреница,Обављање пољопривредне активности,1905
2013,Број,Теслић,Обављање пољопривредне активности,7062
2013,Број,Град Требиње,Обављање пољопривредне активности,2485
2013,Број,Трново,Обављање пољопривредне активности,341
2013,Број,Угљевик,Обављање пољопривредне активности,2419
2013,Број,Фоча,Обављање пољопривредне активности,1965
2013,Број,Хан Пијесак,Обављање пољопривредне активности,448
2013,Број,Чајниче,Обављање пољопривредне активности,884
2013,Број,Челинац,Обављање пољопривредне активности,2592
2013,Број,Шамац,Обављање пољопривредне активности,2223
2013,Број,Шековићи,Обављање пољопривредне активности,890
2013,Број,Шипово,Обављање пољопривредне активности,1649
2013,Број,Република Српска,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,25335
2013,Број,Град Бања Лука,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,593
2013,Број,Берковићи,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,234
2013,Број,Град Бијељина,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,4977
2013,Број,Билећа,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,213
2013,Број,Братунац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,704
2013,Број,Брод,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,134
2013,Број,Вишеград,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,97
2013,Број,Власеница,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,241
2013,Број,Вукосавље,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,74
2013,Број,Гацко,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,437
2013,Број,Град Градишка,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,2285
2013,Број,Град Дервента,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,455
2013,Број,Град Добој,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,515
2013,Број,Доњи Жабар,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,219
2013,Број,Град Зворник,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,770
2013,Број,Источна Илиџа,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,51
2013,Број,Источни Дрвар,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,1
2013,Број,Источни Мостар,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,9
2013,Број,Источни Стари Град,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,35
2013,Број,Источно Ново Сарајево,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,43
2013,Број,Језеро,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,9
2013,Број,Калиновик,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,93
2013,Број,Кнежево,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,305
2013,Број,Козарска Дубица,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,860
2013,Број,Костајница,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,193
2013,Број,Котор Варош,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,139
