Year,UNIT_MEASURE,Град/општина,Пол,Писменост,Value
2013,Број,Република Српска,Укупно,Неписмен,34928.0
2013,Број,Република Српска,M,Неписмен,4987.0
2013,Број,Република Српска,Ж,Неписмен,29941.0
2013,Број,Град Бања Лука,Укупно,Неписмен,3503.0
2013,Број,Град Бања Лука,M,Неписмен,509.0
2013,Број,Град Бања Лука,Ж,Неписмен,2994.0
2013,Број,Берковићи,Укупно,Неписмен,47.0
2013,Број,Берковићи,M,Неписмен,1.0
2013,Број,Берковићи,Ж,Неписмен,46.0
2013,Број,Град Бијељина,Укупно,Неписмен,2541.0
2013,Број,Град Бијељина,M,Неписмен,413.0
2013,Број,Град Бијељина,Ж,Неписмен,2128.0
2013,Број,Билећа,Укупно,Неписмен,144.0
2013,Број,Билећа,M,Неписмен,31.0
2013,Број,Билећа,Ж,Неписмен,113.0
2013,Број,Братунац,Укупно,Неписмен,865.0
2013,Број,Братунац,M,Неписмен,82.0
2013,Број,Братунац,Ж,Неписмен,783.0
2013,Број,Брод,Укупно,Неписмен,330.0
2013,Број,Брод,M,Неписмен,53.0
2013,Број,Брод,Ж,Неписмен,277.0
2013,Број,Вишеград,Укупно,Неписмен,358.0
2013,Број,Вишеград,M,Неписмен,35.0
2013,Број,Вишеград,Ж,Неписмен,323.0
2013,Број,Власеница,Укупно,Неписмен,350.0
2013,Број,Власеница,M,Неписмен,49.0
2013,Број,Власеница,Ж,Неписмен,301.0
2013,Број,Вукосавље,Укупно,Неписмен,196.0
2013,Број,Вукосавље,M,Неписмен,31.0
2013,Број,Вукосавље,Ж,Неписмен,165.0
2013,Број,Гацко,Укупно,Неписмен,110.0
2013,Број,Гацко,M,Неписмен,10.0
2013,Број,Гацко,Ж,Неписмен,100.0
2013,Број,Град Градишка,Укупно,Неписмен,1526.0
2013,Број,Град Градишка,M,Неписмен,204.0
2013,Број,Град Градишка,Ж,Неписмен,1322.0
2013,Број,Град Дервента,Укупно,Неписмен,812.0
2013,Број,Град Дервента,M,Неписмен,120.0
2013,Број,Град Дервента,Ж,Неписмен,692.0
2013,Број,Град Добој,Укупно,Неписмен,1979.0
2013,Број,Град Добој,M,Неписмен,270.0
2013,Број,Град Добој,Ж,Неписмен,1709.0
2013,Број,Доњи Жабар,Укупно,Неписмен,128.0
2013,Број,Доњи Жабар,M,Неписмен,26.0
2013,Број,Доњи Жабар,Ж,Неписмен,102.0
2013,Број,Град Зворник,Укупно,Неписмен,2055.0
2013,Број,Град Зворник,M,Неписмен,245.0
2013,Број,Град Зворник,Ж,Неписмен,1810.0
2013,Број,Источна Илиџа,Укупно,Неписмен,171.0
2013,Број,Источна Илиџа,M,Неписмен,22.0
2013,Број,Источна Илиџа,Ж,Неписмен,149.0
2013,Број,Источни Дрвар,Укупно,Неписмен,2.0
2013,Број,Источни Дрвар,M,Неписмен,0.0
2013,Број,Источни Дрвар,Ж,Неписмен,2.0
2013,Број,Источни Мостар,Укупно,Неписмен,19.0
2013,Број,Источни Мостар,M,Неписмен,1.0
2013,Број,Источни Мостар,Ж,Неписмен,18.0
2013,Број,Источни Стари Град,Укупно,Неписмен,40.0
2013,Број,Источни Стари Град,M,Неписмен,3.0
2013,Број,Источни Стари Град,Ж,Неписмен,37.0
2013,Број,Источно Ново Сарајево,Укупно,Неписмен,80.0
2013,Број,Источно Ново Сарајево,M,Неписмен,14.0
2013,Број,Источно Ново Сарајево,Ж,Неписмен,66.0
2013,Број,Језеро,Укупно,Неписмен,43.0
2013,Број,Језеро,M,Неписмен,7.0
2013,Број,Језеро,Ж,Неписмен,36.0
2013,Број,Калиновик,Укупно,Неписмен,86.0
2013,Број,Калиновик,M,Неписмен,5.0
2013,Број,Калиновик,Ж,Неписмен,81.0
2013,Број,Кнежево,Укупно,Неписмен,971.0
2013,Број,Кнежево,M,Неписмен,146.0
2013,Број,Кнежево,Ж,Неписмен,825.0
2013,Број,Козарска Дубица,Укупно,Неписмен,590.0
2013,Број,Козарска Дубица,M,Неписмен,77.0
2013,Број,Козарска Дубица,Ж,Неписмен,513.0
2013,Број,Костајница,Укупно,Неписмен,115.0
2013,Број,Костајница,M,Неписмен,14.0
2013,Број,Костајница,Ж,Неписмен,101.0
2013,Број,Котор Варош,Укупно,Неписмен,1042.0
2013,Број,Котор Варош,M,Неписмен,148.0
2013,Број,Котор Варош,Ж,Неписмен,894.0
2013,Број,Крупа на Уни,Укупно,Неписмен,145.0
2013,Број,Крупа на Уни,M,Неписмен,21.0
2013,Број,Крупа на Уни,Ж,Неписмен,124.0
2013,Број,Купрес,Укупно,Неписмен,81.0
2013,Број,Купрес,M,Неписмен,27.0
2013,Број,Купрес,Ж,Неписмен,54.0
2013,Број,Лакташи,Укупно,Неписмен,752.0
2013,Број,Лакташи,M,Неписмен,117.0
2013,Број,Лакташи,Ж,Неписмен,635.0
2013,Број,Лопаре,Укупно,Неписмен,680.0
2013,Број,Лопаре,M,Неписмен,123.0
2013,Број,Лопаре,Ж,Неписмен,557.0
2013,Број,Љубиње,Укупно,Неписмен,49.0
2013,Број,Љубиње,M,Неписмен,5.0
2013,Број,Љубиње,Ж,Неписмен,44.0
2013,Број,Милићи,Укупно,Неписмен,399.0
2013,Број,Милићи,M,Неписмен,51.0
2013,Број,Милићи,Ж,Неписмен,348.0
2013,Број,Модрича,Укупно,Неписмен,736.0
2013,Број,Модрича,M,Неписмен,119.0
2013,Број,Модрича,Ж,Неписмен,617.0
2013,Број,Мркоњић Град,Укупно,Неписмен,821.0
2013,Број,Мркоњић Град,M,Неписмен,95.0
2013,Број,Мркоњић Град,Ж,Неписмен,726.0
2013,Број,Невесиње,Укупно,Неписмен,305.0
2013,Број,Невесиње,M,Неписмен,32.0
2013,Број,Невесиње,Ж,Неписмен,273.0
2013,Број,Нови Град,Укупно,Неписмен,666.0
2013,Број,Нови Град,M,Неписмен,106.0
2013,Број,Нови Град,Ж,Неписмен,560.0
2013,Број,Ново Горажде,Укупно,Неписмен,76.0
2013,Број,Ново Горажде,M,Неписмен,5.0
2013,Број,Ново Горажде,Ж,Неписмен,71.0
2013,Број,Осмаци,Укупно,Неписмен,264.0
2013,Број,Осмаци,M,Неписмен,29.0
2013,Број,Осмаци,Ж,Неписмен,235.0
2013,Број,Оштра Лука,Укупно,Неписмен,196.0
2013,Број,Оштра Лука,M,Неписмен,32.0
2013,Број,Оштра Лука,Ж,Неписмен,164.0
2013,Број,Пале,Укупно,Неписмен,293.0
2013,Број,Пале,M,Неписмен,40.0
2013,Број,Пале,Ж,Неписмен,253.0
2013,Број,Пелагићево,Укупно,Неписмен,179.0
2013,Број,Пелагићево,M,Неписмен,29.0
2013,Број,Пелагићево,Ж,Неписмен,150.0
2013,Број,Петровац,Укупно,Неписмен,6.0
2013,Број,Петровац,M,Неписмен,0.0
2013,Број,Петровац,Ж,Неписмен,6.0
2013,Број,Петрово,Укупно,Неписмен,245.0
2013,Број,Петрово,M,Неписмен,28.0
2013,Број,Петрово,Ж,Неписмен,217.0
2013,Број,Град Приједор,Укупно,Неписмен,2172.0
2013,Број,Град Приједор,M,Неписмен,422.0
2013,Број,Град Приједор,Ж,Неписмен,1750.0
2013,Број,Прњавор,Укупно,Неписмен,1408.0
2013,Број,Прњавор,M,Неписмен,203.0
2013,Број,Прњавор,Ж,Неписмен,1205.0
2013,Број,Рибник,Укупно,Неписмен,456.0
2013,Број,Рибник,M,Неписмен,69.0
2013,Број,Рибник,Ж,Неписмен,387.0
2013,Број,Рогатица,Укупно,Неписмен,351.0
2013,Број,Рогатица,M,Неписмен,38.0
2013,Број,Рогатица,Ж,Неписмен,313.0
