Year,UNIT_MEASURE,Град/општина,Пол,Највиша завршена школа,Value
2013,Број,Република Српска,Укупно,Без икаквог образовања,58651
2013,Број,Република Српска,M,Без икаквог образовања,9370
2013,Број,Република Српска,Ж,Без икаквог образовања,49281
2013,Број,Град Бања Лука,Укупно,Без икаквог образовања,5673
2013,Број,Град Бања Лука,M,Без икаквог образовања,921
2013,Број,Град Бања Лука,Ж,Без икаквог образовања,4752
2013,Број,Берковићи,Укупно,Без икаквог образовања,104
2013,Број,Берковићи,M,Без икаквог образовања,8
2013,Број,Берковићи,Ж,Без икаквог образовања,96
2013,Број,Град Бијељина,Укупно,Без икаквог образовања,3916
2013,Број,Град Бијељина,M,Без икаквог образовања,650
2013,Број,Град Бијељина,Ж,Без икаквог образовања,3266
2013,Број,Билећа,Укупно,Без икаквог образовања,246
2013,Број,Билећа,M,Без икаквог образовања,42
2013,Број,Билећа,Ж,Без икаквог образовања,204
2013,Број,Братунац,Укупно,Без икаквог образовања,1297
2013,Број,Братунац,M,Без икаквог образовања,166
2013,Број,Братунац,Ж,Без икаквог образовања,1131
2013,Број,Брод,Укупно,Без икаквог образовања,586
2013,Број,Брод,M,Без икаквог образовања,90
2013,Број,Брод,Ж,Без икаквог образовања,496
2013,Број,Вишеград,Укупно,Без икаквог образовања,576
2013,Број,Вишеград,M,Без икаквог образовања,65
2013,Број,Вишеград,Ж,Без икаквог образовања,511
2013,Број,Власеница,Укупно,Без икаквог образовања,629
2013,Број,Власеница,M,Без икаквог образовања,101
2013,Број,Власеница,Ж,Без икаквог образовања,528
2013,Број,Вукосавље,Укупно,Без икаквог образовања,329
2013,Број,Вукосавље,M,Без икаквог образовања,69
2013,Број,Вукосавље,Ж,Без икаквог образовања,260
2013,Број,Гацко,Укупно,Без икаквог образовања,268
2013,Број,Гацко,M,Без икаквог образовања,22
2013,Број,Гацко,Ж,Без икаквог образовања,246
2013,Број,Град Градишка,Укупно,Без икаквог образовања,2608
2013,Број,Град Градишка,M,Без икаквог образовања,425
2013,Број,Град Градишка,Ж,Без икаквог образовања,2183
2013,Број,Град Дервента,Укупно,Без икаквог образовања,1538
2013,Број,Град Дервента,M,Без икаквог образовања,281
2013,Број,Град Дервента,Ж,Без икаквог образовања,1257
2013,Број,Град Добој,Укупно,Без икаквог образовања,3364
2013,Број,Град Добој,M,Без икаквог образовања,496
2013,Број,Град Добој,Ж,Без икаквог образовања,2868
2013,Број,Доњи Жабар,Укупно,Без икаквог образовања,209
2013,Број,Доњи Жабар,M,Без икаквог образовања,37
2013,Број,Доњи Жабар,Ж,Без икаквог образовања,172
2013,Број,Град Зворник,Укупно,Без икаквог образовања,3216
2013,Број,Град Зворник,M,Без икаквог образовања,484
2013,Број,Град Зворник,Ж,Без икаквог образовања,2732
2013,Број,Источна Илиџа,Укупно,Без икаквог образовања,280
2013,Број,Источна Илиџа,M,Без икаквог образовања,33
2013,Број,Источна Илиџа,Ж,Без икаквог образовања,247
2013,Број,Источни Дрвар,Укупно,Без икаквог образовања,5
2013,Број,Источни Дрвар,M,Без икаквог образовања,0
2013,Број,Источни Дрвар,Ж,Без икаквог образовања,5
2013,Број,Источни Мостар,Укупно,Без икаквог образовања,19
2013,Број,Источни Мостар,M,Без икаквог образовања,1
2013,Број,Источни Мостар,Ж,Без икаквог образовања,18
2013,Број,Источни Стари Град,Укупно,Без икаквог образовања,61
2013,Број,Источни Стари Град,M,Без икаквог образовања,5
2013,Број,Источни Стари Град,Ж,Без икаквог образовања,56
2013,Број,Источно Ново Сарајево,Укупно,Без икаквог образовања,191
2013,Број,Источно Ново Сарајево,M,Без икаквог образовања,25
2013,Број,Источно Ново Сарајево,Ж,Без икаквог образовања,166
2013,Број,Језеро,Укупно,Без икаквог образовања,79
2013,Број,Језеро,M,Без икаквог образовања,14
2013,Број,Језеро,Ж,Без икаквог образовања,65
2013,Број,Калиновик,Укупно,Без икаквог образовања,158
2013,Број,Калиновик,M,Без икаквог образовања,11
2013,Број,Калиновик,Ж,Без икаквог образовања,147
2013,Број,Кнежево,Укупно,Без икаквог образовања,1390
2013,Број,Кнежево,M,Без икаквог образовања,311
2013,Број,Кнежево,Ж,Без икаквог образовања,1079
2013,Број,Козарска Дубица,Укупно,Без икаквог образовања,984
2013,Број,Козарска Дубица,M,Без икаквог образовања,154
2013,Број,Козарска Дубица,Ж,Без икаквог образовања,830
