Year,UNIT_MEASURE,Град/општина,Пол,Врста потешкоће,Value
2013,Број,Република Српска,Укупно,Укупно,102262
2013,Број,Република Српска,M,Укупно,46720
2013,Број,Република Српска,Ж,Укупно,55542
2013,Број,Град Бања Лука,Укупно,Укупно,13450
2013,Број,Град Бања Лука,M,Укупно,6251
2013,Број,Град Бања Лука,Ж,Укупно,7199
2013,Број,Берковићи,Укупно,Укупно,165
2013,Број,Берковићи,M,Укупно,75
2013,Број,Берковићи,Ж,Укупно,90
2013,Број,Град Бијељина,Укупно,Укупно,8763
2013,Број,Град Бијељина,M,Укупно,3967
2013,Број,Град Бијељина,Ж,Укупно,4796
2013,Број,Билећа,Укупно,Укупно,813
2013,Број,Билећа,M,Укупно,339
2013,Број,Билећа,Ж,Укупно,474
2013,Број,Братунац,Укупно,Укупно,1534
2013,Број,Братунац,M,Укупно,688
2013,Број,Братунац,Ж,Укупно,846
2013,Број,Брод,Укупно,Укупно,1420
2013,Број,Брод,M,Укупно,658
2013,Број,Брод,Ж,Укупно,762
2013,Број,Вишеград,Укупно,Укупно,1097
2013,Број,Вишеград,M,Укупно,422
2013,Број,Вишеград,Ж,Укупно,675
2013,Број,Власеница,Укупно,Укупно,786
2013,Број,Власеница,M,Укупно,393
2013,Број,Власеница,Ж,Укупно,393
2013,Број,Вукосавље,Укупно,Укупно,472
2013,Број,Вукосавље,M,Укупно,226
2013,Број,Вукосавље,Ж,Укупно,246
2013,Број,Гацко,Укупно,Укупно,597
2013,Број,Гацко,M,Укупно,261
2013,Број,Гацко,Ж,Укупно,336
2013,Број,Град Градишка,Укупно,Укупно,4427
2013,Број,Град Градишка,M,Укупно,1965
2013,Број,Град Градишка,Ж,Укупно,2462
2013,Број,Град Дервента,Укупно,Укупно,2529
2013,Број,Град Дервента,M,Укупно,1153
2013,Број,Град Дервента,Ж,Укупно,1376
2013,Број,Град Добој,Укупно,Укупно,7404
2013,Број,Град Добој,M,Укупно,3292
2013,Број,Град Добој,Ж,Укупно,4112
2013,Број,Доњи Жабар,Укупно,Укупно,313
2013,Број,Доњи Жабар,M,Укупно,146
2013,Број,Доњи Жабар,Ж,Укупно,167
2013,Број,Град Зворник,Укупно,Укупно,4328
2013,Број,Град Зворник,M,Укупно,2027
2013,Број,Град Зворник,Ж,Укупно,2301
2013,Број,Источна Илиџа,Укупно,Укупно,1025
2013,Број,Источна Илиџа,M,Укупно,464
2013,Број,Источна Илиџа,Ж,Укупно,561
2013,Број,Источни Дрвар,Укупно,Укупно,9
2013,Број,Источни Дрвар,M,Укупно,5
2013,Број,Источни Дрвар,Ж,Укупно,4
2013,Број,Источни Мостар,Укупно,Укупно,14
2013,Број,Источни Мостар,M,Укупно,4
2013,Број,Источни Мостар,Ж,Укупно,10
2013,Број,Источни Стари Град,Укупно,Укупно,100
2013,Број,Источни Стари Град,M,Укупно,42
2013,Број,Источни Стари Град,Ж,Укупно,58
2013,Број,Источно Ново Сарајево,Укупно,Укупно,611
2013,Број,Источно Ново Сарајево,M,Укупно,276
2013,Број,Источно Ново Сарајево,Ж,Укупно,335
2013,Број,Језеро,Укупно,Укупно,80
2013,Број,Језеро,M,Укупно,37
2013,Број,Језеро,Ж,Укупно,43
2013,Број,Калиновик,Укупно,Укупно,203
2013,Број,Калиновик,M,Укупно,88
2013,Број,Калиновик,Ж,Укупно,115
2013,Број,Кнежево,Укупно,Укупно,933
2013,Број,Кнежево,M,Укупно,449
2013,Број,Кнежево,Ж,Укупно,484
2013,Број,Козарска Дубица,Укупно,Укупно,2078
2013,Број,Козарска Дубица,M,Укупно,919
2013,Број,Козарска Дубица,Ж,Укупно,1159
2013,Број,Костајница,Укупно,Укупно,475
2013,Број,Костајница,M,Укупно,216
2013,Број,Костајница,Ж,Укупно,259
2013,Број,Котор Варош,Укупно,Укупно,1857
2013,Број,Котор Варош,M,Укупно,865
2013,Број,Котор Варош,Ж,Укупно,992
2013,Број,Крупа на Уни,Укупно,Укупно,204
2013,Број,Крупа на Уни,M,Укупно,93
2013,Број,Крупа на Уни,Ж,Укупно,111
2013,Број,Купрес,Укупно,Укупно,49
2013,Број,Купрес,M,Укупно,27
2013,Број,Купрес,Ж,Укупно,22
2013,Број,Лакташи,Укупно,Укупно,2445
2013,Број,Лакташи,M,Укупно,1196
2013,Број,Лакташи,Ж,Укупно,1249
2013,Број,Лопаре,Укупно,Укупно,1612
2013,Број,Лопаре,M,Укупно,791
2013,Број,Лопаре,Ж,Укупно,821
2013,Број,Љубиње,Укупно,Укупно,197
2013,Број,Љубиње,M,Укупно,84
2013,Број,Љубиње,Ж,Укупно,113
2013,Број,Милићи,Укупно,Укупно,860
2013,Број,Милићи,M,Укупно,392
2013,Број,Милићи,Ж,Укупно,468
2013,Број,Модрича,Укупно,Укупно,2458
2013,Број,Модрича,M,Укупно,1119
2013,Број,Модрича,Ж,Укупно,1339
2013,Број,Мркоњић Град,Укупно,Укупно,1300
2013,Број,Мркоњић Град,M,Укупно,602
2013,Број,Мркоњић Град,Ж,Укупно,698
2013,Број,Невесиње,Укупно,Укупно,876
2013,Број,Невесиње,M,Укупно,379
2013,Број,Невесиње,Ж,Укупно,497
2013,Број,Нови Град,Укупно,Укупно,2687
2013,Број,Нови Град,M,Укупно,1179
2013,Број,Нови Град,Ж,Укупно,1508
2013,Број,Ново Горажде,Укупно,Укупно,206
2013,Број,Ново Горажде,M,Укупно,101
2013,Број,Ново Горажде,Ж,Укупно,105
2013,Број,Осмаци,Укупно,Укупно,513
2013,Број,Осмаци,M,Укупно,234
2013,Број,Осмаци,Ж,Укупно,279
2013,Број,Оштра Лука,Укупно,Укупно,394
2013,Број,Оштра Лука,M,Укупно,205
2013,Број,Оштра Лука,Ж,Укупно,189
2013,Број,Пале,Укупно,Укупно,1289
2013,Број,Пале,M,Укупно,594
2013,Број,Пале,Ж,Укупно,695
2013,Број,Пелагићево,Укупно,Укупно,688
2013,Број,Пелагићево,M,Укупно,299
2013,Број,Пелагићево,Ж,Укупно,389
2013,Број,Петровац,Укупно,Укупно,16
2013,Број,Петровац,M,Укупно,6
2013,Број,Петровац,Ж,Укупно,10
2013,Број,Петрово,Укупно,Укупно,944
2013,Број,Петрово,M,Укупно,399
2013,Број,Петрово,Ж,Укупно,545
2013,Број,Град Приједор,Укупно,Укупно,7173
2013,Број,Град Приједор,M,Укупно,3333
2013,Број,Град Приједор,Ж,Укупно,3840
2013,Број,Прњавор,Укупно,Укупно,3309
2013,Број,Прњавор,M,Укупно,1497
2013,Број,Прњавор,Ж,Укупно,1812
