Year,UNIT_MEASURE,Врста установе,Value
2016,Број,Установе за дјецу и омладину,530
2017,Број,Установе за дјецу и омладину,509
2018,Број,Установе за дјецу и омладину,509
2019,Број,Установе за дјецу и омладину,485
2020,Број,Установе за дјецу и омладину,478
2016,Број,Установе за одрасле,2020
2017,Број,Установе за одрасле,2228
2018,Број,Установе за одрасле,2661
2019,Број,Установе за одрасле,3116
2020,Број,Установе за одрасле,3087
2021,Број,Установе за дјецу и омладину,500
2021,Број,Установе за одрасле,3482
2022,Број,Установе за дјецу и омладину,464
2022,Број,Установе за одрасле,3853
2023,Број,Установе за дјецу и омладину,457
2023,Број,Установе за одрасле,3452
