Year,UNIT_MEASURE,Врста школе,Value
2016,Број,Гимназијe,9443
2016,Број,Средње техничке школе,24999
2016,Број,Средње стручне школе,6162
2016,Број,Умјетничке школе,307
2016,Број,Вјерске школе,88
2016,Број,Средње школе за ученике са сметњама у развоју,137
2017,Број,Гимназијe,8875
2017,Број,Средње техничке школе,24644
2017,Број,Средње стручне школе,5832
2017,Број,Умјетничке школе,275
2017,Број,Вјерске школе,80
2017,Број,Средње школе за ученике са сметњама у развоју,125
2018,Број,Гимназијe,8360
2018,Број,Средње техничке школе,23574
2018,Број,Средње стручне школе,6107
2018,Број,Умјетничке школе,287
2018,Број,Вјерске школе,65
2018,Број,Средње школе за ученике са сметњама у развоју,106
2019,Број,Гимназијe,7781
2019,Број,Средње техничке школе,22965
2019,Број,Средње стручне школе,6023
2019,Број,Умјетничке школе,293
2019,Број,Вјерске школе,58
2019,Број,Средње школе за ученике са сметњама у развоју,86
2020,Број,Гимназијe,7278
2020,Број,Средње техничке школе,22749
2020,Број,Средње стручне школе,5935
2020,Број,Умјетничке школе,311
2020,Број,Вјерске школе,54
2020,Број,Средње школе за ученике са сметњама у развоју,78
2021,Број,Гимназијe,6679
2021,Број,Средње техничке школе,22666
2021,Број,Средње стручне школе,5739
2021,Број,Умјетничке школе,416
2021,Број,Вјерске школе,42
2021,Број,Средње школе за ученике са сметњама у развоју,73
2022,Број,Гимназијe,6317
2022,Број,Средње техничке школе,22747
2022,Број,Средње стручне школе,5360
2022,Број,Умјетничке школе,410
2022,Број,Вјерске школе,98
2022,Број,Средње школе за ученике са сметњама у развоју,66
2023,Број,Гимназијe,6011
2023,Број,Средње техничке школе,23024
2023,Број,Средње стручне школе,5317
2023,Број,Умјетничке школе,298
2023,Број,Вјерске школе,109
2023,Број,Средње школе за ученике са сметњама у развоју,66
2024,Број,Гимназијe,5735
2024,Број,Средње техничке школе,23599
2024,Број,Средње стручне школе,5308
2024,Број,Умјетничке школе,291
2024,Број,Вјерске школе,111
2024,Број,Средње школе за ученике са сметњама у развоју,74
