Year,UNIT_MEASURE,scientific_field,Value
2017,Број,education,542
2017,Број,arts_and_humanities,429
2017,Број,"social_sciences,_journalism_and_information",725
2017,Број,"business,_administration_and_law",1677
2017,Број,"natural_sciences,_mathematics_and_statistics",209
2017,Број,information_and_communication_technologies,262
2017,Број,"engineering,_production_and_construction",367
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2017,Број,health_and_social_protection,547
2017,Број,services,118
2018,Број,education,459
2018,Број,arts_and_humanities,403
2018,Број,"social_sciences,_journalism_and_information",524
2018,Број,"business,_administration_and_law",1320
2018,Број,"natural_sciences,_mathematics_and_statistics",165
2018,Број,information_and_communication_technologies,294
2018,Број,"engineering,_production_and_construction",464
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2018,Број,health_and_social_protection,629
2018,Број,services,101
2019,Број,education,406
2019,Број,arts_and_humanities,385
2019,Број,"social_sciences,_journalism_and_information",482
2019,Број,"business,_administration_and_law",1110
2019,Број,"natural_sciences,_mathematics_and_statistics",168
2019,Број,information_and_communication_technologies,231
2019,Број,"engineering,_production_and_construction",461
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",238
2019,Број,health_and_social_protection,534
2019,Број,services,129
2020,Број,education,336
2020,Број,arts_and_humanities,433
2020,Број,"social_sciences,_journalism_and_information",588
2020,Број,"business,_administration_and_law",991
2020,Број,"natural_sciences,_mathematics_and_statistics",166
2020,Број,information_and_communication_technologies,254
2020,Број,"engineering,_production_and_construction",438
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",229
2020,Број,health_and_social_protection,590
2020,Број,services,159
