Year,UNIT_MEASURE,Врста образовања,Пол,Value
2016,Број,enrolled_in_master_of_science_studies,Оба пола,59
2017,Број,enrolled_in_master_of_science_studies,Оба пола,31
2018,Број,enrolled_in_master_of_science_studies,Оба пола,14
2019,Број,enrolled_in_master_of_science_studies,Оба пола,16
2020,Број,enrolled_in_master_of_science_studies,Оба пола,4
2016,Број,enrolled_in_master_of_science_studies,M,37
2017,Број,enrolled_in_master_of_science_studies,M,21
2018,Број,enrolled_in_master_of_science_studies,M,6
2019,Број,enrolled_in_master_of_science_studies,M,12
2020,Број,enrolled_in_master_of_science_studies,M,3
2016,Број,enrolled_in_master_of_science_studies,Ж,22
2017,Број,enrolled_in_master_of_science_studies,Ж,10
2018,Број,enrolled_in_master_of_science_studies,Ж,8
2019,Број,enrolled_in_master_of_science_studies,Ж,4
2020,Број,enrolled_in_master_of_science_studies,Ж,1
2016,Број,Уписани на мастер студије,Оба пола,2456
2017,Број,Уписани на мастер студије,Оба пола,2140
2018,Број,Уписани на мастер студије,Оба пола,2144
2019,Број,Уписани на мастер студије,Оба пола,2109
2020,Број,Уписани на мастер студије,Оба пола,2430
2016,Број,Уписани на мастер студије,M,1048
2017,Број,Уписани на мастер студије,M,917
2018,Број,Уписани на мастер студије,M,937
2019,Број,Уписани на мастер студије,M,930
2020,Број,Уписани на мастер студије,M,1036
2016,Број,Уписани на мастер студије,Ж,1408
2017,Број,Уписани на мастер студије,Ж,1223
2018,Број,Уписани на мастер студије,Ж,1207
2019,Број,Уписани на мастер студије,Ж,1179
2020,Број,Уписани на мастер студије,Ж,1394
2016,Број,Уписани на специјалистичке студије,Оба пола,71
2017,Број,Уписани на специјалистичке студије,Оба пола,73
2018,Број,Уписани на специјалистичке студије,Оба пола,160
2019,Број,Уписани на специјалистичке студије,Оба пола,170
2020,Број,Уписани на специјалистичке студије,Оба пола,170
2016,Број,Уписани на специјалистичке студије,M,28
2017,Број,Уписани на специјалистичке студије,M,34
2018,Број,Уписани на специјалистичке студије,M,66
2019,Број,Уписани на специјалистичке студије,M,72
2020,Број,Уписани на специјалистичке студије,M,39
2016,Број,Уписани на специјалистичке студије,Ж,43
2017,Број,Уписани на специјалистичке студије,Ж,39
2018,Број,Уписани на специјалистичке студије,Ж,94
2019,Број,Уписани на специјалистичке студије,Ж,98
2020,Број,Уписани на специјалистичке студије,Ж,131
