Year,UNIT_MEASURE,Научна област,Врста образовања,Пол,Value
2017,Број,Укупно,Mагистарске студије,Оба пола,2140
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,Оба пола,67
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Оба пола,347
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,Оба пола,99
2017,Број,Здравство и социјална заштита,Mагистарске студије,Оба пола,35
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Оба пола,206
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Оба пола,473
2017,Број,"Пословање, администрација и право",Mагистарске студије,Оба пола,356
2017,Број,образовање,Mагистарске студије,Оба пола,236
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,Оба пола,319
2017,Број,услуге,Mагистарске студије,Оба пола,2
2017,Број,Укупно,Mагистарске студије,M,917
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,M,26
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,M,208
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,M,80
2017,Број,Здравство и социјална заштита,Mагистарске студије,M,8
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,114
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,176
2017,Број,"Пословање, администрација и право",Mагистарске студије,M,124
2017,Број,образовање,Mагистарске студије,M,39
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,142
2017,Број,услуге,Mагистарске студије,M,0
2017,Број,Укупно,Mагистарске студије,Ж,1223
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,41
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,139
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,19
2017,Број,Здравство и социјална заштита,Mагистарске студије,Ж,27
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,92
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,297
2017,Број,"Пословање, администрација и право",Mагистарске студије,Ж,232
2017,Број,образовање,Mагистарске студије,Ж,197
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,177
2017,Број,услуге,Mагистарске студије,Ж,2
2017,Број,Укупно,Mастер студије,Оба пола,31
2017,Број,"Природне науке, математика и статистика",Mастер студије,Оба пола,1
2017,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Оба пола,0
2017,Број,Информационе и комуникационе технологије,Mастер студије,Оба пола,22
2017,Број,Здравство и социјална заштита,Mастер студије,Оба пола,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Оба пола,0
2017,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Оба пола,0
2017,Број,"Пословање, администрација и право",Mастер студије,Оба пола,2
2017,Број,образовање,Mастер студије,Оба пола,1
2017,Број,Умјетност и хуманистичке науке,Mастер студије,Оба пола,5
2017,Број,услуге,Mастер студије,Оба пола,0
2017,Број,Укупно,Mастер студије,M,21
2017,Број,"Природне науке, математика и статистика",Mастер студије,M,0
2017,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,M,0
2017,Број,Информационе и комуникационе технологије,Mастер студије,M,14
2017,Број,Здравство и социјална заштита,Mастер студије,M,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,M,0
2017,Број,"Друштвене науке, новинарство и информисање",Mастер студије,M,0
2017,Број,"Пословање, администрација и право",Mастер студије,M,2
2017,Број,образовање,Mастер студије,M,0
2017,Број,Умјетност и хуманистичке науке,Mастер студије,M,5
2017,Број,услуге,Mастер студије,M,0
2017,Број,Укупно,Mастер студије,Ж,10
2017,Број,"Природне науке, математика и статистика",Mастер студије,Ж,1
2017,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Ж,0
2017,Број,Информационе и комуникационе технологије,Mастер студије,Ж,8
2017,Број,Здравство и социјална заштита,Mастер студије,Ж,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mастер студије,Ж,0
2017,Број,"Друштвене науке, новинарство и информисање",Mастер студије,Ж,0
2017,Број,"Пословање, администрација и право",Mастер студије,Ж,0
2017,Број,образовање,Mастер студије,Ж,1
2017,Број,Умјетност и хуманистичке науке,Mастер студије,Ж,0
2017,Број,услуге,Mастер студије,Ж,0
2017,Број,Укупно,Специјалистичке студије,Оба пола,73
2017,Број,"Природне науке, математика и статистика",Специјалистичке студије,Оба пола,0
2017,Број,"Инжeњерство, производња и грађевинарство",Специјалистичке студије,Оба пола,0
2017,Број,Информационе и комуникационе технологије,Специјалистичке студије,Оба пола,0
2017,Број,Здравство и социјална заштита,Специјалистичке студије,Оба пола,71
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Специјалистичке студије,Оба пола,0
2017,Број,"Друштвене науке, новинарство и информисање",Специјалистичке студије,Оба пола,1
2017,Број,"Пословање, администрација и право",Специјалистичке студије,Оба пола,1
2017,Број,образовање,Специјалистичке студије,Оба пола,0
2017,Број,Умјетност и хуманистичке науке,Специјалистичке студије,Оба пола,0
2017,Број,услуге,Специјалистичке студије,Оба пола,0
2017,Број,Укупно,Специјалистичке студије,M,34
