Year,UNIT_MEASURE,scientific_field,Пол,Value
2017,Број,total,Укупно,534
2017,Број,"social_sciences,_journalism_and_information",Укупно,100
2017,Број,arts_and_humanities,Укупно,100
2017,Број,information_and_communication_technologies,Укупно,17
2017,Број,"engineering,_production_and_construction",Укупно,32
2017,Број,education,Укупно,51
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,20
2017,Број,"business,_administration_and_law",Укупно,80
2017,Број,"natural_sciences,_mathematics_and_statistics",Укупно,15
2017,Број,services,Укупно,1
2017,Број,health_and_social_protection,Укупно,118
2017,Број,total,M,252
2017,Број,"social_sciences,_journalism_and_information",M,45
2017,Број,arts_and_humanities,M,49
2017,Број,information_and_communication_technologies,M,14
2017,Број,"engineering,_production_and_construction",M,17
2017,Број,education,M,14
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2017,Број,"business,_administration_and_law",M,48
2017,Број,"natural_sciences,_mathematics_and_statistics",M,6
2017,Број,services,M,1
2017,Број,health_and_social_protection,M,48
2017,Број,total,Ж,282
2017,Број,"social_sciences,_journalism_and_information",Ж,55
2017,Број,arts_and_humanities,Ж,51
2017,Број,information_and_communication_technologies,Ж,3
2017,Број,"engineering,_production_and_construction",Ж,15
2017,Број,education,Ж,37
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,10
2017,Број,"business,_administration_and_law",Ж,32
2017,Број,"natural_sciences,_mathematics_and_statistics",Ж,9
2017,Број,services,Ж,0
2017,Број,health_and_social_protection,Ж,70
2018,Број,total,Укупно,530
2018,Број,"social_sciences,_journalism_and_information",Укупно,101
2018,Број,arts_and_humanities,Укупно,76
2018,Број,information_and_communication_technologies,Укупно,22
2018,Број,"engineering,_production_and_construction",Укупно,33
2018,Број,education,Укупно,55
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,27
2018,Број,"business,_administration_and_law",Укупно,67
2018,Број,"natural_sciences,_mathematics_and_statistics",Укупно,23
2018,Број,services,Укупно,3
2018,Број,health_and_social_protection,Укупно,123
2018,Број,total,M,322
2018,Број,"social_sciences,_journalism_and_information",M,64
2018,Број,arts_and_humanities,M,46
2018,Број,information_and_communication_technologies,M,5
2018,Број,"engineering,_production_and_construction",M,17
2018,Број,education,M,35
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2018,Број,"business,_administration_and_law",M,36
2018,Број,"natural_sciences,_mathematics_and_statistics",M,18
2018,Број,services,M,3
2018,Број,health_and_social_protection,M,85
2018,Број,total,Ж,208
2018,Број,"social_sciences,_journalism_and_information",Ж,37
2018,Број,arts_and_humanities,Ж,30
2018,Број,information_and_communication_technologies,Ж,17
2018,Број,"engineering,_production_and_construction",Ж,16
2018,Број,education,Ж,20
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,14
2018,Број,"business,_administration_and_law",Ж,31
2018,Број,"natural_sciences,_mathematics_and_statistics",Ж,5
2018,Број,services,Ж,0
2018,Број,health_and_social_protection,Ж,38
2019,Број,total,Укупно,466
2019,Број,"social_sciences,_journalism_and_information",Укупно,148
2019,Број,arts_and_humanities,Укупно,59
2019,Број,information_and_communication_technologies,Укупно,10
2019,Број,"engineering,_production_and_construction",Укупно,30
2019,Број,education,Укупно,48
