Year,UNIT_MEASURE,Област образовања,Пол,Value
2017,Број,Укупно,Укупно,130
2017,Број,"Природне науке, математика и статистика",Укупно,10
2017,Број,"Инжeњерство, производња и грађевинарство",Укупно,4
2017,Број,Информационе и комуникационе технологије,Укупно,12
2017,Број,Здравство и социјална заштита,Укупно,25
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Укупно,9
2017,Број,"Друштвене науке, новинарство и информисање",Укупно,50
2017,Број,"Пословање, администрација и право",Укупно,10
2017,Број,Oбразовање,Укупно,0
2017,Број,Умјетност и хуманистичке науке,Укупно,10
2017,Број,Услуге,Укупно,0
2017,Број,Укупно,M,70
2017,Број,"Природне науке, математика и статистика",M,6
2017,Број,"Инжeњерство, производња и грађевинарство",M,3
2017,Број,Информационе и комуникационе технологије,M,9
2017,Број,Здравство и социјална заштита,M,6
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,4
2017,Број,"Друштвене науке, новинарство и информисање",M,29
2017,Број,"Пословање, администрација и право",M,4
2017,Број,Oбразовање,M,0
2017,Број,Умјетност и хуманистичке науке,M,9
2017,Број,Услуге,M,0
2017,Број,Укупно,Ж,60
2017,Број,"Природне науке, математика и статистика",Ж,4
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2017,Број,Информационе и комуникационе технологије,Ж,3
2017,Број,Здравство и социјална заштита,Ж,19
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,5
2017,Број,"Друштвене науке, новинарство и информисање",Ж,21
2017,Број,"Пословање, администрација и право",Ж,6
2017,Број,Oбразовање,Ж,0
2017,Број,Умјетност и хуманистичке науке,Ж,1
2017,Број,Услуге,Ж,0
2018,Број,Укупно,Укупно,119
2018,Број,"Природне науке, математика и статистика",Укупно,8
2018,Број,"Инжeњерство, производња и грађевинарство",Укупно,3
2018,Број,Информационе и комуникационе технологије,Укупно,11
2018,Број,Здравство и социјална заштита,Укупно,37
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Укупно,9
2018,Број,"Друштвене науке, новинарство и информисање",Укупно,16
2018,Број,"Пословање, администрација и право",Укупно,10
2018,Број,Oбразовање,Укупно,3
2018,Број,Умјетност и хуманистичке науке,Укупно,22
2018,Број,Услуге,Укупно,0
2018,Број,Укупно,M,56
2018,Број,"Природне науке, математика и статистика",M,3
2018,Број,"Инжeњерство, производња и грађевинарство",M,2
2018,Број,Информационе и комуникационе технологије,M,11
2018,Број,Здравство и социјална заштита,M,9
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,6
2018,Број,"Друштвене науке, новинарство и информисање",M,8
2018,Број,"Пословање, администрација и право",M,4
2018,Број,Oбразовање,M,3
2018,Број,Умјетност и хуманистичке науке,M,10
2018,Број,Услуге,M,0
2018,Број,Укупно,Ж,63
2018,Број,"Природне науке, математика и статистика",Ж,5
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2018,Број,Информационе и комуникационе технологије,Ж,0
2018,Број,Здравство и социјална заштита,Ж,28
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2018,Број,"Друштвене науке, новинарство и информисање",Ж,8
2018,Број,"Пословање, администрација и право",Ж,6
2018,Број,Oбразовање,Ж,0
2018,Број,Умјетност и хуманистичке науке,Ж,12
2018,Број,Услуге,Ж,0
2019,Број,Укупно,Укупно,165
2019,Број,"Природне науке, математика и статистика",Укупно,10
2019,Број,"Инжeњерство, производња и грађевинарство",Укупно,0
2019,Број,Информационе и комуникационе технологије,Укупно,0
2019,Број,Здравство и социјална заштита,Укупно,65
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Укупно,9
2019,Број,"Друштвене науке, новинарство и информисање",Укупно,58
2019,Број,"Пословање, администрација и право",Укупно,5
2019,Број,Oбразовање,Укупно,8
2019,Број,Умјетност и хуманистичке науке,Укупно,10
2019,Број,Услуге,Укупно,0
2019,Број,Укупно,M,71
2019,Број,"Природне науке, математика и статистика",M,6
2019,Број,"Инжeњерство, производња и грађевинарство",M,0
2019,Број,Информационе и комуникационе технологије,M,0
2019,Број,Здравство и социјална заштита,M,19
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,6
2019,Број,"Друштвене науке, новинарство и информисање",M,28
2019,Број,"Пословање, администрација и право",M,2
2019,Број,Oбразовање,M,5
2019,Број,Умјетност и хуманистичке науке,M,5
2019,Број,Услуге,M,0
2019,Број,Укупно,Ж,94
2019,Број,"Природне науке, математика и статистика",Ж,4
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,0
2019,Број,Информационе и комуникационе технологије,Ж,0
2019,Број,Здравство и социјална заштита,Ж,46
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,3
2019,Број,"Друштвене науке, новинарство и информисање",Ж,30
2019,Број,"Пословање, администрација и право",Ж,3
2019,Број,Oбразовање,Ж,3
2019,Број,Умјетност и хуманистичке науке,Ж,5
2019,Број,Услуге,Ж,0
2020,Број,Укупно,Укупно,184
2020,Број,"Природне науке, математика и статистика",Укупно,12
2020,Број,"Инжeњерство, производња и грађевинарство",Укупно,2
2020,Број,Информационе и комуникационе технологије,Укупно,5
2020,Број,Здравство и социјална заштита,Укупно,96
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Укупно,14
2020,Број,"Друштвене науке, новинарство и информисање",Укупно,22
2020,Број,"Пословање, администрација и право",Укупно,1
2020,Број,Oбразовање,Укупно,8
2020,Број,Умјетност и хуманистичке науке,Укупно,24
2020,Број,Услуге,Укупно,0
2020,Број,Укупно,M,79
2020,Број,"Природне науке, математика и статистика",M,8
2020,Број,"Инжeњерство, производња и грађевинарство",M,1
2020,Број,Информационе и комуникационе технологије,M,3
2020,Број,Здравство и социјална заштита,M,35
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,9
2020,Број,"Друштвене науке, новинарство и информисање",M,12
2020,Број,"Пословање, администрација и право",M,0
2020,Број,Oбразовање,M,8
2020,Број,Умјетност и хуманистичке науке,M,3
2020,Број,Услуге,M,0
2020,Број,Укупно,Ж,105
2020,Број,"Природне науке, математика и статистика",Ж,4
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2020,Број,Информационе и комуникационе технологије,Ж,2
2020,Број,Здравство и социјална заштита,Ж,61
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,5
2020,Број,"Друштвене науке, новинарство и информисање",Ж,10
2020,Број,"Пословање, администрација и право",Ж,1
2020,Број,Oбразовање,Ж,0
2020,Број,Умјетност и хуманистичке науке,Ж,21
