Year,UNIT_MEASURE,Пол,Value
2010,% од укупне вриједности,M,
2010,% од укупне вриједности,Ж,
2011,% од укупне вриједности,M,
2011,% од укупне вриједности,Ж,
2012,% од укупне вриједности,M,
2012,% од укупне вриједности,Ж,
2013,% од укупне вриједности,M,
2013,% од укупне вриједности,Ж,
2014,% од укупне вриједности,M,
2014,% од укупне вриједности,Ж,
2015,% од укупне вриједности,M,
2015,% од укупне вриједности,Ж,
2016,% од укупне вриједности,M,
2016,% од укупне вриједности,Ж,
2017,% од укупне вриједности,M,
2017,% од укупне вриједности,Ж,
2018,% од укупне вриједности,M,
2018,% од укупне вриједности,Ж,
2019,% од укупне вриједности,M,
2019,% од укупне вриједности,Ж,
2020,% од укупне вриједности,M,
2020,% од укупне вриједности,Ж,
