Year,UNIT_MEASURE,Пол,Старост,Value
2020,% од укупно,Укупно,15+,45.5
2020,% од укупно,Укупно,15 - 24,24.2
2020,% од укупно,Укупно,25 - 49,69.9
2020,% од укупно,Укупно,50 - 64,52.4
2020,% од укупно,Укупно,15 - 64,56.5
2020,% од укупно,M,15+,52.7
2020,% од укупно,M,15 - 24,28.6
2020,% од укупно,M,25 - 49,75.0
2020,% од укупно,M,50 - 64,63.2
2020,% од укупно,M,15 - 64,63.4
2020,% од укупно,Ж,15+,38.8
2020,% од укупно,Ж,15 - 24,19.4
2020,% од укупно,Ж,25 - 49,64.6
2020,% од укупно,Ж,50 - 64,42.1
2020,% од укупно,Ж,15 - 64,49.5
2021,% од укупно,Укупно,15+,43.5
2021,% од укупно,Укупно,15 - 24,22.5
2021,% од укупно,Укупно,25 - 49,68.4
2021,% од укупно,Укупно,50 - 64,50.5
2021,% од укупно,Укупно,15 - 64,55.0
2021,% од укупно,M,15+,51.9
2021,% од укупно,M,15 - 24,26.8
2021,% од укупно,M,25 - 49,75.5
2021,% од укупно,M,50 - 64,62.5
2021,% од укупно,M,15 - 64,63.3
2021,% од укупно,Ж,15+,35.6
2021,% од укупно,Ж,15 - 24,17.8
2021,% од укупно,Ж,25 - 49,60.8
2021,% од укупно,Ж,50 - 64,39.0
2021,% од укупно,Ж,15 - 64,46.5
