Year,UNIT_MEASURE,Value
2003,Стопа наталитета на 1.000 становника,8.8
2004,Стопа наталитета на 1.000 становника,8.9
2005,Стопа наталитета на 1.000 становника,8.7
2006,Стопа наталитета на 1.000 становника,8.9
2007,Стопа наталитета на 1.000 становника,8.6
2008,Стопа наталитета на 1.000 становника,8.6
2009,Стопа наталитета на 1.000 становника,9.0
2010,Стопа наталитета на 1.000 становника,8.6
2011,Стопа наталитета на 1.000 становника,8.1
2012,Стопа наталитета на 1.000 становника,8.5
2013,Стопа наталитета на 1.000 становника,8.1
2014,Стопа наталитета на 1.000 становника,8.0
2015,Стопа наталитета на 1.000 становника,8.1
2016,Стопа наталитета на 1.000 становника,8.2
2017,Стопа наталитета на 1.000 становника,8.1
2018,Стопа наталитета на 1.000 становника,8.3
2019,Стопа наталитета на 1.000 становника,8.1
2020,Стопа наталитета на 1.000 становника,8.1
