Year,UNIT_MEASURE,Пол,Узрок смрти (према шифрама болести по МКБ-10),Value
2003,Број,Оба пола,Укупно,12988
2004,Број,Оба пола,Укупно,13082
2005,Број,Оба пола,Укупно,13802
2006,Број,Оба пола,Укупно,13232
2007,Број,Оба пола,Укупно,14146
2008,Број,Оба пола,Укупно,13501
2009,Број,Оба пола,Укупно,13775
2010,Број,Оба пола,Укупно,13517
2011,Број,Оба пола,Укупно,13658
2012,Број,Оба пола,Укупно,13796
2013,Број,Оба пола,Укупно,13978
2014,Број,Оба пола,Укупно,14409
2015,Број,Оба пола,Укупно,15059
2016,Број,Оба пола,Укупно,13970
2017,Број,Оба пола,Укупно,14663
2018,Број,Оба пола,Укупно,14763
2019,Број,Оба пола,Укупно,15081
2020,Број,Оба пола,Укупно,16582
2003,Број,Оба пола,Инфективне и паразитске болести (А00–B99),89
2004,Број,Оба пола,Инфективне и паразитске болести (А00–B99),124
2005,Број,Оба пола,Инфективне и паразитске болести (А00–B99),128
2006,Број,Оба пола,Инфективне и паразитске болести (А00–B99),111
2007,Број,Оба пола,Инфективне и паразитске болести (А00–B99),103
2008,Број,Оба пола,Инфективне и паразитске болести (А00–B99),118
2009,Број,Оба пола,Инфективне и паразитске болести (А00–B99),118
2010,Број,Оба пола,Инфективне и паразитске болести (А00–B99),109
2011,Број,Оба пола,Инфективне и паразитске болести (А00–B99),117
2012,Број,Оба пола,Инфективне и паразитске болести (А00–B99),135
2013,Број,Оба пола,Инфективне и паразитске болести (А00–B99),120
2014,Број,Оба пола,Инфективне и паразитске болести (А00–B99),136
2015,Број,Оба пола,Инфективне и паразитске болести (А00–B99),159
2016,Број,Оба пола,Инфективне и паразитске болести (А00–B99),187
2017,Број,Оба пола,Инфективне и паразитске болести (А00–B99),147
2018,Број,Оба пола,Инфективне и паразитске болести (А00–B99),184
2019,Број,Оба пола,Инфективне и паразитске болести (А00–B99),200
2020,Број,Оба пола,Инфективне и паразитске болести (А00–B99),162
2003,Број,Оба пола,Неоплазме (C00–D48),2411
2004,Број,Оба пола,Неоплазме (C00–D48),2330
2005,Број,Оба пола,Неоплазме (C00–D48),2653
2006,Број,Оба пола,Неоплазме (C00–D48),2551
2007,Број,Оба пола,Неоплазме (C00–D48),2733
2008,Број,Оба пола,Неоплазме (C00–D48),2733
2009,Број,Оба пола,Неоплазме (C00–D48),2822
2010,Број,Оба пола,Неоплазме (C00–D48),2700
2011,Број,Оба пола,Неоплазме (C00–D48),2802
2012,Број,Оба пола,Неоплазме (C00–D48),2937
2013,Број,Оба пола,Неоплазме (C00–D48),3090
2014,Број,Оба пола,Неоплазме (C00–D48),3154
2015,Број,Оба пола,Неоплазме (C00–D48),3138
2016,Број,Оба пола,Неоплазме (C00–D48),2948
2017,Број,Оба пола,Неоплазме (C00–D48),3027
2018,Број,Оба пола,Неоплазме (C00–D48),2938
2019,Број,Оба пола,Неоплазме (C00–D48),2891
2020,Број,Оба пола,Неоплазме (C00–D48),2719
2003,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),8
2004,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),13
2005,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),15
2006,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),6
2007,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),16
2008,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),8
2009,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),13
2010,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),15
2011,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),17
2012,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),15
2013,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),16
2014,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),10
2015,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),19
2016,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),24
2017,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),20
2018,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),36
2019,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),24
2020,Број,Оба пола,Болести крви и крвотворних органа и неки поремећаји имуног система (D50–D89),27
2003,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",180
2004,Број,Оба пола,"Болести жлијезда са унутрашњим лучењем, исхране и метаболизма (Е00–Е88)",160
