Year,Пол,UNIT_MEASURE,Value
2003,M,Старост,67.7
2004,M,Старост,67.1
2005,M,Старост,67.0
2006,M,Старост,67.0
2007,M,Старост,67.7
2008,M,Старост,68.3
2009,M,Старост,69.0
2010,M,Старост,69.4
2011,M,Старост,69.6
2012,M,Старост,70.1
2013,M,Старост,70.1
2014,M,Старост,70.5
2015,M,Старост,71.0
2016,M,Старост,71.0
2017,M,Старост,71.6
2018,M,Старост,71.6
2019,M,Старост,71.7
2020,M,Старост,72.0
2021,M,Старост,72.2
2022,M,Старост,72.1
2023,M,Старост,72.0
2003,Ж,Старост,72.8
2004,Ж,Старост,72.5
2005,Ж,Старост,73.0
2006,Ж,Старост,73.4
2007,Ж,Старост,74.4
2008,Ж,Старост,74.3
2009,Ж,Старост,74.4
2010,Ж,Старост,75.0
2011,Ж,Старост,75.5
2012,Ж,Старост,76.1
2013,Ж,Старост,76.0
2014,Ж,Старост,76.1
2015,Ж,Старост,76.5
2016,Ж,Старост,76.9
2017,Ж,Старост,77.4
2018,Ж,Старост,77.4
2019,Ж,Старост,77.5
2020,Ж,Старост,77.9
2021,Ж,Старост,77.7
2022,Ж,Старост,77.8
2023,Ж,Старост,78.0
