Year,UNIT_MEASURE,Value
2003,Број на 1.000 становника,0.62
2004,Број на 1.000 становника,0.54
2005,Број на 1.000 становника,0.61
2006,Број на 1.000 становника,0.44
2007,Број на 1.000 становника,0.5
2008,Број на 1.000 становника,0.27
2009,Број на 1.000 становника,0.39
2010,Број на 1.000 становника,0.44
2011,Број на 1.000 становника,0.75
2012,Број на 1.000 становника,0.75
2013,Број на 1.000 становника,0.9
2014,Број на 1.000 становника,0.95
2015,Број на 1.000 становника,0.98
2016,Број на 1.000 становника,0.89
2017,Број на 1.000 становника,0.85
2018,Број на 1.000 становника,0.8
2019,Број на 1.000 становника,0.8
2020,Број на 1.000 становника,0.8
2021,Број на 1.000 становника,0.9
2022,Број на 1.000 становника,0.9
2023,Број на 1.000 становника,0.9
2024,Број на 1.000 становника,0.8
