Year,UNIT_MEASURE,Пол,AGE,Value
2019,Број,Укупно,_T,1140112
2019,Број,Укупно,0,9365
2019,Број,Укупно,1-4,37626
2019,Број,Укупно,5-9,50897
2019,Број,Укупно,10-14,54692
2019,Број,Укупно,15-19,56076
2019,Број,Укупно,20-24,67832
2019,Број,Укупно,25-29,64658
2019,Број,Укупно,30-34,74016
2019,Број,Укупно,35-39,80514
2019,Број,Укупно,40-44,80618
2019,Број,Укупно,45-49,75633
2019,Број,Укупно,50-54,79164
2019,Број,Укупно,55-59,85946
2019,Број,Укупно,60-64,87659
2019,Број,Укупно,65-69,83151
2019,Број,Укупно,70-74,59632
2019,Број,Укупно,75-79,40915
2019,Број,Укупно,80-84,33520
2019,Број,Укупно,85-89,14290
2019,Број,Укупно,90-94,3405
2019,Број,Укупно,95-99,422
2019,Број,Укупно,100-104,73
2019,Број,Укупно,105-109,6
2019,Број,Укупно,110-114,0
2019,Број,Укупно,115-119,0
2019,Број,Укупно,120+,0
2020,Број,Укупно,_T,1134945
2020,Број,Укупно,0,9255
2020,Број,Укупно,1-4,37672
2020,Број,Укупно,5-9,49260
2020,Број,Укупно,10-14,54877
2020,Број,Укупно,15-19,55071
2020,Број,Укупно,20-24,64857
2020,Број,Укупно,25-29,65714
2020,Број,Укупно,30-34,72111
2020,Број,Укупно,35-39,79792
2020,Број,Укупно,40-44,80581
2020,Број,Укупно,45-49,77450
2020,Број,Укупно,50-54,75789
2020,Број,Укупно,55-59,84582
2020,Број,Укупно,60-64,86951
2020,Број,Укупно,65-69,84077
2020,Број,Укупно,70-74,64944
2020,Број,Укупно,75-79,37918
2020,Број,Укупно,80-84,34520
2020,Број,Укупно,85-89,15078
2020,Број,Укупно,90-94,3932
2020,Број,Укупно,95-99,446
2020,Број,Укупно,100-104,62
2020,Број,Укупно,105-109,5
2020,Број,Укупно,110-114,0
2020,Број,Укупно,115-119,0
2020,Број,Укупно,120+,0
2025,Број,Укупно,_T,1107541
2025,Број,Укупно,0,8710
2025,Број,Укупно,1-4,35929
2025,Број,Укупно,5-9,46969
2025,Број,Укупно,10-14,49253
2025,Број,Укупно,15-19,54783
2025,Број,Укупно,20-24,54918
2025,Број,Укупно,25-29,64680
2025,Број,Укупно,30-34,65678
2025,Број,Укупно,35-39,72042
2025,Број,Укупно,40-44,79392
2025,Број,Укупно,45-49,79775
2025,Број,Укупно,50-54,76132
2025,Број,Укупно,55-59,73727
2025,Број,Укупно,60-64,80979
2025,Број,Укупно,65-69,81358
2025,Број,Укупно,70-74,75490
2025,Број,Укупно,75-79,53849
2025,Број,Укупно,80-84,27232
2025,Број,Укупно,85-89,19638
2025,Број,Укупно,90-94,5995
2025,Број,Укупно,95-99,950
2025,Број,Укупно,100-104,56
2025,Број,Укупно,105-109,4
2025,Број,Укупно,110-114,0
2025,Број,Укупно,115-119,0
2025,Број,Укупно,120+,0
2030,Број,Укупно,_T,1077274
2030,Број,Укупно,0,8221
2030,Број,Укупно,1-4,33858
2030,Број,Укупно,5-9,44695
2030,Број,Укупно,10-14,46975
2030,Број,Укупно,15-19,49188
2030,Број,Укупно,20-24,54635
2030,Број,Укупно,25-29,54971
2030,Број,Укупно,30-34,64675
2030,Број,Укупно,35-39,65720
2030,Број,Укупно,40-44,71795
2030,Број,Укупно,45-49,78672
2030,Број,Укупно,50-54,78513
2030,Број,Укупно,55-59,74255
2030,Број,Укупно,60-64,70948
2030,Број,Укупно,65-69,76278
2030,Број,Укупно,70-74,73779
2030,Број,Укупно,75-79,63558
2030,Број,Укупно,80-84,40031
2030,Број,Укупно,85-89,16285
2030,Број,Укупно,90-94,8444
2030,Број,Укупно,95-99,1629
2030,Број,Укупно,100-104,146
2030,Број,Укупно,105-109,4
2030,Број,Укупно,110-114,0
2030,Број,Укупно,115-119,0
2030,Број,Укупно,120+,0
2035,Број,Укупно,_T,1043705
2035,Број,Укупно,0,7740
2035,Број,Укупно,1-4,31936
2035,Број,Укупно,5-9,42147
2035,Број,Укупно,10-14,44711
2035,Број,Укупно,15-19,46938
2035,Број,Укупно,20-24,49157
2035,Број,Укупно,25-29,54679
2035,Број,Укупно,30-34,55131
2035,Број,Укупно,35-39,64731
2035,Број,Укупно,40-44,65588
2035,Број,Укупно,45-49,71254
2035,Број,Укупно,50-54,77522
2035,Број,Укупно,55-59,76705
2035,Број,Укупно,60-64,71691
2035,Број,Укупно,65-69,67247
2035,Број,Укупно,70-74,69753
2035,Број,Укупно,75-79,62989
2035,Број,Укупно,80-84,48311
2035,Број,Укупно,85-89,25183
2035,Број,Укупно,90-94,7467
2035,Број,Укупно,95-99,2529
2035,Број,Укупно,100-104,283
2035,Број,Укупно,105-109,13
2035,Број,Укупно,110-114,0
2035,Број,Укупно,115-119,0
2035,Број,Укупно,120+,0
2040,Број,Укупно,_T,1006736
2040,Број,Укупно,0,7326
2040,Број,Укупно,1-4,30117
2040,Број,Укупно,5-9,39755
2040,Број,Укупно,10-14,42173
2040,Број,Укупно,15-19,44684
2040,Број,Укупно,20-24,46947
2040,Број,Укупно,25-29,49300
2040,Број,Укупно,30-34,54825
2040,Број,Укупно,35-39,55320
2040,Број,Укупно,40-44,64616
2040,Број,Укупно,45-49,65184
2040,Број,Укупно,50-54,70333
2040,Број,Укупно,55-59,75864
2040,Број,Укупно,60-64,74221
2040,Број,Укупно,65-69,68227
2040,Број,Укупно,70-74,61953
2040,Број,Укупно,75-79,60266
2040,Број,Укупно,80-84,48863
2040,Број,Укупно,85-89,31413
2040,Број,Укупно,90-94,12417
2040,Број,Укупно,95-99,2415
2040,Број,Укупно,100-104,486
2040,Број,Укупно,105-109,29
2040,Број,Укупно,110-114,1
2040,Број,Укупно,115-119,0
2040,Број,Укупно,120+,0
2045,Број,Укупно,_T,967780
2045,Број,Укупно,0,6941
2045,Број,Укупно,1-4,28553
2045,Број,Укупно,5-9,37529
2045,Број,Укупно,10-14,39790
2045,Број,Укупно,15-19,42160
2045,Број,Укупно,20-24,44723
2045,Број,Укупно,25-29,47123
2045,Број,Укупно,30-34,49527
2045,Број,Укупно,35-39,55007
2045,Број,Укупно,40-44,55347
2045,Број,Укупно,45-49,64244
2045,Број,Укупно,50-54,64446
2045,Број,Укупно,55-59,68981
2045,Број,Укупно,60-64,73579
2045,Број,Укупно,65-69,70850
2045,Број,Укупно,70-74,63256
2045,Број,Укупно,75-79,54100
2045,Број,Укупно,80-84,47623
2045,Број,Укупно,85-89,32764
2045,Број,Укупно,90-94,16264
2045,Број,Укупно,95-99,4413
2045,Број,Укупно,100-104,504
