Year,UNIT_MEASURE,Старост,Пол,Value
2013,Број,Укупно,Оба пола,1171179
2013,Број,0,Оба пола,10035
2013,Број,1,Оба пола,10460
2013,Број,2,Оба пола,10707
2013,Број,3,Оба пола,11154
2013,Број,4,Оба пола,11207
2013,Број,5,Оба пола,10904
2013,Број,6,Оба пола,10712
2013,Број,7,Оба пола,10729
2013,Број,8,Оба пола,10825
2013,Број,9,Оба пола,10872
2013,Број,10,Оба пола,10950
2013,Број,11,Оба пола,11305
2013,Број,12,Оба пола,11677
2013,Број,13,Оба пола,11767
2013,Број,14,Оба пола,12325
2013,Број,15,Оба пола,13695
2013,Број,16,Оба пола,14433
2013,Број,17,Оба пола,14549
2013,Број,18,Оба пола,14443
2013,Број,19,Оба пола,12849
2013,Број,20,Оба пола,11748
2013,Број,21,Оба пола,12894
2013,Број,22,Оба пола,13784
2013,Број,23,Оба пола,13816
2013,Број,24,Оба пола,14399
2013,Број,25,Оба пола,14874
2013,Број,26,Оба пола,15022
2013,Број,27,Оба пола,15316
2013,Број,28,Оба пола,15736
2013,Број,29,Оба пола,16122
2013,Број,30,Оба пола,16245
2013,Број,31,Оба пола,16150
2013,Број,32,Оба пола,16154
2013,Број,33,Оба пола,16059
2013,Број,34,Оба пола,15952
2013,Број,35,Оба пола,16067
2013,Број,36,Оба пола,16490
2013,Број,37,Оба пола,16505
2013,Број,38,Оба пола,15883
2013,Број,39,Оба пола,15576
2013,Број,40,Оба пола,15687
2013,Број,41,Оба пола,15580
2013,Број,42,Оба пола,14799
2013,Број,43,Оба пола,14656
2013,Број,44,Оба пола,15244
2013,Број,45,Оба пола,15787
2013,Број,46,Оба пола,16438
2013,Број,47,Оба пола,17122
2013,Број,48,Оба пола,17121
2013,Број,49,Оба пола,17051
2013,Број,50,Оба пола,17800
2013,Број,51,Оба пола,18263
2013,Број,52,Оба пола,18454
2013,Број,53,Оба пола,18646
2013,Број,54,Оба пола,18845
2013,Број,55,Оба пола,18214
2013,Број,56,Оба пола,18247
2013,Број,57,Оба пола,18979
2013,Број,58,Оба пола,19517
2013,Број,59,Оба пола,19455
2013,Број,60,Оба пола,19218
2013,Број,61,Оба пола,17671
2013,Број,62,Оба пола,16334
2013,Број,63,Оба пола,16819
2013,Број,64,Оба пола,15731
2013,Број,65,Оба пола,14644
2013,Број,66,Оба пола,13862
2013,Број,67,Оба пола,11451
2013,Број,68,Оба пола,9678
2013,Број,69,Оба пола,9674
2013,Број,70,Оба пола,9865
2013,Број,71,Оба пола,10664
2013,Број,72,Оба пола,11907
2013,Број,73,Оба пола,12099
2013,Број,74,Оба пола,11550
2013,Број,75,Оба пола,11114
2013,Број,76,Оба пола,10488
2013,Број,77,Оба пола,9532
2013,Број,78,Оба пола,8577
2013,Број,79,Оба пола,7666
2013,Број,80,Оба пола,6723
2013,Број,81,Оба пола,5590
2013,Број,82,Оба пола,4991
2013,Број,83,Оба пола,4376
2013,Број,84,Оба пола,3690
2013,Број,85,Оба пола,2964
2013,Број,86,Оба пола,2133
2013,Број,87,Оба пола,1651
2013,Број,88,Оба пола,1215
2013,Број,89,Оба пола,906
2013,Број,90 +,Оба пола,2101
2013,Број,Укупно,M,572298
2013,Број,0,M,5127
2013,Број,1,M,5347
2013,Број,2,M,5471
2013,Број,3,M,5746
2013,Број,4,M,5808
2013,Број,5,M,5578
2013,Број,6,M,5440
2013,Број,7,M,5475
2013,Број,8,M,5591
2013,Број,9,M,5597
2013,Број,10,M,5627
2013,Број,11,M,5859
2013,Број,12,M,6005
2013,Број,13,M,6009
2013,Број,14,M,6326
2013,Број,15,M,7059
2013,Број,16,M,7432
2013,Број,17,M,7426
2013,Број,18,M,7432
2013,Број,19,M,6732
2013,Број,20,M,6197
2013,Број,21,M,6738
2013,Број,22,M,7149
2013,Број,23,M,7113
2013,Број,24,M,7396
2013,Број,25,M,7599
2013,Број,26,M,7570
2013,Број,27,M,7778
2013,Број,28,M,8092
2013,Број,29,M,8259
2013,Број,30,M,8261
2013,Број,31,M,8173
2013,Број,32,M,8182
2013,Број,33,M,8126
2013,Број,34,M,8135
2013,Број,35,M,8211
2013,Број,36,M,8425
2013,Број,37,M,8451
2013,Број,38,M,8156
2013,Број,39,M,8010
2013,Број,40,M,8064
2013,Број,41,M,7992
