Year,UNIT_MEASURE,ADMIN_AREA,Пол,Religion,Value
2013,Број,republika_srpska,Укупно,_T,1170342
2013,Број,republika_srpska,M,_T,571812
2013,Број,republika_srpska,Ж,_T,598530
2013,Број,grad_banja_luka,Укупно,_T,180053
2013,Број,grad_banja_luka,M,_T,86510
2013,Број,grad_banja_luka,Ж,_T,93543
2013,Број,berkovici,Укупно,_T,2041
2013,Број,berkovici,M,_T,1032
2013,Број,berkovici,Ж,_T,1009
2013,Број,grad_bijeljina,Укупно,_T,103874
2013,Број,grad_bijeljina,M,_T,50760
2013,Број,grad_bijeljina,Ж,_T,53114
2013,Број,bileca,Укупно,_T,10607
2013,Број,bileca,M,_T,5346
2013,Број,bileca,Ж,_T,5261
2013,Број,bratunac,Укупно,_T,18651
2013,Број,bratunac,M,_T,9210
2013,Број,bratunac,Ж,_T,9441
2013,Број,brod,Укупно,_T,15720
2013,Број,brod,M,_T,7670
2013,Број,brod,Ж,_T,8050
2013,Број,visegrad,Укупно,_T,10118
2013,Број,visegrad,M,_T,4834
2013,Број,visegrad,Ж,_T,5284
2013,Број,vlasenica,Укупно,_T,10657
2013,Број,vlasenica,M,_T,5193
2013,Број,vlasenica,Ж,_T,5464
2013,Број,vukosavlje,Укупно,_T,4363
2013,Број,vukosavlje,M,_T,2185
2013,Број,vukosavlje,Ж,_T,2178
2013,Број,gacko,Укупно,_T,8710
2013,Број,gacko,M,_T,4423
2013,Број,gacko,Ж,_T,4287
2013,Број,grad_gradiska,Укупно,_T,49196
2013,Број,grad_gradiska,M,_T,23944
2013,Број,grad_gradiska,Ж,_T,25252
2013,Број,grad_derventa,Укупно,_T,25922
2013,Број,grad_derventa,M,_T,12629
2013,Број,grad_derventa,Ж,_T,13293
2013,Број,grad_doboj,Укупно,_T,68514
2013,Број,grad_doboj,M,_T,33222
2013,Број,grad_doboj,Ж,_T,35292
2013,Број,donji_zabar,Укупно,_T,3669
2013,Број,donji_zabar,M,_T,1853
2013,Број,donji_zabar,Ж,_T,1816
2013,Број,grad_zvornik,Укупно,_T,54407
2013,Број,grad_zvornik,M,_T,26803
2013,Број,grad_zvornik,Ж,_T,27604
2013,Број,istocna_ilidza,Укупно,_T,14437
2013,Број,istocna_ilidza,M,_T,6905
2013,Број,istocna_ilidza,Ж,_T,7532
2013,Број,istocni_drvar,Укупно,_T,66
2013,Број,istocni_drvar,M,_T,44
2013,Број,istocni_drvar,Ж,_T,22
2013,Број,istocni_mostar,Укупно,_T,244
2013,Број,istocni_mostar,M,_T,138
2013,Број,istocni_mostar,Ж,_T,106
2013,Број,istocni_stari_grad,Укупно,_T,1116
2013,Број,istocni_stari_grad,M,_T,552
2013,Број,istocni_stari_grad,Ж,_T,564
2013,Број,istocno_novo_sarajevo,Укупно,_T,10401
2013,Број,istocno_novo_sarajevo,M,_T,4936
2013,Број,istocno_novo_sarajevo,Ж,_T,5465
2013,Број,jezero,Укупно,_T,1039
2013,Број,jezero,M,_T,534
2013,Број,jezero,Ж,_T,505
2013,Број,kalinovik,Укупно,_T,1962
2013,Број,kalinovik,M,_T,950
2013,Број,kalinovik,Ж,_T,1012
2013,Број,knezevo,Укупно,_T,9368
2013,Број,knezevo,M,_T,4632
2013,Број,knezevo,Ж,_T,4736
2013,Број,kozarska_dubica,Укупно,_T,20681
2013,Број,kozarska_dubica,M,_T,10094
2013,Број,kozarska_dubica,Ж,_T,10587
2013,Број,kostajnica,Укупно,_T,5645
2013,Број,kostajnica,M,_T,2780
2013,Број,kostajnica,Ж,_T,2865
2013,Број,kotor_varos,Укупно,_T,18361
2013,Број,kotor_varos,M,_T,9007
2013,Број,kotor_varos,Ж,_T,9354
2013,Број,krupa_na_uni,Укупно,_T,1560
2013,Број,krupa_na_uni,M,_T,841
2013,Број,krupa_na_uni,Ж,_T,719
2013,Број,kupres,Укупно,_T,293
2013,Број,kupres,M,_T,157
2013,Број,kupres,Ж,_T,136
2013,Број,laktasi,Укупно,_T,34210
2013,Број,laktasi,M,_T,16905
2013,Број,laktasi,Ж,_T,17305
2013,Број,lopare,Укупно,_T,14689
2013,Број,lopare,M,_T,7377
