Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Број,republika_srpska,_T,408825
2013,Број,grad_banja_luka,_T,65010
2013,Број,berkovici,_T,636
2013,Број,grad_bijeljina,_T,34309
2013,Број,bileca,_T,3307
2013,Број,bratunac,_T,5945
2013,Број,brod,_T,5599
2013,Број,visegrad,_T,3966
2013,Број,vlasenica,_T,3712
2013,Број,vukosavlje,_T,1537
2013,Број,gacko,_T,2766
2013,Број,grad_gradiska,_T,16939
2013,Број,grad_derventa,_T,9345
2013,Број,grad_doboj,_T,25447
2013,Број,donji_zabar,_T,1191
2013,Број,grad_zvornik,_T,17690
2013,Број,istocna_ilidza,_T,4981
2013,Број,istocni_drvar,_T,38
2013,Број,istocni_mostar,_T,83
2013,Број,istocni_stari_grad,_T,438
2013,Број,istocno_novo_sarajevo,_T,3819
2013,Број,jezero,_T,365
2013,Број,kalinovik,_T,783
2013,Број,knezevo,_T,3168
2013,Број,kozarska_dubica,_T,7492
2013,Број,kostajnica,_T,1896
2013,Број,kotor_varos,_T,5863
2013,Број,krupa_na_uni,_T,543
2013,Број,kupres,_T,128
2013,Број,laktasi,_T,11293
2013,Број,lopare,_T,5081
2013,Број,ljubinje,_T,1077
2013,Број,milici,_T,3579
2013,Број,modrica,_T,8553
2013,Број,mrkonjic_grad,_T,6104
2013,Број,nevesinje,_T,3985
2013,Број,novi_grad,_T,8792
2013,Број,novo_gorazde,_T,1078
2013,Број,osmaci,_T,1675
2013,Број,ostra_luka,_T,971
2013,Број,pale,_T,7158
2013,Број,pelagicevo,_T,1787
2013,Број,petrovac,_T,130
2013,Број,petrovo,_T,2532
2013,Број,grad_prijedor,_T,27961
2013,Број,prnjavor,_T,12166
2013,Број,ribnik,_T,2252
2013,Број,rogatica,_T,3871
2013,Број,rudo,_T,2847
2013,Број,sokolac,_T,4276
2013,Број,srbac,_T,6157
2013,Број,srebrenica,_T,3792
2013,Број,teslic,_T,13255
2013,Број,grad_trebinje,_T,9394
2013,Број,trnovo,_T,800
2013,Број,ugljevik,_T,4867
2013,Број,foca,_T,6544
2013,Број,han_pijesak,_T,1390
2013,Број,cajnice,_T,1662
2013,Број,celinac,_T,5009
2013,Број,samac,_T,5609
2013,Број,sekovici,_T,2517
2013,Број,sipovo,_T,3665
2013,Број,republika_srpska,1_member,91300
2013,Број,grad_banja_luka,1_member,13984
2013,Број,berkovici,1_member,129
2013,Број,grad_bijeljina,1_member,6984
2013,Број,bileca,1_member,629
2013,Број,bratunac,1_member,1155
2013,Број,brod,1_member,1360
2013,Број,visegrad,1_member,1132
2013,Број,vlasenica,1_member,768
2013,Број,vukosavlje,1_member,348
2013,Број,gacko,1_member,522
2013,Број,grad_gradiska,1_member,3782
2013,Број,grad_derventa,1_member,2270
2013,Број,grad_doboj,1_member,6230
2013,Број,donji_zabar,1_member,271
2013,Број,grad_zvornik,1_member,3323
2013,Број,istocna_ilidza,1_member,949
2013,Број,istocni_drvar,1_member,24
2013,Број,istocni_mostar,1_member,29
2013,Број,istocni_stari_grad,1_member,123
2013,Број,istocno_novo_sarajevo,1_member,904
2013,Број,jezero,1_member,86
2013,Број,kalinovik,1_member,245
2013,Број,knezevo,1_member,611
2013,Број,kozarska_dubica,1_member,1898
2013,Број,kostajnica,1_member,384
2013,Број,kotor_varos,1_member,1089
2013,Број,krupa_na_uni,1_member,159
2013,Број,kupres,1_member,44
2013,Број,laktasi,1_member,2093
2013,Број,lopare,1_member,1256
2013,Број,ljubinje,1_member,196
2013,Број,milici,1_member,789
2013,Број,modrica,1_member,1983
2013,Број,mrkonjic_grad,1_member,1538
2013,Број,nevesinje,1_member,766
2013,Број,novi_grad,1_member,1965
2013,Број,novo_gorazde,1_member,270
2013,Број,osmaci,1_member,254
2013,Број,ostra_luka,1_member,277
2013,Број,pale,1_member,1515
2013,Број,pelagicevo,1_member,640
2013,Број,petrovac,1_member,34
2013,Број,petrovo,1_member,726
2013,Број,grad_prijedor,1_member,6423
2013,Број,prnjavor,1_member,2943
2013,Број,ribnik,1_member,642
2013,Број,rogatica,1_member,986
2013,Број,rudo,1_member,696
2013,Број,sokolac,1_member,1022
2013,Број,srbac,1_member,1507
2013,Број,srebrenica,1_member,874
2013,Број,teslic,1_member,3060
2013,Број,grad_trebinje,1_member,1848
2013,Број,trnovo,1_member,223
2013,Број,ugljevik,1_member,1019
2013,Број,foca,1_member,1635
2013,Број,han_pijesak,1_member,389
2013,Број,cajnice,1_member,395
2013,Број,celinac,1_member,951
2013,Број,samac,1_member,1406
2013,Број,sekovici,1_member,708
2013,Број,sipovo,1_member,839
2013,Број,republika_srpska,2_members,107130
2013,Број,grad_banja_luka,2_members,17243
2013,Број,berkovici,2_members,166
2013,Број,grad_bijeljina,2_members,8272
2013,Број,bileca,2_members,719
2013,Број,bratunac,2_members,1345
2013,Број,brod,2_members,1439
2013,Број,visegrad,2_members,1172
2013,Број,vlasenica,2_members,1001
2013,Број,vukosavlje,2_members,425
2013,Број,gacko,2_members,622
2013,Број,grad_gradiska,2_members,4438
2013,Број,grad_derventa,2_members,2598
2013,Број,grad_doboj,2_members,7242
2013,Број,donji_zabar,2_members,290
