Year,UNIT_MEASURE,ADMIN_AREA,Пол,Educational_attainment,Value
2013,Број,republika_srpska,Укупно,no_education,58651
2013,Број,republika_srpska,M,no_education,9370
2013,Број,republika_srpska,Ж,no_education,49281
2013,Број,grad_banja_luka,Укупно,no_education,5673
2013,Број,grad_banja_luka,M,no_education,921
2013,Број,grad_banja_luka,Ж,no_education,4752
2013,Број,berkovici,Укупно,no_education,104
2013,Број,berkovici,M,no_education,8
2013,Број,berkovici,Ж,no_education,96
2013,Број,grad_bijeljina,Укупно,no_education,3916
2013,Број,grad_bijeljina,M,no_education,650
2013,Број,grad_bijeljina,Ж,no_education,3266
2013,Број,bileca,Укупно,no_education,246
2013,Број,bileca,M,no_education,42
2013,Број,bileca,Ж,no_education,204
2013,Број,bratunac,Укупно,no_education,1297
2013,Број,bratunac,M,no_education,166
2013,Број,bratunac,Ж,no_education,1131
2013,Број,brod,Укупно,no_education,586
2013,Број,brod,M,no_education,90
2013,Број,brod,Ж,no_education,496
2013,Број,visegrad,Укупно,no_education,576
2013,Број,visegrad,M,no_education,65
2013,Број,visegrad,Ж,no_education,511
2013,Број,vlasenica,Укупно,no_education,629
2013,Број,vlasenica,M,no_education,101
2013,Број,vlasenica,Ж,no_education,528
2013,Број,vukosavlje,Укупно,no_education,329
2013,Број,vukosavlje,M,no_education,69
2013,Број,vukosavlje,Ж,no_education,260
2013,Број,gacko,Укупно,no_education,268
2013,Број,gacko,M,no_education,22
2013,Број,gacko,Ж,no_education,246
2013,Број,grad_gradiska,Укупно,no_education,2608
2013,Број,grad_gradiska,M,no_education,425
2013,Број,grad_gradiska,Ж,no_education,2183
2013,Број,grad_derventa,Укупно,no_education,1538
2013,Број,grad_derventa,M,no_education,281
2013,Број,grad_derventa,Ж,no_education,1257
2013,Број,grad_doboj,Укупно,no_education,3364
2013,Број,grad_doboj,M,no_education,496
2013,Број,grad_doboj,Ж,no_education,2868
2013,Број,donji_zabar,Укупно,no_education,209
2013,Број,donji_zabar,M,no_education,37
2013,Број,donji_zabar,Ж,no_education,172
2013,Број,grad_zvornik,Укупно,no_education,3216
2013,Број,grad_zvornik,M,no_education,484
2013,Број,grad_zvornik,Ж,no_education,2732
2013,Број,istocna_ilidza,Укупно,no_education,280
2013,Број,istocna_ilidza,M,no_education,33
2013,Број,istocna_ilidza,Ж,no_education,247
2013,Број,istocni_drvar,Укупно,no_education,5
2013,Број,istocni_drvar,M,no_education,0
2013,Број,istocni_drvar,Ж,no_education,5
2013,Број,istocni_mostar,Укупно,no_education,19
2013,Број,istocni_mostar,M,no_education,1
2013,Број,istocni_mostar,Ж,no_education,18
2013,Број,istocni_stari_grad,Укупно,no_education,61
2013,Број,istocni_stari_grad,M,no_education,5
2013,Број,istocni_stari_grad,Ж,no_education,56
2013,Број,istocno_novo_sarajevo,Укупно,no_education,191
2013,Број,istocno_novo_sarajevo,M,no_education,25
2013,Број,istocno_novo_sarajevo,Ж,no_education,166
2013,Број,jezero,Укупно,no_education,79
2013,Број,jezero,M,no_education,14
2013,Број,jezero,Ж,no_education,65
2013,Број,kalinovik,Укупно,no_education,158
2013,Број,kalinovik,M,no_education,11
2013,Број,kalinovik,Ж,no_education,147
2013,Број,knezevo,Укупно,no_education,1390
2013,Број,knezevo,M,no_education,311
2013,Број,knezevo,Ж,no_education,1079
2013,Број,kozarska_dubica,Укупно,no_education,984
2013,Број,kozarska_dubica,M,no_education,154
2013,Број,kozarska_dubica,Ж,no_education,830
2013,Број,kostajnica,Укупно,no_education,163
2013,Број,kostajnica,M,no_education,28
2013,Број,kostajnica,Ж,no_education,135
2013,Број,kotor_varos,Укупно,no_education,1503
2013,Број,kotor_varos,M,no_education,282
2013,Број,kotor_varos,Ж,no_education,1221
2013,Број,krupa_na_uni,Укупно,no_education,157
2013,Број,krupa_na_uni,M,no_education,19
2013,Број,krupa_na_uni,Ж,no_education,138
2013,Број,kupres,Укупно,no_education,103
2013,Број,kupres,M,no_education,33
2013,Број,kupres,Ж,no_education,70
2013,Број,laktasi,Укупно,no_education,1363
2013,Број,laktasi,M,no_education,229
2013,Број,laktasi,Ж,no_education,1134
