Year,UNIT_MEASURE,Врста корисника,Value
2016,Број,Породице корисници дјечијег доплатка,23202
2017,Број,Породице корисници дјечијег доплатка,20279
2018,Број,Породице корисници дјечијег доплатка,21839
2019,Број,Породице корисници дјечијег доплатка,15388
2020,Број,Породице корисници дјечијег доплатка,13381
2016,Број,Дјеца корисници дјечијег доплатка,33125
2017,Број,Дјеца корисници дјечијег доплатка,28767
2018,Број,Дјеца корисници дјечијег доплатка,27222
2019,Број,Дјеца корисници дјечијег доплатка,21862
2020,Број,Дјеца корисници дјечијег доплатка,19210
