Year,UNIT_MEASURE,Врста установе,Пол,Value
2016,Број,Укупно,Укупно,9953
2016,Број,Укупно,M,5184
2016,Број,Укупно,Ж,4769
2017,Број,Укупно,Укупно,10240
2017,Број,Укупно,M,5298
2017,Број,Укупно,Ж,4942
2018,Број,Укупно,Укупно,12156
2018,Број,Укупно,M,6341
2018,Број,Укупно,Ж,5815
2019,Број,Укупно,Укупно,13138
2019,Број,Укупно,M,6801
2019,Број,Укупно,Ж,6337
2020,Број,Укупно,Укупно,11247
2020,Број,Укупно,M,5852
2020,Број,Укупно,Ж,5395
2016,Број,Јавна,Укупно,7454
2016,Број,Јавна,M,3869
2016,Број,Јавна,Ж,3585
2017,Број,Јавна,Укупно,7773
2017,Број,Јавна,M,4012
2017,Број,Јавна,Ж,3761
2018,Број,Јавна,Укупно,8553
2018,Број,Јавна,M,4485
2018,Број,Јавна,Ж,4068
2019,Број,Јавна,Укупно,9074
2019,Број,Јавна,M,4704
2019,Број,Јавна,Ж,4370
2020,Број,Јавна,Укупно,7774
2020,Број,Јавна,M,4043
2020,Број,Јавна,Ж,3731
2016,Број,Приватна,Укупно,2499
2016,Број,Приватна,M,1315
2016,Број,Приватна,Ж,1184
2017,Број,Приватна,Укупно,2467
2017,Број,Приватна,M,1286
2017,Број,Приватна,Ж,1181
2018,Број,Приватна,Укупно,3603
2018,Број,Приватна,M,1856
2018,Број,Приватна,Ж,1747
2019,Број,Приватна,Укупно,4064
2019,Број,Приватна,M,2097
2019,Број,Приватна,Ж,1967
2020,Број,Приватна,Укупно,3473
2020,Број,Приватна,M,1809
2020,Број,Приватна,Ж,1664
2021,Број,Укупно,Укупно,14091
2021,Број,Укупно,M,7345
2021,Број,Укупно,Ж,6746
2021,Број,Јавна,Укупно,9814
2021,Број,Јавна,M,5142
2021,Број,Јавна,Ж,4672
2021,Број,Приватна,Укупно,4277
2021,Број,Приватна,M,2203
2021,Број,Приватна,Ж,2074
2022,Број,Укупно,Укупно,15729
2022,Број,Укупно,M,8350
2022,Број,Укупно,Ж,7379
2022,Број,Јавна,Укупно,10832
2022,Број,Јавна,M,5748
2022,Број,Јавна,Ж,5084
2022,Број,Приватна,Укупно,4897
2022,Број,Приватна,M,2602
2022,Број,Приватна,Ж,2295
2023,Број,Укупно,Укупно,16807
2023,Број,Укупно,M,8822
2023,Број,Укупно,Ж,7985
2023,Број,Јавна,Укупно,11500
2023,Број,Јавна,M,6076
2023,Број,Јавна,Ж,5424
2023,Број,Приватна,Укупно,5307
2023,Број,Приватна,M,2746
2023,Број,Приватна,Ж,2561
