Year,UNIT_MEASURE,Пол,Value
2016,Број,Укупно,5474
2016,Број,M,2289
2016,Број,Ж,3185
2017,Број,Укупно,5081
2017,Број,M,2145
2017,Број,Ж,2936
2018,Број,Укупно,4564
2018,Број,M,1843
2018,Број,Ж,2721
2019,Број,Укупно,4144
2019,Број,M,1688
2019,Број,Ж,2456
2020,Број,Укупно,4184
2020,Број,M,1665
2020,Број,Ж,2519
2021,Број,Укупно,3585
2021,Број,M,1481
2021,Број,Ж,2104
2022,Број,Укупно,3386
2022,Број,M,1336
2022,Број,Ж,2050
2023,Број,Укупно,3102
2023,Број,M,1206
2023,Број,Ж,1896
2024,Број,Укупно,3035
2024,Број,M,1123
2024,Број,Ж,1912
