Year,UNIT_MEASURE,Област образовања,Врста образовања,Пол,Value
2017,Број,Укупно,Mагистарске студије,Укупно,2140
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,Укупно,67
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Укупно,347
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,Укупно,99
2017,Број,Здравство и социјална заштита,Mагистарске студије,Укупно,35
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Укупно,206
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Укупно,473
2017,Број,"Пословање, администрација и право",Mагистарске студије,Укупно,356
2017,Број,Oбразовање,Mагистарске студије,Укупно,236
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,Укупно,319
2017,Број,Услуге,Mагистарске студије,Укупно,2
2017,Број,Укупно,Mагистарске студије,M,917
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,M,26
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,M,208
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,M,80
2017,Број,Здравство и социјална заштита,Mагистарске студије,M,8
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,M,114
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,M,176
2017,Број,"Пословање, администрација и право",Mагистарске студије,M,124
2017,Број,Oбразовање,Mагистарске студије,M,39
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,M,142
2017,Број,Услуге,Mагистарске студије,M,0
2017,Број,Укупно,Mагистарске студије,Ж,1223
2017,Број,"Природне науке, математика и статистика",Mагистарске студије,Ж,41
2017,Број,"Инжeњерство, производња и грађевинарство",Mагистарске студије,Ж,139
2017,Број,Информационе и комуникационе технологије,Mагистарске студије,Ж,19
2017,Број,Здравство и социјална заштита,Mагистарске студије,Ж,27
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Mагистарске студије,Ж,92
2017,Број,"Друштвене науке, новинарство и информисање",Mагистарске студије,Ж,297
2017,Број,"Пословање, администрација и право",Mагистарске студије,Ж,232
2017,Број,Oбразовање,Mагистарске студије,Ж,197
2017,Број,Умјетност и хуманистичке науке,Mагистарске студије,Ж,177
2017,Број,Услуге,Mагистарске студије,Ж,2
2017,Број,Укупно,Mастер студије,Укупно,31
2017,Број,"Природне науке, математика и статистика",Mастер студије,Укупно,1
2017,Број,"Инжeњерство, производња и грађевинарство",Mастер студије,Укупно,0
2017,Број,Информационе и комуникационе технологије,Mастер студије,Укупно,22
2017,Број,Здравство и социјална заштита,Mастер студије,Укупно,0
