Year,UNIT_MEASURE,Degree,Пол,Value
2016,Број,Mагистри наука,Оба пола,72
2016,Број,Mагистри наука,M,43
2016,Број,Mагистри наука,Ж,29
2017,Број,Mагистри наука,Оба пола,42
2017,Број,Mагистри наука,M,22
2017,Број,Mагистри наука,Ж,20
2018,Број,Mагистри наука,Оба пола,41
2018,Број,Mагистри наука,M,21
2018,Број,Mагистри наука,Ж,20
2019,Број,Mагистри наука,Оба пола,39
2019,Број,Mагистри наука,M,17
2019,Број,Mагистри наука,Ж,22
2020,Број,Mагистри наука,Оба пола,36
2020,Број,Mагистри наука,M,20
2020,Број,Mагистри наука,Ж,16
2016,Број,Мастери,Оба пола,420
2016,Број,Мастери,M,200
2016,Број,Мастери,Ж,220
2017,Број,Мастери,Оба пола,383
2017,Број,Мастери,M,182
2017,Број,Мастери,Ж,201
2018,Број,Мастери,Оба пола,378
2018,Број,Мастери,M,152
2018,Број,Мастери,Ж,226
2019,Број,Мастери,Оба пола,332
2019,Број,Мастери,M,136
2019,Број,Мастери,Ж,196
2020,Број,Мастери,Оба пола,261
2020,Број,Мастери,M,105
2020,Број,Мастери,Ж,156
2016,Број,Специјалисти,Оба пола,101
2016,Број,Специјалисти,M,32
2016,Број,Специјалисти,Ж,69
2017,Број,Специјалисти,Оба пола,109
2017,Број,Специјалисти,M,48
2017,Број,Специјалисти,Ж,61
2018,Број,Специјалисти,Оба пола,111
2018,Број,Специјалисти,M,35
2018,Број,Специјалисти,Ж,76
2019,Број,Специјалисти,Оба пола,95
2019,Број,Специјалисти,M,35
2019,Број,Специјалисти,Ж,60
2020,Број,Специјалисти,Оба пола,87
2020,Број,Специјалисти,M,31
2020,Број,Специјалисти,Ж,56
