Year,UNIT_MEASURE,Врста образовања,Пол,Value
2017,Број,Укупно,Оба пола,54
2017,Број,"Природне науке, математика и статистика",Оба пола,4
2017,Број,"Инжeњерство, производња и грађевинарство",Оба пола,6
2017,Број,information_and_communication_technologie,Оба пола,4
2017,Број,Здравство и социјална заштита,Оба пола,1
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,2
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,14
2017,Број,"Пословање, администрација и право",Оба пола,16
2017,Број,Oбразовање,Оба пола,0
2017,Број,Умјетност и хуманистичке науке,Оба пола,7
2017,Број,Услуге,Оба пола,0
2017,Број,Укупно,M,37
2017,Број,"Природне науке, математика и статистика",M,2
2017,Број,"Инжeњерство, производња и грађевинарство",M,3
2017,Број,information_and_communication_technologie,M,3
2017,Број,Здравство и социјална заштита,M,1
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,2
2017,Број,"Друштвене науке, новинарство и информисање",M,10
2017,Број,"Пословање, администрација и право",M,13
2017,Број,Oбразовање,M,0
2017,Број,Умјетност и хуманистичке науке,M,3
2017,Број,Услуге,M,0
2017,Број,Укупно,Ж,17
2017,Број,"Природне науке, математика и статистика",Ж,2
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,3
2017,Број,information_and_communication_technologie,Ж,1
2017,Број,Здравство и социјална заштита,Ж,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,0
2017,Број,"Друштвене науке, новинарство и информисање",Ж,4
2017,Број,"Пословање, администрација и право",Ж,3
2017,Број,Oбразовање,Ж,0
2017,Број,Умјетност и хуманистичке науке,Ж,4
2017,Број,Услуге,Ж,0
2018,Број,Укупно,Оба пола,43
2018,Број,"Природне науке, математика и статистика",Оба пола,1
2018,Број,"Инжeњерство, производња и грађевинарство",Оба пола,3
2018,Број,information_and_communication_technologie,Оба пола,3
2018,Број,Здравство и социјална заштита,Оба пола,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,4
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,14
2018,Број,"Пословање, администрација и право",Оба пола,12
2018,Број,Oбразовање,Оба пола,1
2018,Број,Умјетност и хуманистичке науке,Оба пола,5
2018,Број,Услуге,Оба пола,0
2018,Број,Укупно,M,28
2018,Број,"Природне науке, математика и статистика",M,1
2018,Број,"Инжeњерство, производња и грађевинарство",M,1
2018,Број,information_and_communication_technologie,M,3
2018,Број,Здравство и социјална заштита,M,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,1
