Year,Value,UNIT_MEASURE
2003.0,8.8,Стопа наталитета на 1.000 становника
2004.0,8.9,Стопа наталитета на 1.000 становника
2005.0,8.7,Стопа наталитета на 1.000 становника
2006.0,8.9,Стопа наталитета на 1.000 становника
2007.0,8.6,Стопа наталитета на 1.000 становника
2008.0,8.6,Стопа наталитета на 1.000 становника
2009.0,9.0,Стопа наталитета на 1.000 становника
2010.0,8.6,Стопа наталитета на 1.000 становника
2011.0,8.1,Стопа наталитета на 1.000 становника
2012.0,8.5,Стопа наталитета на 1.000 становника
2013.0,8.1,Стопа наталитета на 1.000 становника
2014.0,8.0,Стопа наталитета на 1.000 становника
2015.0,8.1,Стопа наталитета на 1.000 становника
2016.0,8.2,Стопа наталитета на 1.000 становника
2017.0,8.1,Стопа наталитета на 1.000 становника
2018.0,8.3,Стопа наталитета на 1.000 становника
2019.0,8.1,Стопа наталитета на 1.000 становника
2020.0,8.1,Стопа наталитета на 1.000 становника
,,
,,
,,
,,
