Year,Value,UNIT_MEASURE
2019,12.8,Стопа смртности на 1.000 становника
2020,12.8,Стопа смртности на 1.000 становника
2025,13.2,Стопа смртности на 1.000 становника
2030,13.7,Стопа смртности на 1.000 становника
2035,14.4,Стопа смртности на 1.000 становника
2040,15.2,Стопа смртности на 1.000 становника
2045,15.7,Стопа смртности на 1.000 становника
2050,15.9,Стопа смртности на 1.000 становника
2055,16.0,Стопа смртности на 1.000 становника
2060,16.1,Стопа смртности на 1.000 становника
2065,16.3,Стопа смртности на 1.000 становника
2070,16.6,Стопа смртности на 1.000 становника
