Year,Value,UNIT_MEASURE
2022	NUMBER	berkovici	_T	0-4	51,,
2022	NUMBER	berkovici	M	0-4	27,,
2022	NUMBER	berkovici	F	0-4	24,,
2022	NUMBER	bileca	_T	0-4	459,,
2022	NUMBER	bileca	M	0-4	208,,
2022	NUMBER	bileca	F	0-4	251,,
2022	NUMBER	bratunac	_T	0-4	582,,
2022	NUMBER	bratunac	M	0-4	278,,
2022	NUMBER	bratunac	F	0-4	304,,
2022	NUMBER	brod	_T	0-4	507,,
2022	NUMBER	brod	M	0-4	235,,
2022	NUMBER	brod	F	0-4	272,,
2022	NUMBER	cajnice	_T	0-4	126,,
2022	NUMBER	cajnice	M	0-4	64,,
2022	NUMBER	cajnice	F	0-4	62,,
2022	NUMBER	celinac	_T	0-4	743,,
2022	NUMBER	celinac	M	0-4	351,,
2022	NUMBER	celinac	F	0-4	392,,
2022	NUMBER	donji_zabar	_T	0-4	11,,
2022	NUMBER	donji_zabar	M	0-4	3,,
2022	NUMBER	donji_zabar	F	0-4	8,,
2022	NUMBER	foca	_T	0-4	605,,
2022	NUMBER	foca	M	0-4	312,,
2022	NUMBER	foca	F	0-4	293,,
2022	NUMBER	gacko	_T	0-4	366,,
2022	NUMBER	gacko	M	0-4	182,,
2022	NUMBER	gacko	F	0-4	184,,
2022	NUMBER	grad_banja_luka	_T	0-4	9356,,
2022	NUMBER	grad_banja_luka	M	0-4	4420,,
2022	NUMBER	grad_banja_luka	F	0-4	4936,,
2022	NUMBER	grad_bijeljina	_T	0-4	4636,,
2022	NUMBER	grad_bijeljina	M	0-4	2209,,
2022	NUMBER	grad_bijeljina	F	0-4	2427,,
2022	NUMBER	grad_derventa	_T	0-4	1035,,
2022	NUMBER	grad_derventa	M	0-4	498,,
2022	NUMBER	grad_derventa	F	0-4	537,,
2022	NUMBER	grad_doboj	_T	0-4	2410,,
2022	NUMBER	grad_doboj	M	0-4	1164,,
2022	NUMBER	grad_doboj	F	0-4	1246,,
2022	NUMBER	grad_gradiska	_T	0-4	2130,,
2022	NUMBER	grad_gradiska	M	0-4	1012,,
2022	NUMBER	grad_gradiska	F	0-4	1118,,
2022	NUMBER	grad_prijedor	_T	0-4	2882,,
2022	NUMBER	grad_prijedor	M	0-4	1386,,
2022	NUMBER	grad_prijedor	F	0-4	1496,,
2022	NUMBER	grad_trebinje	_T	0-4	1503,,
2022	NUMBER	grad_trebinje	M	0-4	720,,
2022	NUMBER	grad_trebinje	F	0-4	783,,
2022	NUMBER	grad_zvornik	_T	0-4	1914,,
2022	NUMBER	grad_zvornik	M	0-4	961,,
2022	NUMBER	grad_zvornik	F	0-4	953,,
2022	NUMBER	han_pijesak	_T	0-4	94,,
2022	NUMBER	han_pijesak	M	0-4	39,,
2022	NUMBER	han_pijesak	F	0-4	55,,
2022	NUMBER	istocna_ilidza	_T	0-4	561,,
2022	NUMBER	istocna_ilidza	M	0-4	273,,
2022	NUMBER	istocna_ilidza	F	0-4	288,,
2022	NUMBER	istocni_drvar	_T	0-4	1,,
2022	NUMBER	istocni_drvar	M	0-4	0,,
2022	NUMBER	istocni_drvar	F	0-4	1,,
2022	NUMBER	istocni_mostar	_T	0-4	1,,
2022	NUMBER	istocni_mostar	M	0-4	0,,
2022	NUMBER	istocni_mostar	F	0-4	1,,
2022	NUMBER	istocni_stari_grad	_T	0-4	38,,
