Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2003,NUMBER,_T,total,12988
2004,NUMBER,_T,total,13082
2005,NUMBER,_T,total,13802
2006,NUMBER,_T,total,13232
2007,NUMBER,_T,total,14146
2008,NUMBER,_T,total,13501
2009,NUMBER,_T,total,13775
2010,NUMBER,_T,total,13517
2011,NUMBER,_T,total,13658
2012,NUMBER,_T,total,13796
2013,NUMBER,_T,total,13978
2014,NUMBER,_T,total,14409
2015,NUMBER,_T,total,15059
2016,NUMBER,_T,total,13970
2017,NUMBER,_T,total,14663
2018,NUMBER,_T,total,14763
2019,NUMBER,_T,total,15081
2020,NUMBER,_T,total,16582
2021,NUMBER,_T,total,19002
2022,NUMBER,_T,total,16263
2023,NUMBER,_T,total,13508
2024,NUMBER,_T,total,14136
2003,NUMBER,_T,infectious_and_parasitic,89
2004,NUMBER,_T,infectious_and_parasitic,124
2005,NUMBER,_T,infectious_and_parasitic,128
2006,NUMBER,_T,infectious_and_parasitic,111
2007,NUMBER,_T,infectious_and_parasitic,103
2008,NUMBER,_T,infectious_and_parasitic,118
2009,NUMBER,_T,infectious_and_parasitic,118
2010,NUMBER,_T,infectious_and_parasitic,109
2011,NUMBER,_T,infectious_and_parasitic,117
2012,NUMBER,_T,infectious_and_parasitic,135
2013,NUMBER,_T,infectious_and_parasitic,120
2014,NUMBER,_T,infectious_and_parasitic,136
2015,NUMBER,_T,infectious_and_parasitic,159
2016,NUMBER,_T,infectious_and_parasitic,187
2017,NUMBER,_T,infectious_and_parasitic,147
2018,NUMBER,_T,infectious_and_parasitic,184
2019,NUMBER,_T,infectious_and_parasitic,200
2020,NUMBER,_T,infectious_and_parasitic,162
2021,NUMBER,_T,infectious_and_parasitic,140
2022,NUMBER,_T,infectious_and_parasitic,211
2023,NUMBER,_T,infectious_and_parasitic,188
2024,NUMBER,_T,infectious_and_parasitic,221
2003,NUMBER,_T,neoplasms,2411
2004,NUMBER,_T,neoplasms,2330
2005,NUMBER,_T,neoplasms,2653
2006,NUMBER,_T,neoplasms,2551
2007,NUMBER,_T,neoplasms,2733
2008,NUMBER,_T,neoplasms,2733
2009,NUMBER,_T,neoplasms,2822
2010,NUMBER,_T,neoplasms,2700
2011,NUMBER,_T,neoplasms,2802
2012,NUMBER,_T,neoplasms,2937
2013,NUMBER,_T,neoplasms,3090
2014,NUMBER,_T,neoplasms,3154
2015,NUMBER,_T,neoplasms,3138
2016,NUMBER,_T,neoplasms,2948
2017,NUMBER,_T,neoplasms,3027
2018,NUMBER,_T,neoplasms,2938
2019,NUMBER,_T,neoplasms,2891
2020,NUMBER,_T,neoplasms,2719
2021,NUMBER,_T,neoplasms,2623
2022,NUMBER,_T,neoplasms,2635
2023,NUMBER,_T,neoplasms,2630
2024,NUMBER,_T,neoplasms,2807
2003,NUMBER,_T,diseases_of_the_blood,8
2004,NUMBER,_T,diseases_of_the_blood,13
2005,NUMBER,_T,diseases_of_the_blood,15
2006,NUMBER,_T,diseases_of_the_blood,6
2007,NUMBER,_T,diseases_of_the_blood,16
2008,NUMBER,_T,diseases_of_the_blood,8
2009,NUMBER,_T,diseases_of_the_blood,13
2010,NUMBER,_T,diseases_of_the_blood,15
2011,NUMBER,_T,diseases_of_the_blood,17
2012,NUMBER,_T,diseases_of_the_blood,15
2013,NUMBER,_T,diseases_of_the_blood,16
2014,NUMBER,_T,diseases_of_the_blood,10
2015,NUMBER,_T,diseases_of_the_blood,19
2016,NUMBER,_T,diseases_of_the_blood,24
2017,NUMBER,_T,diseases_of_the_blood,20
2018,NUMBER,_T,diseases_of_the_blood,36
2019,NUMBER,_T,diseases_of_the_blood,24
2020,NUMBER,_T,diseases_of_the_blood,27
2021,NUMBER,_T,diseases_of_the_blood,22
2022,NUMBER,_T,diseases_of_the_blood,28
2023,NUMBER,_T,diseases_of_the_blood,17
2024,NUMBER,_T,diseases_of_the_blood,26
2003,NUMBER,_T,endocrine_metabolic_and_nutritional,180
2004,NUMBER,_T,endocrine_metabolic_and_nutritional,160
2005,NUMBER,_T,endocrine_metabolic_and_nutritional,727
2006,NUMBER,_T,endocrine_metabolic_and_nutritional,790
2007,NUMBER,_T,endocrine_metabolic_and_nutritional,791
2008,NUMBER,_T,endocrine_metabolic_and_nutritional,764
2009,NUMBER,_T,endocrine_metabolic_and_nutritional,891
2010,NUMBER,_T,endocrine_metabolic_and_nutritional,691
2011,NUMBER,_T,endocrine_metabolic_and_nutritional,654
2012,NUMBER,_T,endocrine_metabolic_and_nutritional,561
2013,NUMBER,_T,endocrine_metabolic_and_nutritional,800
2014,NUMBER,_T,endocrine_metabolic_and_nutritional,912
2015,NUMBER,_T,endocrine_metabolic_and_nutritional,762
2016,NUMBER,_T,endocrine_metabolic_and_nutritional,691
2017,NUMBER,_T,endocrine_metabolic_and_nutritional,825
2018,NUMBER,_T,endocrine_metabolic_and_nutritional,844
2019,NUMBER,_T,endocrine_metabolic_and_nutritional,604
2020,NUMBER,_T,endocrine_metabolic_and_nutritional,825
2021,NUMBER,_T,endocrine_metabolic_and_nutritional,921
2022,NUMBER,_T,endocrine_metabolic_and_nutritional,994
2023,NUMBER,_T,endocrine_metabolic_and_nutritional,904
2024,NUMBER,_T,endocrine_metabolic_and_nutritional,934
2003,NUMBER,_T,mental_and_behavioural_disorders,33
2004,NUMBER,_T,mental_and_behavioural_disorders,58
2005,NUMBER,_T,mental_and_behavioural_disorders,80
2006,NUMBER,_T,mental_and_behavioural_disorders,82
2007,NUMBER,_T,mental_and_behavioural_disorders,107
2008,NUMBER,_T,mental_and_behavioural_disorders,101
2009,NUMBER,_T,mental_and_behavioural_disorders,122
2010,NUMBER,_T,mental_and_behavioural_disorders,84
2011,NUMBER,_T,mental_and_behavioural_disorders,72
2012,NUMBER,_T,mental_and_behavioural_disorders,58
2013,NUMBER,_T,mental_and_behavioural_disorders,95
2014,NUMBER,_T,mental_and_behavioural_disorders,84
2015,NUMBER,_T,mental_and_behavioural_disorders,72
2016,NUMBER,_T,mental_and_behavioural_disorders,98
2017,NUMBER,_T,mental_and_behavioural_disorders,113
2018,NUMBER,_T,mental_and_behavioural_disorders,85
2019,NUMBER,_T,mental_and_behavioural_disorders,72
2020,NUMBER,_T,mental_and_behavioural_disorders,72
2021,NUMBER,_T,mental_and_behavioural_disorders,107
2022,NUMBER,_T,mental_and_behavioural_disorders,132
2023,NUMBER,_T,mental_and_behavioural_disorders,102
2024,NUMBER,_T,mental_and_behavioural_disorders,105
2003,NUMBER,_T,diseases_of_the_nervous,65
2004,NUMBER,_T,diseases_of_the_nervous,91
2005,NUMBER,_T,diseases_of_the_nervous,170
2006,NUMBER,_T,diseases_of_the_nervous,184
2007,NUMBER,_T,diseases_of_the_nervous,155
2008,NUMBER,_T,diseases_of_the_nervous,146
2009,NUMBER,_T,diseases_of_the_nervous,133
2010,NUMBER,_T,diseases_of_the_nervous,152
2011,NUMBER,_T,diseases_of_the_nervous,209
2012,NUMBER,_T,diseases_of_the_nervous,207
2013,NUMBER,_T,diseases_of_the_nervous,185
2014,NUMBER,_T,diseases_of_the_nervous,186
2015,NUMBER,_T,diseases_of_the_nervous,212
2016,NUMBER,_T,diseases_of_the_nervous,171
2017,NUMBER,_T,diseases_of_the_nervous,197
2018,NUMBER,_T,diseases_of_the_nervous,169
2019,NUMBER,_T,diseases_of_the_nervous,165
2020,NUMBER,_T,diseases_of_the_nervous,188
2021,NUMBER,_T,diseases_of_the_nervous,173
2022,NUMBER,_T,diseases_of_the_nervous,168
2023,NUMBER,_T,diseases_of_the_nervous,157
2024,NUMBER,_T,diseases_of_the_nervous,194
2003,NUMBER,_T,diseases_of_the_eye,0
2004,NUMBER,_T,diseases_of_the_eye,0
2005,NUMBER,_T,diseases_of_the_eye,0
2006,NUMBER,_T,diseases_of_the_eye,0
2007,NUMBER,_T,diseases_of_the_eye,0
2008,NUMBER,_T,diseases_of_the_eye,0
2009,NUMBER,_T,diseases_of_the_eye,0
2010,NUMBER,_T,diseases_of_the_eye,0
2011,NUMBER,_T,diseases_of_the_eye,0
2012,NUMBER,_T,diseases_of_the_eye,0
2013,NUMBER,_T,diseases_of_the_eye,0
2014,NUMBER,_T,diseases_of_the_eye,0
2015,NUMBER,_T,diseases_of_the_eye,0
2016,NUMBER,_T,diseases_of_the_eye,0
2017,NUMBER,_T,diseases_of_the_eye,0
2018,NUMBER,_T,diseases_of_the_eye,0
2019,NUMBER,_T,diseases_of_the_eye,0
2020,NUMBER,_T,diseases_of_the_eye,0
2021,NUMBER,_T,diseases_of_the_eye,0
2022,NUMBER,_T,diseases_of_the_eye,0
2023,NUMBER,_T,diseases_of_the_eye,0
2024,NUMBER,_T,diseases_of_the_eye,0
2003,NUMBER,_T,diseases_of_the_ear,0
2004,NUMBER,_T,diseases_of_the_ear,0
2005,NUMBER,_T,diseases_of_the_ear,1
2006,NUMBER,_T,diseases_of_the_ear,0
2007,NUMBER,_T,diseases_of_the_ear,1
2008,NUMBER,_T,diseases_of_the_ear,0
2009,NUMBER,_T,diseases_of_the_ear,0
2010,NUMBER,_T,diseases_of_the_ear,0
2011,NUMBER,_T,diseases_of_the_ear,0
2012,NUMBER,_T,diseases_of_the_ear,0
2013,NUMBER,_T,diseases_of_the_ear,0
2014,NUMBER,_T,diseases_of_the_ear,0
2015,NUMBER,_T,diseases_of_the_ear,0
2016,NUMBER,_T,diseases_of_the_ear,0
2017,NUMBER,_T,diseases_of_the_ear,0
2018,NUMBER,_T,diseases_of_the_ear,0
2019,NUMBER,_T,diseases_of_the_ear,0
2020,NUMBER,_T,diseases_of_the_ear,0
2021,NUMBER,_T,diseases_of_the_ear,0
2022,NUMBER,_T,diseases_of_the_ear,0
2023,NUMBER,_T,diseases_of_the_ear,0
2024,NUMBER,_T,diseases_of_the_ear,0
2003,NUMBER,_T,diseases_of_the_circulatory,7071
2004,NUMBER,_T,diseases_of_the_circulatory,7340
2005,NUMBER,_T,diseases_of_the_circulatory,7002
2006,NUMBER,_T,diseases_of_the_circulatory,6463
2007,NUMBER,_T,diseases_of_the_circulatory,7097
2008,NUMBER,_T,diseases_of_the_circulatory,6965
2009,NUMBER,_T,diseases_of_the_circulatory,7014
2010,NUMBER,_T,diseases_of_the_circulatory,7211
2011,NUMBER,_T,diseases_of_the_circulatory,7339
2012,NUMBER,_T,diseases_of_the_circulatory,7625
2013,NUMBER,_T,diseases_of_the_circulatory,6687
2014,NUMBER,_T,diseases_of_the_circulatory,6777
2015,NUMBER,_T,diseases_of_the_circulatory,7275
2016,NUMBER,_T,diseases_of_the_circulatory,6920
2017,NUMBER,_T,diseases_of_the_circulatory,7180
2018,NUMBER,_T,diseases_of_the_circulatory,6989
2019,NUMBER,_T,diseases_of_the_circulatory,7473
2020,NUMBER,_T,diseases_of_the_circulatory,7602
2021,NUMBER,_T,diseases_of_the_circulatory,7217
2022,NUMBER,_T,diseases_of_the_circulatory,6791
2023,NUMBER,_T,diseases_of_the_circulatory,6051
2024,NUMBER,_T,diseases_of_the_circulatory,6259
2003,NUMBER,_T,diseases_of_the_respiratory,304
2004,NUMBER,_T,diseases_of_the_respiratory,345
2005,NUMBER,_T,diseases_of_the_respiratory,504
2006,NUMBER,_T,diseases_of_the_respiratory,520
2007,NUMBER,_T,diseases_of_the_respiratory,493
2008,NUMBER,_T,diseases_of_the_respiratory,449
2009,NUMBER,_T,diseases_of_the_respiratory,430
2010,NUMBER,_T,diseases_of_the_respiratory,450
2011,NUMBER,_T,diseases_of_the_respiratory,536
2012,NUMBER,_T,diseases_of_the_respiratory,424
2013,NUMBER,_T,diseases_of_the_respiratory,556
2014,NUMBER,_T,diseases_of_the_respiratory,524
2015,NUMBER,_T,diseases_of_the_respiratory,618
2016,NUMBER,_T,diseases_of_the_respiratory,510
2017,NUMBER,_T,diseases_of_the_respiratory,576
2018,NUMBER,_T,diseases_of_the_respiratory,626
2019,NUMBER,_T,diseases_of_the_respiratory,596
2020,NUMBER,_T,diseases_of_the_respiratory,631
2021,NUMBER,_T,diseases_of_the_respiratory,640
2022,NUMBER,_T,diseases_of_the_respiratory,567
2023,NUMBER,_T,diseases_of_the_respiratory,586
2024,NUMBER,_T,diseases_of_the_respiratory,667
2003,NUMBER,_T,diseases_of_the_digestive,352
2004,NUMBER,_T,diseases_of_the_digestive,347
2005,NUMBER,_T,diseases_of_the_digestive,343
2006,NUMBER,_T,diseases_of_the_digestive,379
2007,NUMBER,_T,diseases_of_the_digestive,396
2008,NUMBER,_T,diseases_of_the_digestive,366
2009,NUMBER,_T,diseases_of_the_digestive,371
2010,NUMBER,_T,diseases_of_the_digestive,398
2011,NUMBER,_T,diseases_of_the_digestive,391
2012,NUMBER,_T,diseases_of_the_digestive,393
2013,NUMBER,_T,diseases_of_the_digestive,402
2014,NUMBER,_T,diseases_of_the_digestive,429
2015,NUMBER,_T,diseases_of_the_digestive,440
2016,NUMBER,_T,diseases_of_the_digestive,450
2017,NUMBER,_T,diseases_of_the_digestive,413
2018,NUMBER,_T,diseases_of_the_digestive,481
2019,NUMBER,_T,diseases_of_the_digestive,419
2020,NUMBER,_T,diseases_of_the_digestive,438
2021,NUMBER,_T,diseases_of_the_digestive,400
2022,NUMBER,_T,diseases_of_the_digestive,460
