Year,UNIT_MEASURE,Value
2003,number_birth_rate,5.7
2004,number_birth_rate,6.0
2005,number_birth_rate,5.7
2006,number_birth_rate,5.8
2007,number_birth_rate,6.0
2008,number_birth_rate,5.4
2009,number_birth_rate,5.2
2010,number_birth_rate,4.9
2011,number_birth_rate,4.9
2012,number_birth_rate,4.5
2013,number_birth_rate,4.7
2014,number_birth_rate,5.0
2015,number_birth_rate,5.1
2016,number_birth_rate,4.8
2017,number_birth_rate,5.2
2018,number_birth_rate,5.2
2019,number_birth_rate,5.1
2020,number_birth_rate,3.7
