Year,UNIT_MEASURE,SEX,BIRTH,Value
2019,NUMBER,M,LIVE_BIRTH,4839
2020,NUMBER,M,LIVE_BIRTH,4783
2025,NUMBER,M,LIVE_BIRTH,4500
2030,NUMBER,M,LIVE_BIRTH,4246
2035,NUMBER,M,LIVE_BIRTH,3997
2040,NUMBER,M,LIVE_BIRTH,3783
2045,NUMBER,M,LIVE_BIRTH,3584
2050,NUMBER,M,LIVE_BIRTH,3414
2055,NUMBER,M,LIVE_BIRTH,3266
2060,NUMBER,M,LIVE_BIRTH,3120
2065,NUMBER,M,LIVE_BIRTH,2973
2070,NUMBER,M,LIVE_BIRTH,2834
2019,NUMBER,M,DEATHS,7387
2020,NUMBER,M,DEATHS,7383
2025,NUMBER,M,DEATHS,7370
2030,NUMBER,M,DEATHS,7389
2035,NUMBER,M,DEATHS,7439
2040,NUMBER,M,DEATHS,7460
2045,NUMBER,M,DEATHS,7359
2050,NUMBER,M,DEATHS,7154
2055,NUMBER,M,DEATHS,6949
2060,NUMBER,M,DEATHS,6763
2065,NUMBER,M,DEATHS,6573
2070,NUMBER,M,DEATHS,6376
2019,NUMBER,F,LIVE_BIRTH,4557
2020,NUMBER,F,LIVE_BIRTH,4505
2025,NUMBER,F,LIVE_BIRTH,4238
2030,NUMBER,F,LIVE_BIRTH,3999
2035,NUMBER,F,LIVE_BIRTH,3764
2040,NUMBER,F,LIVE_BIRTH,3562
2045,NUMBER,F,LIVE_BIRTH,3375
2050,NUMBER,F,LIVE_BIRTH,3215
2055,NUMBER,F,LIVE_BIRTH,3076
2060,NUMBER,F,LIVE_BIRTH,2938
2065,NUMBER,F,LIVE_BIRTH,2799
2070,NUMBER,F,LIVE_BIRTH,2669
2019,NUMBER,F,DEATHS,7218
2020,NUMBER,F,DEATHS,7231
2025,NUMBER,F,DEATHS,7312
2030,NUMBER,F,DEATHS,7459
2035,NUMBER,F,DEATHS,7668
2040,NUMBER,F,DEATHS,7858
2045,NUMBER,F,DEATHS,7872
2050,NUMBER,F,DEATHS,7641
2055,NUMBER,F,DEATHS,7336
2060,NUMBER,F,DEATHS,7021
2065,NUMBER,F,DEATHS,6810
2070,NUMBER,F,DEATHS,6627
