Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value,,,,,,
2020,2020,M,0-4,-24373,,,,,,
2020,2020,M,5-9,-25352,,,,,,
2020,2020,M,10-14,-28088,,,,,,
2020,2020,M,15-19,-28413,,,,,,
2020,2020,M,20-24,-33250,,,,,,
2020,2020,M,25-29,-34192,,,,,,
2020,2020,M,30-34,-36787,,,,,,
2020,2020,M,35-39,-40689,,,,,,
2020,2020,M,40-44,-40893,,,,,,
2020,2020,M,45-49,-39520,,,,,,
2020,2020,M,50-54,-37934,,,,,,
2020,2020,M,55-59,-41148,,,,,,
2020,2020,M,60-64,-41051,,,,,,
2020,2020,M,65-69,-38766,,,,,,
2020,2020,M,70-74,-28359,,,,,,
2020,2020,M,75-79,-15393,,,,,,
2020,2020,M,80-84,-13225,,,,,,
2020,2020,M,85-89,-5366,,,,,,
2020,2020,M,90-94,-1397,,,,,,
2020,2020,M,95-99,-146,,,,,,
2020,2020,M,100-104,-20,,,,,,
2020,2020,M,105-109,-2,,,,,,
2020,2020,M,110-114,0,,,,,,
2020,2020,M,115-119,0,,,,,,
2020,2020,M,120+,0,,,,,,
2020,2025,M,0-4,-22983,,,,,,
2020,2025,M,5-9,-24391,,,,,,
2020,2025,M,10-14,-25346,,,,,,
2020,2025,M,15-19,-28034,,,,,,
2020,2025,M,20-24,-28282,,,,,,
2020,2025,M,25-29,-33192,,,,,,
2020,2025,M,30-34,-34185,,,,,,
2020,2025,M,35-39,-36705,,,,,,
2020,2025,M,40-44,-40395,,,,,,
2020,2025,M,45-49,-40327,,,,,,
2020,2025,M,50-54,-38581,,,,,,
2020,2025,M,55-59,-36474,,,,,,
2020,2025,M,60-64,-38603,,,,,,
2020,2025,M,65-69,-37266,,,,,,
2020,2025,M,70-74,-33472,,,,,,
2020,2025,M,75-79,-22351,,,,,,
2020,2025,M,80-84,-10422,,,,,,
2020,2025,M,85-89,-7180,,,,,,
2020,2025,M,90-94,-2129,,,,,,
2020,2025,M,95-99,-366,,,,,,
2020,2025,M,100-104,-22,,,,,,
2020,2025,M,105-109,-1,,,,,,
2020,2025,M,110-114,0,,,,,,
2020,2025,M,115-119,0,,,,,,
2020,2025,M,120+,0,,,,,,
2020,2030,M,0-4,-21665,,,,,,
2020,2030,M,5-9,-23011,,,,,,
2020,2030,M,10-14,-24392,,,,,,
2020,2030,M,15-19,-25308,,,,,,
2020,2030,M,20-24,-27914,,,,,,
2020,2030,M,25-29,-28321,,,,,,
2020,2030,M,30-34,-33209,,,,,,
2020,2030,M,35-39,-34161,,,,,,
2020,2030,M,40-44,-36508,,,,,,
2020,2030,M,45-49,-39891,,,,,,
2020,2030,M,50-54,-39442,,,,,,
2020,2030,M,55-59,-37239,,,,,,
2020,2030,M,60-64,-34464,,,,,,
2020,2030,M,65-69,-35384,,,,,,
2020,2030,M,70-74,-32609,,,,,,
2020,2030,M,75-79,-26915,,,,,,
2020,2030,M,80-84,-15743,,,,,,
2020,2030,M,85-89,-5961,,,,,,
2020,2030,M,90-94,-3067,,,,,,
2020,2030,M,95-99,-616,,,,,,
2020,2030,M,100-104,-64,,,,,,
2020,2030,M,105-109,-2,,,,,,
2020,2030,M,110-114,0,,,,,,
2020,2030,M,115-119,0,,,,,,
2020,2030,M,120+,0,,,,,,
2020,2035,M,0-4,-20428,,,,,,
2020,2035,M,5-9,-21700,,,,,,
2020,2035,M,10-14,-23019,,,,,,
2020,2035,M,15-19,-24366,,,,,,
2020,2035,M,20-24,-25247,,,,,,
2020,2035,M,25-29,-27957,,,,,,
2020,2035,M,30-34,-28418,,,,,,
2020,2035,M,35-39,-33202,,,,,,
2020,2035,M,40-44,-34028,,,,,,
2020,2035,M,45-49,-36123,,,,,,
2020,2035,M,50-54,-39087,,,,,,
2020,2035,M,55-59,-38163,,,,,,
2020,2035,M,60-64,-35362,,,,,,
2020,2035,M,65-69,-31866,,,,,,
2020,2035,M,70-74,-31320,,,,,,
2020,2035,M,75-79,-26676,,,,,,
2020,2035,M,80-84,-19459,,,,,,
2020,2035,M,85-89,-9478,,,,,,
2020,2035,M,90-94,-2705,,,,,,
2020,2035,M,95-99,-966,,,,,,
2020,2035,M,100-104,-120,,,,,,
2020,2035,M,105-109,-7,,,,,,
2020,2035,M,110-114,0,,,,,,
2020,2035,M,115-119,0,,,,,,
2020,2035,M,120+,0,,,,,,
2020,2040,M,0-4,-19278,,,,,,
2020,2040,M,5-9,-20469,,,,,,
2020,2040,M,10-14,-21714,,,,,,
2020,2040,M,15-19,-23001,,,,,,
2020,2040,M,20-24,-24322,,,,,,
2020,2040,M,25-29,-25331,,,,,,
2020,2040,M,30-34,-28056,,,,,,
2020,2040,M,35-39,-28489,,,,,,
2020,2040,M,40-44,-33090,,,,,,
2020,2040,M,45-49,-33726,,,,,,
2020,2040,M,50-54,-35477,,,,,,
2020,2040,M,55-59,-37914,,,,,,
2020,2040,M,60-64,-36362,,,,,,
2020,2040,M,65-69,-32899,,,,,,
2020,2040,M,70-74,-28496,,,,,,
2020,2040,M,75-79,-26010,,,,,,
2020,2040,M,80-84,-19738,,,,,,
2020,2040,M,85-89,-12124,,,,,,
2020,2040,M,90-94,-4596,,,,,,
2020,2040,M,95-99,-909,,,,,,
2020,2040,M,100-104,-204,,,,,,
2020,2040,M,105-109,-14,,,,,,
2020,2040,M,110-114,0,,,,,,
2020,2040,M,115-119,0,,,,,,
2020,2040,M,120+,0,,,,,,
2020,2045,M,0-4,-18275,,,,,,
2020,2045,M,5-9,-19325,,,,,,
2020,2045,M,10-14,-20489,,,,,,
2020,2045,M,15-19,-21704,,,,,,
2020,2045,M,20-24,-22980,,,,,,
2020,2045,M,25-29,-24417,,,,,,
2020,2045,M,30-34,-25466,,,,,,
2020,2045,M,35-39,-28129,,,,,,
2020,2045,M,40-44,-28465,,,,,,
2020,2045,M,45-49,-32819,,,,,,
2020,2045,M,50-54,-33195,,,,,,
2020,2045,M,55-59,-34517,,,,,,
2020,2045,M,60-64,-36253,,,,,,
2020,2045,M,65-69,-33984,,,,,,
2020,2045,M,70-74,-29674,,,,,,
2020,2045,M,75-79,-23985,,,,,,
2020,2045,M,80-84,-19658,,,,,,
2020,2045,M,85-89,-12691,,,,,,
2020,2045,M,90-94,-6152,,,,,,
2020,2045,M,95-99,-1676,,,,,,
2020,2045,M,100-104,-205,,,,,,
2020,2045,M,105-109,-25,,,,,,
2020,2045,M,110-114,-1,,,,,,
2020,2045,M,115-119,0,,,,,,
2020,2045,M,120+,0,,,,,,
2020,2050,M,0-4,-17362,,,,,,
2020,2050,M,5-9,-18324,,,,,,
2020,2050,M,10-14,-19348,,,,,,
2020,2050,M,15-19,-20486,,,,,,
2020,2050,M,20-24,-21702,,,,,,
2020,2050,M,25-29,-23088,,,,,,
2020,2050,M,30-34,-24557,,,,,,
2020,2050,M,35-39,-25570,,,,,,
2020,2050,M,40-44,-28111,,,,,,
2020,2050,M,45-49,-28303,,,,,,
2020,2050,M,50-54,-32331,,,,,,
2020,2050,M,55-59,-32387,,,,,,
2020,2050,M,60-64,-33135,,,,,,
2020,2050,M,65-69,-34039,,,,,,
2020,2050,M,70-74,-30853,,,,,,
2020,2050,M,75-79,-25311,,,,,,
2020,2050,M,80-84,-18475,,,,,,
2020,2050,M,85-89,-13012,,,,,,
2020,2050,M,90-94,-6712,,,,,,
2020,2050,M,95-99,-2369,,,,,,
2020,2050,M,100-104,-412,,,,,,
2020,2050,M,105-109,-27,,,,,,
2020,2050,M,110-114,-1,,,,,,
2020,2050,M,115-119,0,,,,,,
2020,2050,M,120+,0,,,,,,
2020,2055,M,0-4,-16594,,,,,,
2020,2055,M,5-9,-17412,,,,,,
2020,2055,M,10-14,-18349,,,,,,
2020,2055,M,15-19,-19349,,,,,,
2020,2055,M,20-24,-20495,,,,,,
2020,2055,M,25-29,-21817,,,,,,
2020,2055,M,30-34,-23233,,,,,,
2020,2055,M,35-39,-24664,,,,,,
2020,2055,M,40-44,-25586,,,,,,
2020,2055,M,45-49,-27959,,,,,,
2020,2055,M,50-54,-27957,,,,,,
2020,2055,M,55-59,-31581,,,,,,
2020,2055,M,60-64,-31201,,,,,,
2020,2055,M,65-69,-31266,,,,,,
2020,2055,M,70-74,-31099,,,,,,
2020,2055,M,75-79,-26572,,,,,,
2020,2055,M,80-84,-19861,,,,,,
2020,2055,M,85-89,-12541,,,,,,
2020,2055,M,90-94,-7138,,,,,,
2020,2055,M,95-99,-2711,,,,,,
2020,2055,M,100-104,-615,,,,,,
2020,2055,M,105-109,-58,,,,,,
2020,2055,M,110-114,-2,,,,,,
2020,2055,M,115-119,0,,,,,,
2020,2055,M,120+,0,,,,,,
2020,2060,M,0-4,-15872,,,,,,
2020,2060,M,5-9,-16643,,,,,,
2020,2060,M,10-14,-17436,,,,,,
2020,2060,M,15-19,-18352,,,,,,
2020,2060,M,20-24,-19367,,,,,,
2020,2060,M,25-29,-20614,,,,,,
2020,2060,M,30-34,-21965,,,,,,
2020,2060,M,35-39,-23345,,,,,,
2020,2060,M,40-44,-24686,,,,,,
2020,2060,M,45-49,-25478,,,,,,
2020,2060,M,50-54,-27634,,,,,,
2020,2060,M,55-59,-27394,,,,,,
2020,2060,M,60-64,-30474,,,,,,
2020,2060,M,65-69,-29571,,,,,,
2020,2060,M,70-74,-28731,,,,,,
2020,2060,M,75-79,-27024,,,,,,
2020,2060,M,80-84,-21120,,,,,,
2020,2060,M,85-89,-13811,,,,,,
2020,2060,M,90-94,-7089,,,,,,
2020,2060,M,95-99,-3001,,,,,,
2020,2060,M,100-104,-736,,,,,,
2020,2060,M,105-109,-90,,,,,,
2020,2060,M,110-114,-4,,,,,,
2020,2060,M,115-119,0,,,,,,
2020,2060,M,120+,0,,,,,,
2020,2065,M,0-4,-15135,,,,,,
2020,2065,M,5-9,-15919,,,,,,
2020,2065,M,10-14,-16667,,,,,,
2020,2065,M,15-19,-17442,,,,,,
2020,2065,M,20-24,-18376,,,,,,
2020,2065,M,25-29,-19488,,,,,,
2020,2065,M,30-34,-20764,,,,,,
2020,2065,M,35-39,-22081,,,,,,
2020,2065,M,40-44,-23377,,,,,,
2020,2065,M,45-49,-24595,,,,,,
2020,2065,M,50-54,-25217,,,,,,
2020,2065,M,55-59,-27108,,,,,,
2020,2065,M,60-64,-26539,,,,,,
2020,2065,M,65-69,-28950,,,,,,
2020,2065,M,70-74,-27332,,,,,,
2020,2065,M,75-79,-25168,,,,,,
2020,2065,M,80-84,-21763,,,,,,
2020,2065,M,85-89,-14962,,,,,,
2020,2065,M,90-94,-8069,,,,,,
2020,2065,M,95-99,-3089,,,,,,
2020,2065,M,100-104,-851,,,,,,
2020,2065,M,105-109,-113,,,,,,
2020,2065,M,110-114,-6,,,,,,
2020,2065,M,115-119,0,,,,,,
2020,2065,M,120+,0,,,,,,
2020,2070,M,0-4,-14426,,,,,,
2020,2070,M,5-9,-15179,,,,,,
2020,2070,M,10-14,-15942,,,,,,
2020,2070,M,15-19,-16672,,,,,,
2020,2070,M,20-24,-17467,,,,,,
2020,2070,M,25-29,-18495,,,,,,
2020,2070,M,30-34,-19635,,,,,,
2020,2070,M,35-39,-20879,,,,,,
2020,2070,M,40-44,-22119,,,,,,
2020,2070,M,45-49,-23302,,,,,,
2020,2070,M,50-54,-24359,,,,,,
2020,2070,M,55-59,-24777,,,,,,
2020,2070,M,60-64,-26305,,,,,,
2020,2070,M,65-69,-25338,,,,,,
2020,2070,M,70-74,-26853,,,,,,
2020,2070,M,75-79,-24152,,,,,,
2020,2070,M,80-84,-20512,,,,,,
2020,2070,M,85-89,-15713,,,,,,
2020,2070,M,90-94,-8968,,,,,,
2020,2070,M,95-99,-3665,,,,,,
2020,2070,M,100-104,-908,,,,,,
2020,2070,M,105-109,-135,,,,,,
2020,2070,M,110-114,-7,,,,,,
2020,2070,M,115-119,0,,,,,,
2020,2070,M,120+,0,,,,,,
2020,2020,F,0-4,22554,,,,,,
2020,2020,F,5-9,23908,,,,,,
2020,2020,F,10-14,26790,,,,,,
2020,2020,F,15-19,26658,,,,,,
2020,2020,F,20-24,31608,,,,,,
2020,2020,F,25-29,31522,,,,,,
2020,2020,F,30-34,35324,,,,,,
2020,2020,F,35-39,39103,,,,,,
2020,2020,F,40-44,39688,,,,,,
2020,2020,F,45-49,37930,,,,,,
2020,2020,F,50-54,37854,,,,,,
2020,2020,F,55-59,43433,,,,,,
2020,2020,F,60-64,45900,,,,,,
2020,2020,F,65-69,45311,,,,,,
2020,2020,F,70-74,36585,,,,,,
2020,2020,F,75-79,22525,,,,,,
2020,2020,F,80-84,21295,,,,,,
2020,2020,F,85-89,9712,,,,,,
2020,2020,F,90-94,2535,,,,,,
2020,2020,F,95-99,300,,,,,,
2020,2020,F,100-104,42,,,,,,
2020,2020,F,105-109,3,,,,,,
2020,2020,F,110-114,0,,,,,,
2020,2020,F,115-119,0,,,,,,
2020,2020,F,120+,0,,,,,,
2020,2025,F,0-4,21657,,,,,,
2020,2025,F,5-9,22578,,,,,,
2020,2025,F,10-14,23907,,,,,,
2020,2025,F,15-19,26749,,,,,,
2020,2025,F,20-24,26636,,,,,,
2020,2025,F,25-29,31488,,,,,,
2020,2025,F,30-34,31494,,,,,,
2020,2025,F,35-39,35337,,,,,,
2020,2025,F,40-44,38997,,,,,,
2020,2025,F,45-49,39448,,,,,,
2020,2025,F,50-54,37551,,,,,,
2020,2025,F,55-59,37253,,,,,,
2020,2025,F,60-64,42376,,,,,,
2020,2025,F,65-69,44092,,,,,,
2020,2025,F,70-74,42019,,,,,,
