Year,UNIT_MEASURE,SEX,AGE,Value
2013,NUMBER,_T,_T,1170342
2013,NUMBER,_T,0,10089
2013,NUMBER,_T,1,10442
2013,NUMBER,_T,2,10534
2013,NUMBER,_T,3,11066
2013,NUMBER,_T,4,11274
2013,NUMBER,_T,5,11077
2013,NUMBER,_T,6,10671
2013,NUMBER,_T,7,10633
2013,NUMBER,_T,8,10851
2013,NUMBER,_T,9,10844
2013,NUMBER,_T,10,10926
2013,NUMBER,_T,11,11066
2013,NUMBER,_T,12,11776
2013,NUMBER,_T,13,11732
2013,NUMBER,_T,14,11826
2013,NUMBER,_T,15,13345
2013,NUMBER,_T,16,14990
2013,NUMBER,_T,17,14239
2013,NUMBER,_T,18,14376
2013,NUMBER,_T,19,13865
2013,NUMBER,_T,20,11430
2013,NUMBER,_T,21,12311
2013,NUMBER,_T,22,13731
2013,NUMBER,_T,23,13757
2013,NUMBER,_T,24,14134
2013,NUMBER,_T,25,14918
2013,NUMBER,_T,26,14929
2013,NUMBER,_T,27,15102
2013,NUMBER,_T,28,15505
2013,NUMBER,_T,29,16299
2013,NUMBER,_T,30,16049
2013,NUMBER,_T,31,16274
2013,NUMBER,_T,32,16078
2013,NUMBER,_T,33,16134
2013,NUMBER,_T,34,15937
2013,NUMBER,_T,35,16090
2013,NUMBER,_T,36,16223
2013,NUMBER,_T,37,16713
2013,NUMBER,_T,38,16000
2013,NUMBER,_T,39,15562
2013,NUMBER,_T,40,15478
2013,NUMBER,_T,41,15702
2013,NUMBER,_T,42,15096
2013,NUMBER,_T,43,14324
2013,NUMBER,_T,44,15083
2013,NUMBER,_T,45,15473
2013,NUMBER,_T,46,16484
2013,NUMBER,_T,47,16760
2013,NUMBER,_T,48,17206
2013,NUMBER,_T,49,16887
2013,NUMBER,_T,50,17318
2013,NUMBER,_T,51,18447
2013,NUMBER,_T,52,18388
2013,NUMBER,_T,53,18473
2013,NUMBER,_T,54,19374
2013,NUMBER,_T,55,18079
2013,NUMBER,_T,56,17697
2013,NUMBER,_T,57,18915
2013,NUMBER,_T,58,19477
2013,NUMBER,_T,59,19290
2013,NUMBER,_T,60,19555
2013,NUMBER,_T,61,18341
2013,NUMBER,_T,62,16472
2013,NUMBER,_T,63,16560
2013,NUMBER,_T,64,16276
2013,NUMBER,_T,65,14108
2013,NUMBER,_T,66,14936
2013,NUMBER,_T,67,11677
2013,NUMBER,_T,68,9659
2013,NUMBER,_T,69,9693
2013,NUMBER,_T,70,9614
2013,NUMBER,_T,71,10112
2013,NUMBER,_T,72,11718
2013,NUMBER,_T,73,12226
2013,NUMBER,_T,74,11478
2013,NUMBER,_T,75,11208
2013,NUMBER,_T,76,10446
2013,NUMBER,_T,77,9853
2013,NUMBER,_T,78,8546
2013,NUMBER,_T,79,7984
2013,NUMBER,_T,80,6632
2013,NUMBER,_T,81,5944
2013,NUMBER,_T,82,4871
2013,NUMBER,_T,83,4589
2013,NUMBER,_T,84,3530
2013,NUMBER,_T,85+,11565
2013,NUMBER,M,_T,571812
2013,NUMBER,M,0,5148
2013,NUMBER,M,1,5271
2013,NUMBER,M,2,5457
2013,NUMBER,M,3,5629
2013,NUMBER,M,4,5888
2013,NUMBER,M,5,5718
2013,NUMBER,M,6,5394
2013,NUMBER,M,7,5416
2013,NUMBER,M,8,5603
2013,NUMBER,M,9,5585
2013,NUMBER,M,10,5626
2013,NUMBER,M,11,5697
2013,NUMBER,M,12,6082
2013,NUMBER,M,13,6005
2013,NUMBER,M,14,6001
2013,NUMBER,M,15,6951
2013,NUMBER,M,16,7691
2013,NUMBER,M,17,7238
2013,NUMBER,M,18,7415
2013,NUMBER,M,19,7282
2013,NUMBER,M,20,5999
2013,NUMBER,M,21,6376
2013,NUMBER,M,22,7188
2013,NUMBER,M,23,7149
2013,NUMBER,M,24,7181
2013,NUMBER,M,25,7641
2013,NUMBER,M,26,7634
2013,NUMBER,M,27,7545
2013,NUMBER,M,28,8041
2013,NUMBER,M,29,8298
2013,NUMBER,M,30,8199
2013,NUMBER,M,31,8267
2013,NUMBER,M,32,8135
2013,NUMBER,M,33,8142
2013,NUMBER,M,34,8066
2013,NUMBER,M,35,8252
2013,NUMBER,M,36,8277
2013,NUMBER,M,37,8552
2013,NUMBER,M,38,8170
2013,NUMBER,M,39,8013
2013,NUMBER,M,40,7953
2013,NUMBER,M,41,8076
2013,NUMBER,M,42,7727
2013,NUMBER,M,43,7255
2013,NUMBER,M,44,7693
2013,NUMBER,M,45,7769
2013,NUMBER,M,46,8322
2013,NUMBER,M,47,8431
2013,NUMBER,M,48,8556
2013,NUMBER,M,49,8344
2013,NUMBER,M,50,8520
2013,NUMBER,M,51,9091
2013,NUMBER,M,52,9073
2013,NUMBER,M,53,9097
2013,NUMBER,M,54,9378
2013,NUMBER,M,55,8724
2013,NUMBER,M,56,8549
2013,NUMBER,M,57,9164
2013,NUMBER,M,58,9466
2013,NUMBER,M,59,9386
2013,NUMBER,M,60,9391
2013,NUMBER,M,61,8731
2013,NUMBER,M,62,7858
2013,NUMBER,M,63,7787
2013,NUMBER,M,64,7653
2013,NUMBER,M,65,6470
