Year,UNIT_MEASURE,ADMIN_AREA,SEX,Nationality,Value
2013,NUMBER,REPUBLIKA SRPSKA,_T,_T,1170342
2013,NUMBER,REPUBLIKA SRPSKA,M,_T,571812
2013,NUMBER,REPUBLIKA SRPSKA,F,_T,598530
2013,NUMBER,BANJA LUKA,_T,_T,180053
2013,NUMBER,BANJA LUKA,M,_T,86510
2013,NUMBER,BANJA LUKA,F,_T,93543
2013,NUMBER,BERKOVICI,_T,_T,2041
2013,NUMBER,BERKOVICI,M,_T,1032
2013,NUMBER,BERKOVICI,F,_T,1009
2013,NUMBER,BIJELJINA,_T,_T,103874
2013,NUMBER,BIJELJINA,M,_T,50760
2013,NUMBER,BIJELJINA,F,_T,53114
2013,NUMBER,BILECA,_T,_T,10607
2013,NUMBER,BILECA,M,_T,5346
2013,NUMBER,BILECA,F,_T,5261
2013,NUMBER,BRATUNAC,_T,_T,18651
2013,NUMBER,BRATUNAC,M,_T,9210
2013,NUMBER,BRATUNAC,F,_T,9441
2013,NUMBER,BROD,_T,_T,15720
2013,NUMBER,BROD,M,_T,7670
2013,NUMBER,BROD,F,_T,8050
2013,NUMBER,VISEGRAD,_T,_T,10118
2013,NUMBER,VISEGRAD,M,_T,4834
2013,NUMBER,VISEGRAD,F,_T,5284
2013,NUMBER,VLASENICA,_T,_T,10657
2013,NUMBER,VLASENICA,M,_T,5193
2013,NUMBER,VLASENICA,F,_T,5464
2013,NUMBER,VUKOSAVLJE,_T,_T,4363
2013,NUMBER,VUKOSAVLJE,M,_T,2185
2013,NUMBER,VUKOSAVLJE,F,_T,2178
2013,NUMBER,GACKO,_T,_T,8710
2013,NUMBER,GACKO,M,_T,4423
2013,NUMBER,GACKO,F,_T,4287
2013,NUMBER,GRADISKA,_T,_T,49196
2013,NUMBER,GRADISKA,M,_T,23944
2013,NUMBER,GRADISKA,F,_T,25252
2013,NUMBER,DERVENTA,_T,_T,25922
2013,NUMBER,DERVENTA,M,_T,12629
2013,NUMBER,DERVENTA,F,_T,13293
2013,NUMBER,DOBOJ,_T,_T,68514
2013,NUMBER,DOBOJ,M,_T,33222
2013,NUMBER,DOBOJ,F,_T,35292
2013,NUMBER,DONJI ZABAR,_T,_T,3669
2013,NUMBER,DONJI ZABAR,M,_T,1853
2013,NUMBER,DONJI ZABAR,F,_T,1816
2013,NUMBER,ZVORNIK,_T,_T,54407
2013,NUMBER,ZVORNIK,M,_T,26803
2013,NUMBER,ZVORNIK,F,_T,27604
2013,NUMBER,ISTOCNA ILIDZA,_T,_T,14437
2013,NUMBER,ISTOCNA ILIDZA,M,_T,6905
2013,NUMBER,ISTOCNA ILIDZA,F,_T,7532
2013,NUMBER,ISTOCNI DRVAR,_T,_T,66
2013,NUMBER,ISTOCNI DRVAR,M,_T,44
2013,NUMBER,ISTOCNI DRVAR,F,_T,22
2013,NUMBER,ISTOCNI MOSTAR,_T,_T,244
2013,NUMBER,ISTOCNI MOSTAR,M,_T,138
2013,NUMBER,ISTOCNI MOSTAR,F,_T,106
2013,NUMBER,ISTOCNI STARI GRAD,_T,_T,1116
2013,NUMBER,ISTOCNI STARI GRAD,M,_T,552
2013,NUMBER,ISTOCNI STARI GRAD,F,_T,564
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,_T,10401
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,_T,4936
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,_T,5465
2013,NUMBER,JEZERO,_T,_T,1039
2013,NUMBER,JEZERO,M,_T,534
2013,NUMBER,JEZERO,F,_T,505
2013,NUMBER,KALINOVIK,_T,_T,1962
2013,NUMBER,KALINOVIK,M,_T,950
2013,NUMBER,KALINOVIK,F,_T,1012
2013,NUMBER,KNEZEVO,_T,_T,9368
2013,NUMBER,KNEZEVO,M,_T,4632
2013,NUMBER,KNEZEVO,F,_T,4736
2013,NUMBER,KOZARSKA DUBICA,_T,_T,20681
2013,NUMBER,KOZARSKA DUBICA,M,_T,10094
2013,NUMBER,KOZARSKA DUBICA,F,_T,10587
2013,NUMBER,KOSTAJNICA,_T,_T,5645
2013,NUMBER,KOSTAJNICA,M,_T,2780
2013,NUMBER,KOSTAJNICA,F,_T,2865
2013,NUMBER,KOTOR VAROS,_T,_T,18361
2013,NUMBER,KOTOR VAROS,M,_T,9007
2013,NUMBER,KOTOR VAROS,F,_T,9354
2013,NUMBER,KRUPA NA UNI,_T,_T,1560
2013,NUMBER,KRUPA NA UNI,M,_T,841
2013,NUMBER,KRUPA NA UNI,F,_T,719
2013,NUMBER,KUPRES,_T,_T,293
2013,NUMBER,KUPRES,M,_T,157
2013,NUMBER,KUPRES,F,_T,136
2013,NUMBER,LAKTASI,_T,_T,34210
2013,NUMBER,LAKTASI,M,_T,16905
2013,NUMBER,LAKTASI,F,_T,17305
2013,NUMBER,LOPARE,_T,_T,14689
2013,NUMBER,LOPARE,M,_T,7377
2013,NUMBER,LOPARE,F,_T,7312
2013,NUMBER,LJUBINJE,_T,_T,3319
2013,NUMBER,LJUBINJE,M,_T,1633
2013,NUMBER,LJUBINJE,F,_T,1686
2013,NUMBER,MILICI,_T,_T,10445
2013,NUMBER,MILICI,M,_T,5252
2013,NUMBER,MILICI,F,_T,5193
2013,NUMBER,MODRICA,_T,_T,24490
2013,NUMBER,MODRICA,M,_T,11969
2013,NUMBER,MODRICA,F,_T,12521
2013,NUMBER,MRKONJIC GRAD,_T,_T,15926
2013,NUMBER,MRKONJIC GRAD,M,_T,7660
2013,NUMBER,MRKONJIC GRAD,F,_T,8266
2013,NUMBER,NEVESINJE,_T,_T,12542
2013,NUMBER,NEVESINJE,M,_T,6236
2013,NUMBER,NEVESINJE,F,_T,6306
2013,NUMBER,NOVI GRAD,_T,_T,25240
2013,NUMBER,NOVI GRAD,M,_T,12580
2013,NUMBER,NOVI GRAD,F,_T,12660
2013,NUMBER,NOVO GORAZDE,_T,_T,2915
2013,NUMBER,NOVO GORAZDE,M,_T,1500
2013,NUMBER,NOVO GORAZDE,F,_T,1415
2013,NUMBER,OSMACI,_T,_T,5546
2013,NUMBER,OSMACI,M,_T,2779
2013,NUMBER,OSMACI,F,_T,2767
2013,NUMBER,OSTRA LUKA,_T,_T,2705
2013,NUMBER,OSTRA LUKA,M,_T,1386
2013,NUMBER,OSTRA LUKA,F,_T,1319
2013,NUMBER,PALE,_T,_T,20359
2013,NUMBER,PALE,M,_T,9744
2013,NUMBER,PALE,F,_T,10615
2013,NUMBER,PELAGICEVO,_T,_T,4358
2013,NUMBER,PELAGICEVO,M,_T,2151
2013,NUMBER,PELAGICEVO,F,_T,2207
2013,NUMBER,PETROVAC,_T,_T,354
2013,NUMBER,PETROVAC,M,_T,169
