Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,republika_srpska,_T,408825
2013,NUMBER,grad_banja_luka,_T,65010
2013,NUMBER,berkovici,_T,636
2013,NUMBER,grad_bijeljina,_T,34309
2013,NUMBER,bileca,_T,3307
2013,NUMBER,bratunac,_T,5945
2013,NUMBER,brod,_T,5599
2013,NUMBER,visegrad,_T,3966
2013,NUMBER,vlasenica,_T,3712
2013,NUMBER,vukosavlje,_T,1537
2013,NUMBER,gacko,_T,2766
2013,NUMBER,grad_gradiska,_T,16939
2013,NUMBER,grad_derventa,_T,9345
2013,NUMBER,grad_doboj,_T,25447
2013,NUMBER,donji_zabar,_T,1191
2013,NUMBER,grad_zvornik,_T,17690
2013,NUMBER,istocna_ilidza,_T,4981
2013,NUMBER,istocni_drvar,_T,38
2013,NUMBER,istocni_mostar,_T,83
2013,NUMBER,istocni_stari_grad,_T,438
2013,NUMBER,istocno_novo_sarajevo,_T,3819
2013,NUMBER,jezero,_T,365
2013,NUMBER,kalinovik,_T,783
2013,NUMBER,knezevo,_T,3168
2013,NUMBER,kozarska_dubica,_T,7492
2013,NUMBER,kostajnica,_T,1896
2013,NUMBER,kotor_varos,_T,5863
2013,NUMBER,krupa_na_uni,_T,543
2013,NUMBER,kupres,_T,128
2013,NUMBER,laktasi,_T,11293
2013,NUMBER,lopare,_T,5081
2013,NUMBER,ljubinje,_T,1077
2013,NUMBER,milici,_T,3579
2013,NUMBER,modrica,_T,8553
2013,NUMBER,mrkonjic_grad,_T,6104
2013,NUMBER,nevesinje,_T,3985
2013,NUMBER,novi_grad,_T,8792
2013,NUMBER,novo_gorazde,_T,1078
2013,NUMBER,osmaci,_T,1675
2013,NUMBER,ostra_luka,_T,971
2013,NUMBER,pale,_T,7158
2013,NUMBER,pelagicevo,_T,1787
2013,NUMBER,petrovac,_T,130
2013,NUMBER,petrovo,_T,2532
2013,NUMBER,grad_prijedor,_T,27961
2013,NUMBER,prnjavor,_T,12166
2013,NUMBER,ribnik,_T,2252
2013,NUMBER,rogatica,_T,3871
2013,NUMBER,rudo,_T,2847
2013,NUMBER,sokolac,_T,4276
2013,NUMBER,srbac,_T,6157
2013,NUMBER,srebrenica,_T,3792
2013,NUMBER,teslic,_T,13255
2013,NUMBER,grad_trebinje,_T,9394
2013,NUMBER,trnovo,_T,800
2013,NUMBER,ugljevik,_T,4867
2013,NUMBER,foca,_T,6544
2013,NUMBER,han_pijesak,_T,1390
2013,NUMBER,cajnice,_T,1662
2013,NUMBER,celinac,_T,5009
2013,NUMBER,samac,_T,5609
2013,NUMBER,sekovici,_T,2517
2013,NUMBER,sipovo,_T,3665
2013,NUMBER,republika_srpska,1_member,91300
2013,NUMBER,grad_banja_luka,1_member,13984
2013,NUMBER,berkovici,1_member,129
2013,NUMBER,grad_bijeljina,1_member,6984
2013,NUMBER,bileca,1_member,629
2013,NUMBER,bratunac,1_member,1155
2013,NUMBER,brod,1_member,1360
2013,NUMBER,visegrad,1_member,1132
2013,NUMBER,vlasenica,1_member,768
2013,NUMBER,vukosavlje,1_member,348
2013,NUMBER,gacko,1_member,522
2013,NUMBER,grad_gradiska,1_member,3782
2013,NUMBER,grad_derventa,1_member,2270
2013,NUMBER,grad_doboj,1_member,6230
2013,NUMBER,donji_zabar,1_member,271
2013,NUMBER,grad_zvornik,1_member,3323
2013,NUMBER,istocna_ilidza,1_member,949
2013,NUMBER,istocni_drvar,1_member,24
2013,NUMBER,istocni_mostar,1_member,29
2013,NUMBER,istocni_stari_grad,1_member,123
2013,NUMBER,istocno_novo_sarajevo,1_member,904
2013,NUMBER,jezero,1_member,86
2013,NUMBER,kalinovik,1_member,245
2013,NUMBER,knezevo,1_member,611
2013,NUMBER,kozarska_dubica,1_member,1898
2013,NUMBER,kostajnica,1_member,384
2013,NUMBER,kotor_varos,1_member,1089
2013,NUMBER,krupa_na_uni,1_member,159
2013,NUMBER,kupres,1_member,44
2013,NUMBER,laktasi,1_member,2093
2013,NUMBER,lopare,1_member,1256
2013,NUMBER,ljubinje,1_member,196
2013,NUMBER,milici,1_member,789
2013,NUMBER,modrica,1_member,1983
2013,NUMBER,mrkonjic_grad,1_member,1538
2013,NUMBER,nevesinje,1_member,766
2013,NUMBER,novi_grad,1_member,1965
2013,NUMBER,novo_gorazde,1_member,270
2013,NUMBER,osmaci,1_member,254
2013,NUMBER,ostra_luka,1_member,277
2013,NUMBER,pale,1_member,1515
2013,NUMBER,pelagicevo,1_member,640
2013,NUMBER,petrovac,1_member,34
2013,NUMBER,petrovo,1_member,726
2013,NUMBER,grad_prijedor,1_member,6423
2013,NUMBER,prnjavor,1_member,2943
2013,NUMBER,ribnik,1_member,642
2013,NUMBER,rogatica,1_member,986
2013,NUMBER,rudo,1_member,696
2013,NUMBER,sokolac,1_member,1022
2013,NUMBER,srbac,1_member,1507
2013,NUMBER,srebrenica,1_member,874
2013,NUMBER,teslic,1_member,3060
2013,NUMBER,grad_trebinje,1_member,1848
2013,NUMBER,trnovo,1_member,223
2013,NUMBER,ugljevik,1_member,1019
2013,NUMBER,foca,1_member,1635
2013,NUMBER,han_pijesak,1_member,389
2013,NUMBER,cajnice,1_member,395
2013,NUMBER,celinac,1_member,951
2013,NUMBER,samac,1_member,1406
2013,NUMBER,sekovici,1_member,708
2013,NUMBER,sipovo,1_member,839
2013,NUMBER,republika_srpska,2_members,107130
2013,NUMBER,grad_banja_luka,2_members,17243
2013,NUMBER,berkovici,2_members,166
2013,NUMBER,grad_bijeljina,2_members,8272
2013,NUMBER,bileca,2_members,719
2013,NUMBER,bratunac,2_members,1345
2013,NUMBER,brod,2_members,1439
2013,NUMBER,visegrad,2_members,1172
2013,NUMBER,vlasenica,2_members,1001
2013,NUMBER,vukosavlje,2_members,425
2013,NUMBER,gacko,2_members,622
2013,NUMBER,grad_gradiska,2_members,4438
2013,NUMBER,grad_derventa,2_members,2598
2013,NUMBER,grad_doboj,2_members,7242
2013,NUMBER,donji_zabar,2_members,290
2013,NUMBER,grad_zvornik,2_members,4288
2013,NUMBER,istocna_ilidza,2_members,1316
2013,NUMBER,istocni_drvar,2_members,7
2013,NUMBER,istocni_mostar,2_members,15
2013,NUMBER,istocni_stari_grad,2_members,146
2013,NUMBER,istocno_novo_sarajevo,2_members,1011
2013,NUMBER,jezero,2_members,89
2013,NUMBER,kalinovik,2_members,213
2013,NUMBER,knezevo,2_members,937
2013,NUMBER,kozarska_dubica,2_members,2021
2013,NUMBER,kostajnica,2_members,477
2013,NUMBER,kotor_varos,2_members,1358
2013,NUMBER,krupa_na_uni,2_members,128
2013,NUMBER,kupres,2_members,48
2013,NUMBER,laktasi,2_members,2768
2013,NUMBER,lopare,2_members,1261
2013,NUMBER,ljubinje,2_members,254
2013,NUMBER,milici,2_members,859
2013,NUMBER,modrica,2_members,2332
2013,NUMBER,mrkonjic_grad,2_members,1806
2013,NUMBER,nevesinje,2_members,939
2013,NUMBER,novi_grad,2_members,2390
2013,NUMBER,novo_gorazde,2_members,288
2013,NUMBER,osmaci,2_members,372
2013,NUMBER,ostra_luka,2_members,243
2013,NUMBER,pale,2_members,1890
2013,NUMBER,pelagicevo,2_members,516
2013,NUMBER,petrovac,2_members,35
2013,NUMBER,petrovo,2_members,760
2013,NUMBER,grad_prijedor,2_members,7125
2013,NUMBER,prnjavor,2_members,3253
2013,NUMBER,ribnik,2_members,673
2013,NUMBER,rogatica,2_members,1120
2013,NUMBER,rudo,2_members,851
2013,NUMBER,sokolac,2_members,1227
2013,NUMBER,srbac,2_members,1729
2013,NUMBER,srebrenica,2_members,858
2013,NUMBER,teslic,2_members,3602
2013,NUMBER,grad_trebinje,2_members,2317
2013,NUMBER,trnovo,2_members,250
2013,NUMBER,ugljevik,2_members,1118
2013,NUMBER,foca,2_members,1877
2013,NUMBER,han_pijesak,2_members,439
2013,NUMBER,cajnice,2_members,442
2013,NUMBER,celinac,2_members,1260
2013,NUMBER,samac,2_members,1408
2013,NUMBER,sekovici,2_members,783
2013,NUMBER,sipovo,2_members,1059
2013,NUMBER,republika_srpska,3_members,79155
2013,NUMBER,grad_banja_luka,3_members,14267
2013,NUMBER,berkovici,3_members,92
2013,NUMBER,grad_bijeljina,3_members,6586
2013,NUMBER,bileca,3_members,620
2013,NUMBER,bratunac,3_members,1137
2013,NUMBER,brod,3_members,1107
2013,NUMBER,visegrad,3_members,724
2013,NUMBER,vlasenica,3_members,747
2013,NUMBER,vukosavlje,3_members,280
2013,NUMBER,gacko,3_members,561
2013,NUMBER,grad_gradiska,3_members,3140
2013,NUMBER,grad_derventa,3_members,1688
2013,NUMBER,grad_doboj,3_members,4956
2013,NUMBER,donji_zabar,3_members,178
2013,NUMBER,grad_zvornik,3_members,3400
2013,NUMBER,istocna_ilidza,3_members,1075
2013,NUMBER,istocni_drvar,3_members,6
2013,NUMBER,istocni_mostar,3_members,12
2013,NUMBER,istocni_stari_grad,3_members,75
2013,NUMBER,istocno_novo_sarajevo,3_members,813
2013,NUMBER,jezero,3_members,75
2013,NUMBER,kalinovik,3_members,136
2013,NUMBER,knezevo,3_members,554
2013,NUMBER,kozarska_dubica,3_members,1351
2013,NUMBER,kostajnica,3_members,384
2013,NUMBER,kotor_varos,3_members,1079
2013,NUMBER,krupa_na_uni,3_members,84
2013,NUMBER,kupres,3_members,16
2013,NUMBER,laktasi,3_members,2241
2013,NUMBER,lopare,3_members,908
2013,NUMBER,ljubinje,3_members,234
2013,NUMBER,milici,3_members,709
2013,NUMBER,modrica,3_members,1567
2013,NUMBER,mrkonjic_grad,3_members,1218
2013,NUMBER,nevesinje,3_members,701
2013,NUMBER,novi_grad,3_members,1669
2013,NUMBER,novo_gorazde,3_members,193
2013,NUMBER,osmaci,3_members,317
2013,NUMBER,ostra_luka,3_members,151
2013,NUMBER,pale,3_members,1438
2013,NUMBER,pelagicevo,3_members,225
2013,NUMBER,petrovac,3_members,22
2013,NUMBER,petrovo,3_members,448
2013,NUMBER,grad_prijedor,3_members,5351
2013,NUMBER,prnjavor,3_members,2183
2013,NUMBER,ribnik,3_members,356
2013,NUMBER,rogatica,3_members,709
2013,NUMBER,rudo,3_members,523
2013,NUMBER,sokolac,3_members,808
2013,NUMBER,srbac,3_members,1106
2013,NUMBER,srebrenica,3_members,656
2013,NUMBER,teslic,3_members,2559
2013,NUMBER,grad_trebinje,3_members,1871
2013,NUMBER,trnovo,3_members,143
2013,NUMBER,ugljevik,3_members,821
2013,NUMBER,foca,3_members,1263
2013,NUMBER,han_pijesak,3_members,249
2013,NUMBER,cajnice,3_members,303
2013,NUMBER,celinac,3_members,985
2013,NUMBER,samac,3_members,971
2013,NUMBER,sekovici,3_members,418
2013,NUMBER,sipovo,3_members,696
2013,NUMBER,republika_srpska,4_members,72771
2013,NUMBER,grad_banja_luka,4_members,12952
2013,NUMBER,berkovici,4_members,84
2013,NUMBER,grad_bijeljina,4_members,6377
2013,NUMBER,bileca,4_members,616
2013,NUMBER,bratunac,4_members,1161
2013,NUMBER,brod,4_members,928
2013,NUMBER,visegrad,4_members,582
2013,NUMBER,vlasenica,4_members,687
2013,NUMBER,vukosavlje,4_members,249
2013,NUMBER,gacko,4_members,480
2013,NUMBER,grad_gradiska,4_members,2878
2013,NUMBER,grad_derventa,4_members,1520
2013,NUMBER,grad_doboj,4_members,4148
2013,NUMBER,donji_zabar,4_members,184
2013,NUMBER,grad_zvornik,4_members,3448
2013,NUMBER,istocna_ilidza,4_members,1028
2013,NUMBER,istocni_drvar,4_members,0
2013,NUMBER,istocni_mostar,4_members,10
2013,NUMBER,istocni_stari_grad,4_members,43
2013,NUMBER,istocno_novo_sarajevo,4_members,702
2013,NUMBER,jezero,4_members,58
2013,NUMBER,kalinovik,4_members,109
2013,NUMBER,knezevo,4_members,551
2013,NUMBER,kozarska_dubica,4_members,1175
2013,NUMBER,kostajnica,4_members,311
2013,NUMBER,kotor_varos,4_members,1206
2013,NUMBER,krupa_na_uni,4_members,72
2013,NUMBER,kupres,4_members,6
2013,NUMBER,laktasi,4_members,2345
2013,NUMBER,lopare,4_members,805
2013,NUMBER,ljubinje,4_members,194
2013,NUMBER,milici,4_members,714
2013,NUMBER,modrica,4_members,1422
2013,NUMBER,mrkonjic_grad,4_members,939
2013,NUMBER,nevesinje,4_members,736
2013,NUMBER,novi_grad,4_members,1422
2013,NUMBER,novo_gorazde,4_members,204
2013,NUMBER,osmaci,4_members,358
2013,NUMBER,ostra_luka,4_members,131
2013,NUMBER,pale,4_members,1418
2013,NUMBER,pelagicevo,4_members,191
2013,NUMBER,petrovac,4_members,19
2013,NUMBER,petrovo,4_members,370
2013,NUMBER,grad_prijedor,4_members,4862
2013,NUMBER,prnjavor,4_members,1953
2013,NUMBER,ribnik,4_members,308
2013,NUMBER,rogatica,4_members,630
2013,NUMBER,rudo,4_members,467
2013,NUMBER,sokolac,4_members,728
2013,NUMBER,srbac,4_members,1011
2013,NUMBER,srebrenica,4_members,652
2013,NUMBER,teslic,4_members,2147
2013,NUMBER,grad_trebinje,4_members,1765
2013,NUMBER,trnovo,4_members,110
2013,NUMBER,ugljevik,4_members,932
2013,NUMBER,foca,4_members,1115
2013,NUMBER,han_pijesak,4_members,194
2013,NUMBER,cajnice,4_members,278
2013,NUMBER,celinac,4_members,964
2013,NUMBER,samac,4_members,823
2013,NUMBER,sekovici,4_members,379
2013,NUMBER,sipovo,4_members,620
2013,NUMBER,republika_srpska,5+_members,58469
2013,NUMBER,grad_banja_luka,5+_members,6564
2013,NUMBER,berkovici,5+_members,165
2013,NUMBER,grad_bijeljina,5+_members,6090
2013,NUMBER,bileca,5+_members,723
2013,NUMBER,bratunac,5+_members,1147
2013,NUMBER,brod,5+_members,765
2013,NUMBER,visegrad,5+_members,356
2013,NUMBER,vlasenica,5+_members,509
2013,NUMBER,vukosavlje,5+_members,235
2013,NUMBER,gacko,5+_members,581
2013,NUMBER,grad_gradiska,5+_members,2701
2013,NUMBER,grad_derventa,5+_members,1269
2013,NUMBER,grad_doboj,5+_members,2871
2013,NUMBER,donji_zabar,5+_members,268
2013,NUMBER,grad_zvornik,5+_members,3231
