Year,UNIT_MEASURE,ADMIN_AREA,agricultural_households_number,Value
2013,NUMBER,republika_srpska,_T,408825
2013,NUMBER,grad_banja_luka,_T,65010
2013,NUMBER,berkovici,_T,636
2013,NUMBER,grad_bijeljina,_T,34309
2013,NUMBER,bileca,_T,3307
2013,NUMBER,bratunac,_T,5945
2013,NUMBER,brod,_T,5599
2013,NUMBER,visegrad,_T,3966
2013,NUMBER,vlasenica,_T,3712
2013,NUMBER,vukosavlje,_T,1537
2013,NUMBER,gacko,_T,2766
2013,NUMBER,grad_gradiska,_T,16939
2013,NUMBER,grad_derventa,_T,9345
2013,NUMBER,grad_doboj,_T,25447
2013,NUMBER,donji_zabar,_T,1191
2013,NUMBER,grad_zvornik,_T,17690
2013,NUMBER,istocna_ilidza,_T,4981
2013,NUMBER,istocni_drvar,_T,38
2013,NUMBER,istocni_mostar,_T,83
2013,NUMBER,istocni_stari_grad,_T,438
2013,NUMBER,istocno_novo_sarajevo,_T,3819
2013,NUMBER,jezero,_T,365
2013,NUMBER,kalinovik,_T,783
2013,NUMBER,knezevo,_T,3168
2013,NUMBER,kozarska_dubica,_T,7492
2013,NUMBER,kostajnica,_T,1896
2013,NUMBER,kotor_varos,_T,5863
2013,NUMBER,krupa_na_uni,_T,543
2013,NUMBER,kupres,_T,128
2013,NUMBER,laktasi,_T,11293
2013,NUMBER,lopare,_T,5081
2013,NUMBER,ljubinje,_T,1077
2013,NUMBER,milici,_T,3579
2013,NUMBER,modrica,_T,8553
2013,NUMBER,mrkonjic_grad,_T,6104
2013,NUMBER,nevesinje,_T,3985
2013,NUMBER,novi_grad,_T,8792
2013,NUMBER,novo_gorazde,_T,1078
2013,NUMBER,osmaci,_T,1675
2013,NUMBER,ostra_luka,_T,971
2013,NUMBER,pale,_T,7158
2013,NUMBER,pelagicevo,_T,1787
2013,NUMBER,petrovac,_T,130
2013,NUMBER,petrovo,_T,2532
2013,NUMBER,grad_prijedor,_T,27961
2013,NUMBER,prnjavor,_T,12166
2013,NUMBER,ribnik,_T,2252
2013,NUMBER,rogatica,_T,3871
2013,NUMBER,rudo,_T,2847
2013,NUMBER,sokolac,_T,4276
2013,NUMBER,srbac,_T,6157
2013,NUMBER,srebrenica,_T,3792
2013,NUMBER,teslic,_T,13255
2013,NUMBER,grad_trebinje,_T,9394
2013,NUMBER,trnovo,_T,800
2013,NUMBER,ugljevik,_T,4867
2013,NUMBER,foca,_T,6544
2013,NUMBER,han_pijesak,_T,1390
2013,NUMBER,cajnice,_T,1662
2013,NUMBER,celinac,_T,5009
2013,NUMBER,samac,_T,5609
2013,NUMBER,sekovici,_T,2517
2013,NUMBER,sipovo,_T,3665
2013,NUMBER,republika_srpska,agricultural_households,140960
2013,NUMBER,grad_banja_luka,agricultural_households,8832
2013,NUMBER,berkovici,agricultural_households,450
2013,NUMBER,grad_bijeljina,agricultural_households,10563
2013,NUMBER,bileca,agricultural_households,1659
2013,NUMBER,bratunac,agricultural_households,3166
2013,NUMBER,brod,agricultural_households,1512
2013,NUMBER,visegrad,agricultural_households,963
2013,NUMBER,vlasenica,agricultural_households,1381
2013,NUMBER,vukosavlje,agricultural_households,532
2013,NUMBER,gacko,agricultural_households,986
2013,NUMBER,grad_gradiska,agricultural_households,6402
2013,NUMBER,grad_derventa,agricultural_households,3038
2013,NUMBER,grad_doboj,agricultural_households,9221
2013,NUMBER,donji_zabar,agricultural_households,617
2013,NUMBER,grad_zvornik,agricultural_households,7120
2013,NUMBER,istocna_ilidza,agricultural_households,1045
2013,NUMBER,istocni_drvar,agricultural_households,11
2013,NUMBER,istocni_mostar,agricultural_households,60
2013,NUMBER,istocni_stari_grad,agricultural_households,262
2013,NUMBER,istocno_novo_sarajevo,agricultural_households,505
2013,NUMBER,jezero,agricultural_households,99
2013,NUMBER,kalinovik,agricultural_households,365
2013,NUMBER,knezevo,agricultural_households,1920
2013,NUMBER,kozarska_dubica,agricultural_households,2974
2013,NUMBER,kostajnica,agricultural_households,746
2013,NUMBER,kotor_varos,agricultural_households,1826
2013,NUMBER,krupa_na_uni,agricultural_households,453
2013,NUMBER,kupres,agricultural_households,85
2013,NUMBER,laktasi,agricultural_households,3882
2013,NUMBER,lopare,agricultural_households,2416
2013,NUMBER,ljubinje,agricultural_households,598
2013,NUMBER,milici,agricultural_households,1395
2013,NUMBER,modrica,agricultural_households,2793
2013,NUMBER,mrkonjic_grad,agricultural_households,2540
2013,NUMBER,nevesinje,agricultural_households,2062
2013,NUMBER,novi_grad,agricultural_households,3770
2013,NUMBER,novo_gorazde,agricultural_households,431
2013,NUMBER,osmaci,agricultural_households,1002
2013,NUMBER,ostra_luka,agricultural_households,572
2013,NUMBER,pale,agricultural_households,1527
2013,NUMBER,pelagicevo,agricultural_households,869
2013,NUMBER,petrovac,agricultural_households,54
2013,NUMBER,petrovo,agricultural_households,1388
2013,NUMBER,grad_prijedor,agricultural_households,8920
2013,NUMBER,prnjavor,agricultural_households,6121
2013,NUMBER,ribnik,agricultural_households,1579
2013,NUMBER,rogatica,agricultural_households,1481
2013,NUMBER,rudo,agricultural_households,1466
2013,NUMBER,sokolac,agricultural_households,1586
2013,NUMBER,srbac,agricultural_households,2852
2013,NUMBER,srebrenica,agricultural_households,1905
2013,NUMBER,teslic,agricultural_households,7062
2013,NUMBER,grad_trebinje,agricultural_households,2485
2013,NUMBER,trnovo,agricultural_households,341
2013,NUMBER,ugljevik,agricultural_households,2419
2013,NUMBER,foca,agricultural_households,1965
2013,NUMBER,han_pijesak,agricultural_households,448
2013,NUMBER,cajnice,agricultural_households,884
2013,NUMBER,celinac,agricultural_households,2592
2013,NUMBER,samac,agricultural_households,2223
2013,NUMBER,sekovici,agricultural_households,890
2013,NUMBER,sipovo,agricultural_households,1649
2013,NUMBER,republika_srpska,agricultural_selling,25335
2013,NUMBER,grad_banja_luka,agricultural_selling,593
2013,NUMBER,berkovici,agricultural_selling,234
2013,NUMBER,grad_bijeljina,agricultural_selling,4977
2013,NUMBER,bileca,agricultural_selling,213
2013,NUMBER,bratunac,agricultural_selling,704
2013,NUMBER,brod,agricultural_selling,134
2013,NUMBER,visegrad,agricultural_selling,97
2013,NUMBER,vlasenica,agricultural_selling,241
2013,NUMBER,vukosavlje,agricultural_selling,74
2013,NUMBER,gacko,agricultural_selling,437
2013,NUMBER,grad_gradiska,agricultural_selling,2285
2013,NUMBER,grad_derventa,agricultural_selling,455
2013,NUMBER,grad_doboj,agricultural_selling,515
2013,NUMBER,donji_zabar,agricultural_selling,219
2013,NUMBER,grad_zvornik,agricultural_selling,770
2013,NUMBER,istocna_ilidza,agricultural_selling,51
2013,NUMBER,istocni_drvar,agricultural_selling,1
2013,NUMBER,istocni_mostar,agricultural_selling,9
2013,NUMBER,istocni_stari_grad,agricultural_selling,35
2013,NUMBER,istocno_novo_sarajevo,agricultural_selling,43
2013,NUMBER,jezero,agricultural_selling,9
2013,NUMBER,kalinovik,agricultural_selling,93
2013,NUMBER,knezevo,agricultural_selling,305
2013,NUMBER,kozarska_dubica,agricultural_selling,860
2013,NUMBER,kostajnica,agricultural_selling,193
2013,NUMBER,kotor_varos,agricultural_selling,139
2013,NUMBER,krupa_na_uni,agricultural_selling,288
2013,NUMBER,kupres,agricultural_selling,72
2013,NUMBER,laktasi,agricultural_selling,662
2013,NUMBER,lopare,agricultural_selling,668
2013,NUMBER,ljubinje,agricultural_selling,269
2013,NUMBER,milici,agricultural_selling,185
2013,NUMBER,modrica,agricultural_selling,420
2013,NUMBER,mrkonjic_grad,agricultural_selling,257
2013,NUMBER,nevesinje,agricultural_selling,702
2013,NUMBER,novi_grad,agricultural_selling,499
2013,NUMBER,novo_gorazde,agricultural_selling,87
2013,NUMBER,osmaci,agricultural_selling,159
2013,NUMBER,ostra_luka,agricultural_selling,57
2013,NUMBER,pale,agricultural_selling,99
2013,NUMBER,pelagicevo,agricultural_selling,256
2013,NUMBER,petrovac,agricultural_selling,12
2013,NUMBER,petrovo,agricultural_selling,61
2013,NUMBER,grad_prijedor,agricultural_selling,798
2013,NUMBER,prnjavor,agricultural_selling,986
2013,NUMBER,ribnik,agricultural_selling,93
2013,NUMBER,rogatica,agricultural_selling,265
2013,NUMBER,rudo,agricultural_selling,244
2013,NUMBER,sokolac,agricultural_selling,292
2013,NUMBER,srbac,agricultural_selling,594
2013,NUMBER,srebrenica,agricultural_selling,469
2013,NUMBER,teslic,agricultural_selling,576
2013,NUMBER,grad_trebinje,agricultural_selling,327
2013,NUMBER,trnovo,agricultural_selling,17
2013,NUMBER,ugljevik,agricultural_selling,632
2013,NUMBER,foca,agricultural_selling,262
2013,NUMBER,han_pijesak,agricultural_selling,75
2013,NUMBER,cajnice,agricultural_selling,131
2013,NUMBER,celinac,agricultural_selling,191
2013,NUMBER,samac,agricultural_selling,616
2013,NUMBER,sekovici,agricultural_selling,81
2013,NUMBER,sipovo,agricultural_selling,247
