Year,UNIT_MEASURE,ADMIN_AREA,SEX,Literacy,Value
2013,NUMBER,republika_srpska,_T,_T,1062861
2013,NUMBER,republika_srpska,M,_T,516703
2013,NUMBER,republika_srpska,F,_T,546158
2013,NUMBER,grad_banja_luka,_T,_T,162106
2013,NUMBER,grad_banja_luka,M,_T,77356
2013,NUMBER,grad_banja_luka,F,_T,84750
2013,NUMBER,berkovici,_T,_T,1824
2013,NUMBER,berkovici,M,_T,916
2013,NUMBER,berkovici,F,_T,908
2013,NUMBER,grad_bijeljina,_T,_T,94007
2013,NUMBER,grad_bijeljina,M,_T,45652
2013,NUMBER,grad_bijeljina,F,_T,48355
2013,NUMBER,bileca,_T,_T,9644
2013,NUMBER,bileca,M,_T,4830
2013,NUMBER,bileca,F,_T,4814
2013,NUMBER,bratunac,_T,_T,16773
2013,NUMBER,bratunac,M,_T,8235
2013,NUMBER,bratunac,F,_T,8538
2013,NUMBER,brod,_T,_T,14277
2013,NUMBER,brod,M,_T,6911
2013,NUMBER,brod,F,_T,7366
2013,NUMBER,visegrad,_T,_T,9381
2013,NUMBER,visegrad,M,_T,4478
2013,NUMBER,visegrad,F,_T,4903
2013,NUMBER,vlasenica,_T,_T,9649
2013,NUMBER,vlasenica,M,_T,4669
2013,NUMBER,vlasenica,F,_T,4980
2013,NUMBER,vukosavlje,_T,_T,3950
2013,NUMBER,vukosavlje,M,_T,1975
2013,NUMBER,vukosavlje,F,_T,1975
2013,NUMBER,gacko,_T,_T,7864
2013,NUMBER,gacko,M,_T,3987
2013,NUMBER,gacko,F,_T,3877
2013,NUMBER,grad_gradiska,_T,_T,44972
2013,NUMBER,grad_gradiska,M,_T,21810
2013,NUMBER,grad_gradiska,F,_T,23162
2013,NUMBER,grad_derventa,_T,_T,23629
2013,NUMBER,grad_derventa,M,_T,11467
2013,NUMBER,grad_derventa,F,_T,12162
2013,NUMBER,grad_doboj,_T,_T,62056
2013,NUMBER,grad_doboj,M,_T,29964
2013,NUMBER,grad_doboj,F,_T,32092
2013,NUMBER,donji_zabar,_T,_T,3352
2013,NUMBER,donji_zabar,M,_T,1685
2013,NUMBER,donji_zabar,F,_T,1667
2013,NUMBER,grad_zvornik,_T,_T,48535
2013,NUMBER,grad_zvornik,M,_T,23809
2013,NUMBER,grad_zvornik,F,_T,24726
2013,NUMBER,istocna_ilidza,_T,_T,13131
2013,NUMBER,istocna_ilidza,M,_T,6250
2013,NUMBER,istocna_ilidza,F,_T,6881
2013,NUMBER,istocni_drvar,_T,_T,65
2013,NUMBER,istocni_drvar,M,_T,43
2013,NUMBER,istocni_drvar,F,_T,22
2013,NUMBER,istocni_mostar,_T,_T,226
2013,NUMBER,istocni_mostar,M,_T,128
2013,NUMBER,istocni_mostar,F,_T,98
2013,NUMBER,istocni_stari_grad,_T,_T,1033
2013,NUMBER,istocni_stari_grad,M,_T,505
2013,NUMBER,istocni_stari_grad,F,_T,528
2013,NUMBER,istocno_novo_sarajevo,_T,_T,9302
2013,NUMBER,istocno_novo_sarajevo,M,_T,4402
2013,NUMBER,istocno_novo_sarajevo,F,_T,4900
2013,NUMBER,jezero,_T,_T,951
2013,NUMBER,jezero,M,_T,492
2013,NUMBER,jezero,F,_T,459
2013,NUMBER,kalinovik,_T,_T,1845
2013,NUMBER,kalinovik,M,_T,895
2013,NUMBER,kalinovik,F,_T,950
2013,NUMBER,knezevo,_T,_T,8558
2013,NUMBER,knezevo,M,_T,4209
2013,NUMBER,knezevo,F,_T,4349
2013,NUMBER,kozarska_dubica,_T,_T,19095
2013,NUMBER,kozarska_dubica,M,_T,9296
2013,NUMBER,kozarska_dubica,F,_T,9799
2013,NUMBER,kostajnica,_T,_T,5201
2013,NUMBER,kostajnica,M,_T,2553
2013,NUMBER,kostajnica,F,_T,2648
2013,NUMBER,kotor_varos,_T,_T,16533
2013,NUMBER,kotor_varos,M,_T,8069
2013,NUMBER,kotor_varos,F,_T,8464
2013,NUMBER,krupa_na_uni,_T,_T,1456
2013,NUMBER,krupa_na_uni,M,_T,786
2013,NUMBER,krupa_na_uni,F,_T,670
2013,NUMBER,kupres,_T,_T,280
2013,NUMBER,kupres,M,_T,147
2013,NUMBER,kupres,F,_T,133
2013,NUMBER,laktasi,_T,_T,30705
2013,NUMBER,laktasi,M,_T,15132
2013,NUMBER,laktasi,F,_T,15573
2013,NUMBER,lopare,_T,_T,13599
2013,NUMBER,lopare,M,_T,6831
2013,NUMBER,lopare,F,_T,6768
2013,NUMBER,ljubinje,_T,_T,3046
2013,NUMBER,ljubinje,M,_T,1502
2013,NUMBER,ljubinje,F,_T,1544
2013,NUMBER,milici,_T,_T,9487
2013,NUMBER,milici,M,_T,4761
2013,NUMBER,milici,F,_T,4726
2013,NUMBER,modrica,_T,_T,22419
2013,NUMBER,modrica,M,_T,10910
2013,NUMBER,modrica,F,_T,11509
2013,NUMBER,mrkonjic_grad,_T,_T,14541
2013,NUMBER,mrkonjic_grad,M,_T,6944
2013,NUMBER,mrkonjic_grad,F,_T,7597
2013,NUMBER,nevesinje,_T,_T,11346
2013,NUMBER,nevesinje,M,_T,5615
2013,NUMBER,nevesinje,F,_T,5731
2013,NUMBER,novi_grad,_T,_T,23292
2013,NUMBER,novi_grad,M,_T,11576
2013,NUMBER,novi_grad,F,_T,11716
2013,NUMBER,novo_gorazde,_T,_T,2718
2013,NUMBER,novo_gorazde,M,_T,1408
2013,NUMBER,novo_gorazde,F,_T,1310
2013,NUMBER,osmaci,_T,_T,5021
2013,NUMBER,osmaci,M,_T,2498
2013,NUMBER,osmaci,F,_T,2523
2013,NUMBER,ostra_luka,_T,_T,2468
2013,NUMBER,ostra_luka,M,_T,1264
2013,NUMBER,ostra_luka,F,_T,1204
2013,NUMBER,pale,_T,_T,18603
2013,NUMBER,pale,M,_T,8848
2013,NUMBER,pale,F,_T,9755
2013,NUMBER,pelagicevo,_T,_T,4076
2013,NUMBER,pelagicevo,M,_T,2009
2013,NUMBER,pelagicevo,F,_T,2067
2013,NUMBER,petrovac,_T,_T,323
2013,NUMBER,petrovac,M,_T,151
2013,NUMBER,petrovac,F,_T,172
2013,NUMBER,petrovo,_T,_T,5831
2013,NUMBER,petrovo,M,_T,2793
2013,NUMBER,petrovo,F,_T,3038
2013,NUMBER,grad_prijedor,_T,_T,74375
2013,NUMBER,grad_prijedor,M,_T,36023
2013,NUMBER,grad_prijedor,F,_T,38352
2013,NUMBER,prnjavor,_T,_T,31231
2013,NUMBER,prnjavor,M,_T,15075
2013,NUMBER,prnjavor,F,_T,16156
2013,NUMBER,ribnik,_T,_T,5365
2013,NUMBER,ribnik,M,_T,2649
2013,NUMBER,ribnik,F,_T,2716
2013,NUMBER,rogatica,_T,_T,9327
2013,NUMBER,rogatica,M,_T,4558
2013,NUMBER,rogatica,F,_T,4769
2013,NUMBER,rudo,_T,_T,6979
2013,NUMBER,rudo,M,_T,3524
2013,NUMBER,rudo,F,_T,3455
2013,NUMBER,sokolac,_T,_T,10588
2013,NUMBER,sokolac,M,_T,5194
2013,NUMBER,sokolac,F,_T,5394
2013,NUMBER,srbac,_T,_T,15404
2013,NUMBER,srbac,M,_T,7537
2013,NUMBER,srbac,F,_T,7867
2013,NUMBER,srebrenica,_T,_T,10715
2013,NUMBER,srebrenica,M,_T,5225
2013,NUMBER,srebrenica,F,_T,5490
2013,NUMBER,teslic,_T,_T,33369
2013,NUMBER,teslic,M,_T,15840
2013,NUMBER,teslic,F,_T,17529
2013,NUMBER,grad_trebinje,_T,_T,25447
2013,NUMBER,grad_trebinje,M,_T,12305
2013,NUMBER,grad_trebinje,F,_T,13142
2013,NUMBER,trnovo,_T,_T,1852
2013,NUMBER,trnovo,M,_T,887
2013,NUMBER,trnovo,F,_T,965
2013,NUMBER,ugljevik,_T,_T,13720
2013,NUMBER,ugljevik,M,_T,6891
2013,NUMBER,ugljevik,F,_T,6829
2013,NUMBER,foca,_T,_T,16227
2013,NUMBER,foca,M,_T,8147
2013,NUMBER,foca,F,_T,8080
2013,NUMBER,han_pijesak,_T,_T,3187
2013,NUMBER,han_pijesak,M,_T,1496
2013,NUMBER,han_pijesak,F,_T,1691
2013,NUMBER,cajnice,_T,_T,4289
2013,NUMBER,cajnice,M,_T,2164
2013,NUMBER,cajnice,F,_T,2125
2013,NUMBER,celinac,_T,_T,13636
2013,NUMBER,celinac,M,_T,6711
2013,NUMBER,celinac,F,_T,6925
2013,NUMBER,samac,_T,_T,15072
2013,NUMBER,samac,M,_T,7273
2013,NUMBER,samac,F,_T,7799
2013,NUMBER,sekovici,_T,_T,5816
2013,NUMBER,sekovici,M,_T,2868
2013,NUMBER,sekovici,F,_T,2948
2013,NUMBER,sipovo,_T,_T,9092
2013,NUMBER,sipovo,M,_T,4575
2013,NUMBER,sipovo,F,_T,4517
2013,NUMBER,republika_srpska,_T,illiterate,34928
2013,NUMBER,republika_srpska,M,illiterate,4987
2013,NUMBER,republika_srpska,F,illiterate,29941
2013,NUMBER,grad_banja_luka,_T,illiterate,3503
2013,NUMBER,grad_banja_luka,M,illiterate,509
2013,NUMBER,grad_banja_luka,F,illiterate,2994
2013,NUMBER,berkovici,_T,illiterate,47
2013,NUMBER,berkovici,M,illiterate,1
2013,NUMBER,berkovici,F,illiterate,46
2013,NUMBER,grad_bijeljina,_T,illiterate,2541
2013,NUMBER,grad_bijeljina,M,illiterate,413
