Year,UNIT_MEASURE,ADMIN_AREA,SEX,Education,Value
2013,NUMBER,republika_srpska,_T,no_education,58651
2013,NUMBER,republika_srpska,M,no_education,9370
2013,NUMBER,republika_srpska,F,no_education,49281
2013,NUMBER,grad_banja_luka,_T,no_education,5673
2013,NUMBER,grad_banja_luka,M,no_education,921
2013,NUMBER,grad_banja_luka,F,no_education,4752
2013,NUMBER,berkovici,_T,no_education,104
2013,NUMBER,berkovici,M,no_education,8
2013,NUMBER,berkovici,F,no_education,96
2013,NUMBER,grad_bijeljina,_T,no_education,3916
2013,NUMBER,grad_bijeljina,M,no_education,650
2013,NUMBER,grad_bijeljina,F,no_education,3266
2013,NUMBER,bileca,_T,no_education,246
2013,NUMBER,bileca,M,no_education,42
2013,NUMBER,bileca,F,no_education,204
2013,NUMBER,bratunac,_T,no_education,1297
2013,NUMBER,bratunac,M,no_education,166
2013,NUMBER,bratunac,F,no_education,1131
2013,NUMBER,brod,_T,no_education,586
2013,NUMBER,brod,M,no_education,90
2013,NUMBER,brod,F,no_education,496
2013,NUMBER,visegrad,_T,no_education,576
2013,NUMBER,visegrad,M,no_education,65
2013,NUMBER,visegrad,F,no_education,511
2013,NUMBER,vlasenica,_T,no_education,629
2013,NUMBER,vlasenica,M,no_education,101
2013,NUMBER,vlasenica,F,no_education,528
2013,NUMBER,vukosavlje,_T,no_education,329
2013,NUMBER,vukosavlje,M,no_education,69
2013,NUMBER,vukosavlje,F,no_education,260
2013,NUMBER,gacko,_T,no_education,268
2013,NUMBER,gacko,M,no_education,22
2013,NUMBER,gacko,F,no_education,246
2013,NUMBER,grad_gradiska,_T,no_education,2608
2013,NUMBER,grad_gradiska,M,no_education,425
2013,NUMBER,grad_gradiska,F,no_education,2183
2013,NUMBER,grad_derventa,_T,no_education,1538
2013,NUMBER,grad_derventa,M,no_education,281
2013,NUMBER,grad_derventa,F,no_education,1257
2013,NUMBER,grad_doboj,_T,no_education,3364
2013,NUMBER,grad_doboj,M,no_education,496
2013,NUMBER,grad_doboj,F,no_education,2868
2013,NUMBER,donji_zabar,_T,no_education,209
2013,NUMBER,donji_zabar,M,no_education,37
2013,NUMBER,donji_zabar,F,no_education,172
2013,NUMBER,grad_zvornik,_T,no_education,3216
2013,NUMBER,grad_zvornik,M,no_education,484
2013,NUMBER,grad_zvornik,F,no_education,2732
2013,NUMBER,istocna_ilidza,_T,no_education,280
2013,NUMBER,istocna_ilidza,M,no_education,33
2013,NUMBER,istocna_ilidza,F,no_education,247
2013,NUMBER,istocni_drvar,_T,no_education,5
2013,NUMBER,istocni_drvar,M,no_education,0
2013,NUMBER,istocni_drvar,F,no_education,5
2013,NUMBER,istocni_mostar,_T,no_education,19
2013,NUMBER,istocni_mostar,M,no_education,1
2013,NUMBER,istocni_mostar,F,no_education,18
2013,NUMBER,istocni_stari_grad,_T,no_education,61
2013,NUMBER,istocni_stari_grad,M,no_education,5
2013,NUMBER,istocni_stari_grad,F,no_education,56
2013,NUMBER,istocno_novo_sarajevo,_T,no_education,191
2013,NUMBER,istocno_novo_sarajevo,M,no_education,25
2013,NUMBER,istocno_novo_sarajevo,F,no_education,166
2013,NUMBER,jezero,_T,no_education,79
2013,NUMBER,jezero,M,no_education,14
2013,NUMBER,jezero,F,no_education,65
2013,NUMBER,kalinovik,_T,no_education,158
2013,NUMBER,kalinovik,M,no_education,11
2013,NUMBER,kalinovik,F,no_education,147
2013,NUMBER,knezevo,_T,no_education,1390
2013,NUMBER,knezevo,M,no_education,311
2013,NUMBER,knezevo,F,no_education,1079
2013,NUMBER,kozarska_dubica,_T,no_education,984
2013,NUMBER,kozarska_dubica,M,no_education,154
2013,NUMBER,kozarska_dubica,F,no_education,830
2013,NUMBER,kostajnica,_T,no_education,163
2013,NUMBER,kostajnica,M,no_education,28
2013,NUMBER,kostajnica,F,no_education,135
2013,NUMBER,kotor_varos,_T,no_education,1503
2013,NUMBER,kotor_varos,M,no_education,282
2013,NUMBER,kotor_varos,F,no_education,1221
2013,NUMBER,krupa_na_uni,_T,no_education,157
2013,NUMBER,krupa_na_uni,M,no_education,19
2013,NUMBER,krupa_na_uni,F,no_education,138
2013,NUMBER,kupres,_T,no_education,103
2013,NUMBER,kupres,M,no_education,33
2013,NUMBER,kupres,F,no_education,70
