Year,UNIT_MEASURE,Type_of_user,SEX,Value
2016,NUMBER,total,_T,191604
2017,NUMBER,total,M,184830
2018,NUMBER,total,F,179164
2019,NUMBER,total,_T,171280
2020,NUMBER,total,M,167786
2016,NUMBER,underage_users,F,53648
2017,NUMBER,underage_users,_T,49035
2018,NUMBER,underage_users,M,48462
2019,NUMBER,underage_users,F,47135
2020,NUMBER,underage_users,_T,41066
2016,NUMBER,adult_users,M,137956
2017,NUMBER,adult_users,F,135795
2018,NUMBER,adult_users,_T,130702
2019,NUMBER,adult_users,M,124145
2020,NUMBER,adult_users,F,126720
