Year,UNIT_MEASURE,type_of_institution,Value
2016,NUMBER,total,132
2016,NUMBER,public,82
2016,NUMBER,private,50
2017,NUMBER,total,132
2017,NUMBER,public,84
2017,NUMBER,private,48
2018,NUMBER,total,161
2018,NUMBER,public,88
2018,NUMBER,private,73
2019,NUMBER,total,174
2019,NUMBER,public,91
2019,NUMBER,private,83
2020,NUMBER,total,177
2020,NUMBER,public,95
2020,NUMBER,private,82
2021,NUMBER,total,189
2021,NUMBER,public,101
2021,NUMBER,private,88
2022,NUMBER,total,200
2022,NUMBER,public,100
2022,NUMBER,private,100
