Year,UNIT_MEASURE,type_of_institution,SEX,Value
2016,NUMBER,_T,_T,9953
2016,NUMBER,_T,M,5184
2016,NUMBER,_T,F,4769
2017,NUMBER,_T,_T,10240
2017,NUMBER,_T,M,5298
2017,NUMBER,_T,F,4942
2018,NUMBER,_T,_T,12156
2018,NUMBER,_T,M,6341
2018,NUMBER,_T,F,5815
2019,NUMBER,_T,_T,13138
2019,NUMBER,_T,M,6801
2019,NUMBER,_T,F,6337
2020,NUMBER,_T,_T,11247
2020,NUMBER,_T,M,5852
2020,NUMBER,_T,F,5395
2016,NUMBER,public,_T,7454
2016,NUMBER,public,M,3869
2016,NUMBER,public,F,3585
2017,NUMBER,public,_T,7773
2017,NUMBER,public,M,4012
2017,NUMBER,public,F,3761
2018,NUMBER,public,_T,8553
2018,NUMBER,public,M,4485
2018,NUMBER,public,F,4068
2019,NUMBER,public,_T,9074
2019,NUMBER,public,M,4704
2019,NUMBER,public,F,4370
2020,NUMBER,public,_T,7774
2020,NUMBER,public,M,4043
2020,NUMBER,public,F,3731
2016,NUMBER,private,_T,2499
2016,NUMBER,private,M,1315
2016,NUMBER,private,F,1184
2017,NUMBER,private,_T,2467
2017,NUMBER,private,M,1286
2017,NUMBER,private,F,1181
2018,NUMBER,private,_T,3603
2018,NUMBER,private,M,1856
2018,NUMBER,private,F,1747
2019,NUMBER,private,_T,4064
2019,NUMBER,private,M,2097
2019,NUMBER,private,F,1967
2020,NUMBER,private,_T,3473
2020,NUMBER,private,M,1809
2020,NUMBER,private,F,1664
2021,NUMBER,_T,_T,14091
2021,NUMBER,_T,M,7345
2021,NUMBER,_T,F,6746
2021,NUMBER,public,_T,9814
2021,NUMBER,public,M,5142
2021,NUMBER,public,F,4672
2021,NUMBER,private,_T,4277
2021,NUMBER,private,M,2203
2021,NUMBER,private,F,2074
2022,NUMBER,_T,_T,15729
2022,NUMBER,_T,M,8350
2022,NUMBER,_T,F,7379
2022,NUMBER,public,_T,10832
2022,NUMBER,public,M,5748
2022,NUMBER,public,F,5084
2022,NUMBER,private,_T,4897
2022,NUMBER,private,M,2602
2022,NUMBER,private,F,2295
2023,NUMBER,_T,_T,16807
2023,NUMBER,_T,M,8822
2023,NUMBER,_T,F,7985
2023,NUMBER,public,_T,11500
2023,NUMBER,public,M,6076
2023,NUMBER,public,F,5424
2023,NUMBER,private,_T,5307
2023,NUMBER,private,M,2746
2023,NUMBER,private,F,2561
