Year,UNIT_MEASURE,type_of_school,Value
2016,NUMBER,gymnasium,9443
2016,NUMBER,technical_high_schools,24999
2016,NUMBER,vocational_high_schools,6162
2016,NUMBER,art_schools,307
2016,NUMBER,religious_schools,88
2016,NUMBER,high_schools_for_students_with_disabilities,137
2017,NUMBER,gymnasium,8875
2017,NUMBER,technical_high_schools,24644
2017,NUMBER,vocational_high_schools,5832
2017,NUMBER,art_schools,275
2017,NUMBER,religious_schools,80
2017,NUMBER,high_schools_for_students_with_disabilities,125
2018,NUMBER,gymnasium,8360
2018,NUMBER,technical_high_schools,23574
2018,NUMBER,vocational_high_schools,6107
2018,NUMBER,art_schools,287
2018,NUMBER,religious_schools,65
2018,NUMBER,high_schools_for_students_with_disabilities,106
2019,NUMBER,gymnasium,7781
2019,NUMBER,technical_high_schools,22965
2019,NUMBER,vocational_high_schools,6023
2019,NUMBER,art_schools,293
2019,NUMBER,religious_schools,58
2019,NUMBER,high_schools_for_students_with_disabilities,86
2020,NUMBER,gymnasium,7278
2020,NUMBER,technical_high_schools,22749
2020,NUMBER,vocational_high_schools,5935
2020,NUMBER,art_schools,311
2020,NUMBER,religious_schools,54
2020,NUMBER,high_schools_for_students_with_disabilities,78
2021,NUMBER,gymnasium,6679
2021,NUMBER,technical_high_schools,22666
2021,NUMBER,vocational_high_schools,5739
2021,NUMBER,art_schools,416
2021,NUMBER,religious_schools,42
2021,NUMBER,high_schools_for_students_with_disabilities,73
