Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,5474
2016,NUMBER,M,2289
2016,NUMBER,F,3185
2017,NUMBER,_T,5081
2017,NUMBER,M,2145
2017,NUMBER,F,2936
2018,NUMBER,_T,4564
2018,NUMBER,M,1843
2018,NUMBER,F,2721
2019,NUMBER,_T,4144
2019,NUMBER,M,1688
2019,NUMBER,F,2456
2020,NUMBER,_T,4184
2020,NUMBER,M,1665
2020,NUMBER,F,2519
2021,NUMBER,_T,3585
2021,NUMBER,M,1481
2021,NUMBER,F,2104
2022,NUMBER,_T,3386
2022,NUMBER,M,1336
2022,NUMBER,F,2050
2023,NUMBER,_T,3102
2023,NUMBER,M,1206
2023,NUMBER,F,1896
2024,NUMBER,_T,3035
2024,NUMBER,M,1123
2024,NUMBER,F,1912
