Year,UNIT_MEASURE,type_of_education,SEX,Value
2016,NUMBER,masters_of_science,_T,72
2016,NUMBER,masters_of_science,M,43
2016,NUMBER,masters_of_science,F,29
2017,NUMBER,masters_of_science,_T,42
2017,NUMBER,masters_of_science,M,22
2017,NUMBER,masters_of_science,F,20
2018,NUMBER,masters_of_science,_T,41
2018,NUMBER,masters_of_science,M,21
2018,NUMBER,masters_of_science,F,20
2019,NUMBER,masters_of_science,_T,39
2019,NUMBER,masters_of_science,M,17
2019,NUMBER,masters_of_science,F,22
2020,NUMBER,masters_of_science,_T,36
2020,NUMBER,masters_of_science,M,20
2020,NUMBER,masters_of_science,F,16
2016,NUMBER,masters,_T,420
2016,NUMBER,masters,M,200
2016,NUMBER,masters,F,220
2017,NUMBER,masters,_T,383
2017,NUMBER,masters,M,182
2017,NUMBER,masters,F,201
2018,NUMBER,masters,_T,378
2018,NUMBER,masters,M,152
2018,NUMBER,masters,F,226
2019,NUMBER,masters,_T,332
2019,NUMBER,masters,M,136
2019,NUMBER,masters,F,196
2020,NUMBER,masters,_T,261
2020,NUMBER,masters,M,105
2020,NUMBER,masters,F,156
2016,NUMBER,specialists,_T,101
2016,NUMBER,specialists,M,32
2016,NUMBER,specialists,F,69
2017,NUMBER,specialists,_T,109
2017,NUMBER,specialists,M,48
2017,NUMBER,specialists,F,61
2018,NUMBER,specialists,_T,111
2018,NUMBER,specialists,M,35
2018,NUMBER,specialists,F,76
2019,NUMBER,specialists,_T,95
2019,NUMBER,specialists,M,35
2019,NUMBER,specialists,F,60
2020,NUMBER,specialists,_T,87
2020,NUMBER,specialists,M,31
2020,NUMBER,specialists,F,56
